ts,open,high,low,close,volume
1700118000000,37563.0,37619.6,37528.6,37532.0,163667.0
1700118900000,37532.1,37534.2,37457.0,37530.0,84976.0
1700119800000,37530.0,37533.1,37472.0,37496.2,70198.0
1700120700000,37496.9,37518.7,37424.3,37436.2,73697.0
1700121600000,37436.3,37484.8,37413.0,37413.2,68758.0
1700122500000,37412.7,37415.6,37200.1,37294.9,294922.0
1700123400000,37295.0,37367.8,37230.8,37362.0,124307.0
1700124300000,37361.9,37399.0,37297.3,37302.0,90056.0
1700125200000,37301.9,37362.0,37180.0,37362.0,192898.0
1700126100000,37362.0,37450.0,37354.9,37431.2,127315.0
1700127000000,37431.2,37458.5,37282.6,37287.9,104199.0
1700127900000,37287.2,37386.4,37256.5,37363.6,128154.0
1700128800000,37363.7,37383.0,37345.2,37377.0,38988.0
1700129700000,37376.9,37390.0,37346.0,37388.1,57599.0
1700130600000,37388.0,37390.1,37307.2,37317.6,38044.0
1700131500000,37317.7,37354.5,37295.7,37295.7,43092.0
1700132400000,37295.7,37462.4,37280.0,37449.9,153139.0
1700133300000,37450.0,37550.0,37430.6,37528.1,181928.0
1700134200000,37527.9,37541.4,37350.3,37350.4,175318.0
1700135100000,37350.4,37384.0,37116.7,37256.4,401878.0
1700136000000,37256.3,37329.0,37166.6,37262.0,249613.0
1700136900000,37261.9,37269.6,37071.9,37076.9,260762.0
1700137800000,37076.9,37260.0,37056.4,37218.0,174497.0
1700138700000,37217.9,37231.4,37111.8,37139.2,83686.0
1700139600000,37139.1,37175.1,37011.0,37016.0,199155.0
1700140500000,37016.1,37023.0,36843.0,36919.1,568295.0
1700141400000,36916.7,36963.9,36766.0,36800.0,316429.0
1700142300000,36799.9,36925.1,36678.0,36784.3,384939.0
1700143200000,36784.3,36868.2,36600.0,36700.0,360269.0
1700144100000,36700.0,36700.0,36500.0,36554.3,419660.0
1700145000000,36554.3,36728.2,36430.0,36728.0,490737.0
1700145900000,36727.9,36815.0,36670.2,36705.2,257246.0
1700146800000,36705.2,36838.8,36675.0,36787.3,151450.0
1700147700000,36787.4,36900.0,36760.0,36854.3,222527.0
1700148600000,36854.5,36900.0,36298.7,36561.0,611984.0
1700149500000,36561.8,36580.7,36210.0,36398.4,738923.0
1700150400000,36399.9,36525.7,36368.0,36490.4,300435.0
1700151300000,36490.4,36635.8,36479.4,36557.7,187041.0
1700152200000,36557.7,36641.9,36517.0,36549.7,116866.0
1700153100000,36551.2,36596.0,36480.1,36564.8,70306.0
1700154000000,36564.9,36630.0,36450.0,36495.7,105673.0
1700154900000,36495.7,36589.9,36484.1,36559.3,70349.0
1700155800000,36559.2,36591.8,36506.7,36520.9,44608.0
1700156700000,36521.0,36555.2,36300.0,36307.5,165430.0
1700157600000,36307.4,36405.9,36150.0,36342.8,319277.0
1700158500000,36342.9,36376.9,36075.0,36271.7,369104.0
1700159400000,36271.7,36307.9,36201.0,36206.0,101989.0
1700160300000,36206.1,36267.7,36108.3,36244.1,131084.0
1700161200000,36241.2,36273.9,35873.3,36038.0,375795.0
1700162100000,36038.1,36150.0,35677.0,35765.4,662966.0
