策略,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,收益率,入场前权益,出场后权益,出场原因,持仓小时,备注
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2021-07-16 20:00,2021-07-20 20:00,31091.09,29688.77,32544.03,31044.46,26732.27,34588.84,8,10%,100.00,800.00,35.30,3.53%,1000.00,1035.30,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-07-24 08:00,2021-07-26 09:00,33651.66,38218.74,32128.03,35050.41,38222.57,29865.85,8,10%,103.53,828.24,111.52,10.77%,1035.30,1146.82,目标止盈,49.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-07-26 12:00,2021-07-27 04:00,38290.13,38286.30,36074.94,38290.13,44935.69,33982.49,8,10%,114.68,917.46,-1.01,-0.09%,1146.82,1145.81,保本止损,16.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-07-28 20:00,2021-08-01 20:00,40751.07,41582.84,37898.17,39039.06,49309.79,36166.58,8,10%,114.58,916.65,17.78,1.55%,1145.81,1163.60,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-08-08 08:00,2021-08-12 08:00,44595.76,45506.75,41776.23,43281.36,53054.36,39578.74,8,10%,116.36,930.88,18.08,1.55%,1163.60,1181.67,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-08-21 08:00,2021-08-25 08:00,49324.53,47675.53,46908.52,47539.30,56572.56,43775.52,8,10%,118.17,945.34,-32.53,-2.75%,1181.67,1149.14,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-09-15 20:00,2021-09-19 20:00,47557.56,47329.17,45307.21,46058.81,54308.60,42207.33,8,10%,114.91,919.31,-5.33,-0.46%,1149.14,1143.81,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2021-09-20 20:00,2021-09-21 10:45,43724.03,43050.97,46094.73,43046.67,36611.91,48642.98,8,10%,114.38,915.05,13.18,1.15%,1143.81,1156.98,跟踪止损,14.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-10-01 20:00,2021-10-05 20:00,47512.55,49882.51,44704.04,47512.55,55938.08,42167.39,8,10%,115.70,925.59,45.22,3.91%,1156.98,1202.20,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-10-06 04:00,2021-10-10 04:00,51196.12,54661.63,48792.76,53217.07,58406.20,45436.56,8,10%,120.22,961.76,64.11,5.33%,1202.20,1266.31,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-10-12 00:00,2021-10-13 04:00,57455.44,54407.17,54412.61,54412.61,66583.95,50991.71,8,10%,126.63,1013.05,-54.73,-4.32%,1266.31,1211.58,初始止损,28.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-10-14 12:00,2021-10-18 04:15,58091.21,59178.81,54905.68,59184.73,67647.78,51555.95,8,10%,121.16,969.26,17.17,1.42%,1211.58,1228.75,跟踪止损,88.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-11-08 12:00,2021-11-11 04:45,65241.62,66098.21,62792.55,66104.82,72588.83,57901.94,8,10%,122.87,983.00,11.92,0.97%,1228.75,1240.66,跟踪止损,64.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2021-11-19 00:00,2021-11-21 07:00,58099.29,59787.46,61449.16,59781.48,48049.67,64635.46,8,10%,124.07,992.53,-29.85,-2.41%,1240.66,1210.82,跟踪止损,55.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2021-12-04 16:00,2021-12-08 16:00,47231.98,50501.25,52290.91,52290.91,32055.19,52545.57,8,10%,121.08,968.65,-68.05,-5.62%,1210.82,1142.77,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2021-12-24 04:00,2021-12-28 04:00,51114.11,51200.38,48917.79,49361.89,57703.07,45363.77,8,10%,114.28,914.21,0.63,0.05%,1142.77,1143.40,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2021-12-29 04:00,2021-12-31 16:45,47672.03,48564.41,49807.75,48559.56,41264.89,53035.14,8,10%,114.34,914.72,-18.05,-1.58%,1143.40,1125.35,跟踪止损,60.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-01-01 04:00,2022-01-05 04:00,45711.33,46071.61,48065.91,48065.91,38647.58,50853.85,8,10%,112.54,900.28,-8.00,-0.71%,1125.35,1117.35,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-01-07 12:00,2022-01-11 12:00,41806.12,42271.03,44122.94,42512.20,34855.65,46509.31,8,10%,111.74,893.88,-10.84,-0.97%,1117.35,1106.51,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-01-22 08:00,2022-01-25 02:45,36451.15,36286.41,39149.26,36282.78,28356.83,40551.91,8,10%,110.65,885.21,3.12,0.28%,1106.51,1109.63,跟踪止损,66.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2022-02-05 04:00,2022-02-08 20:15,40731.57,42900.80,38584.77,42905.09,47171.98,36149.27,8,10%,110.96,887.70,46.36,4.18%,1109.63,1155.99,跟踪止损,88.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-02-18 08:00,2022-02-22 08:00,40501.55,37011.10,42623.22,39430.27,34136.55,45057.97,8,10%,115.60,924.80,78.81,6.82%,1155.99,1234.81,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-02-22 12:00,2022-02-23 19:45,36589.04,39079.07,39075.16,39075.16,29130.68,40705.31,8,10%,123.48,987.85,-68.25,-5.53%,1234.81,1166.56,初始止损,31.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-02-24 12:00,2022-02-25 04:00,34924.01,37511.61,37507.86,37507.86,27172.44,38852.96,8,10%,116.66,933.25,-70.11,-6.01%,1166.56,1096.45,初始止损,16.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-03-07 12:00,2022-03-09 11:15,37861.71,40024.90,40020.90,40020.90,31384.15,42121.16,8,10%,109.64,877.16,-51.02,-4.65%,1096.45,1045.43,初始止损,47.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2022-03-19 04:00,2022-03-23 04:00,42029.70,42282.07,40078.48,41041.45,47883.36,37301.36,8,10%,104.54,836.34,4.18,0.40%,1045.43,1049.61,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2022-03-25 00:00,2022-03-29 00:00,43992.30,47424.06,42204.37,45714.46,49356.09,39043.17,8,10%,104.96,839.69,64.63,6.16%,1049.61,1114.24,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-04-09 08:00,2022-04-13 08:00,42246.67,40074.31,44129.02,41487.52,36599.65,46999.43,8,10%,111.42,891.39,44.97,4.04%,1114.24,1159.21,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2022-04-21 20:00,2022-04-22 04:30,42443.34,40898.20,40902.29,40902.29,47066.51,37668.47,8,10%,115.92,927.37,-34.67,-2.99%,1159.21,1124.54,初始止损,8.50,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-04-25 16:00,2022-04-26 02:45,38441.66,39908.33,39904.34,39904.34,34053.60,42766.34,8,10%,112.45,899.63,-35.24,-3.13%,1124.54,1089.30,初始止损,10.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-05-01 08:00,2022-05-02 12:45,37626.74,39152.19,39148.28,39148.28,33062.12,41859.74,8,10%,108.93,871.44,-36.22,-3.32%,1089.30,1053.08,初始止损,28.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-05-06 00:00,2022-05-10 00:00,36896.31,32363.34,38705.34,34306.81,31469.21,41047.14,8,10%,105.31,842.46,102.71,9.75%,1053.08,1155.79,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-05-10 04:00,2022-05-10 14:15,30940.31,32369.71,33061.88,32366.47,24575.59,34421.09,8,10%,115.58,924.63,-43.66,-3.78%,1155.79,1112.13,跟踪止损,10.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-06-12 00:00,2022-06-13 16:30,28412.76,24442.46,29737.01,26198.16,24440.01,31609.19,8,10%,111.21,889.70,123.50,11.10%,1112.13,1235.62,目标止盈,40.50,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-06-13 20:00,2022-06-16 06:15,23719.93,22749.33,25858.04,22747.05,17305.58,26388.42,8,10%,123.56,988.50,39.48,3.20%,1235.62,1275.10,跟踪止损,58.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-06-18 16:00,2022-06-20 02:45,19259.67,20261.42,21406.31,20259.39,12819.76,21426.39,8,10%,127.51,1020.08,-54.10,-4.24%,1275.10,1221.00,跟踪止损,34.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-06-30 16:00,2022-07-01 07:45,19428.66,19880.92,20455.22,19878.93,16348.95,21614.38,8,10%,122.10,976.80,-23.73,-1.94%,1221.00,1197.27,跟踪止损,15.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做空,2022-07-13 04:00,2022-07-14 07:15,19392.26,20171.31,20404.24,20169.30,16356.33,21573.89,8,10%,119.73,957.82,-39.46,-3.30%,1197.27,1157.82,跟踪止损,27.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_10%,做多,2022-07-19 00:00,2022-07-19 03:45,22683.17,21404.59,21406.73,21406.73,26512.47,20131.31,8,10%,115.78,926.25,-53.11,-4.59%,1157.82,1104.71,初始止损,3.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
