ts,open,high,low,close,volume
1754550000000,114613.2,114740.0,114590.8,114739.9,22372.27
1754550900000,114739.9,114839.0,114714.5,114789.9,31266.66
1754551800000,114790.0,114801.5,114689.2,114689.2,17944.03
1754552700000,114689.3,114764.4,114689.2,114747.9,16119.01
1754553600000,114747.9,114970.0,114747.9,114904.1,47153.96
1754554500000,114904.1,115139.3,114884.0,115109.2,62588.7
1754555400000,115109.3,115109.3,114950.0,115003.2,34191.89
1754556300000,115003.1,115009.7,114897.8,114911.0,24910.13
1754557200000,114911.1,114990.4,114820.0,114856.6,34597.75
1754558100000,114856.5,114982.2,114789.0,114977.2,30307.77
1754559000000,114977.2,114985.2,114844.4,114964.6,26145.83
1754559900000,114964.6,115034.1,114929.1,115020.1,30172.17
1754560800000,115020.0,115547.6,114996.0,115456.6,196048.65
1754561700000,115456.6,115858.0,115425.0,115840.1,195731.83
1754562600000,115840.1,116346.0,115816.3,116345.0,344854.49
1754563500000,116345.0,116415.9,116191.4,116302.3,145204.02
1754564400000,116302.3,116457.0,116302.2,116438.1,89520.45
1754565300000,116438.0,116766.0,116386.6,116766.0,163107.88
1754566200000,116766.0,116777.0,116478.3,116598.7,98615.93
1754567100000,116598.8,116776.0,116467.3,116478.9,63884.42
1754568000000,116479.0,116559.1,116229.9,116250.1,99373.69
1754568900000,116250.1,116416.9,116228.2,116350.7,58082.11
1754569800000,116350.7,116447.4,116200.0,116221.0,83114.95
1754570700000,116221.0,116375.0,115969.6,116341.3,94585.72
1754571600000,116341.4,116388.3,116188.1,116191.3,37922.6
1754572500000,116191.3,116419.9,116150.0,116379.9,43282.35
1754573400000,116380.0,116736.2,116286.4,116575.0,118689.65
1754574300000,116575.0,116662.1,116371.5,116606.7,57559.13
1754575200000,116606.7,116649.3,116190.5,116233.4,62360.48
1754576100000,116234.8,116450.0,116230.0,116307.7,40881.89
1754577000000,116307.8,116632.4,116153.8,116405.9,75852.22
1754577900000,116405.9,116467.6,116210.4,116326.0,35560.06
1754578800000,116326.0,116464.8,116200.0,116366.3,30523.57
1754579700000,116366.3,116566.1,116301.1,116499.9,41951.52
1754580600000,116499.9,116706.9,116468.4,116706.9,75264.5
1754581500000,116706.8,116748.0,116524.9,116636.2,71682.09
1754582400000,116636.2,116690.8,116466.6,116611.4,48544.69
1754583300000,116611.4,116719.5,116501.0,116640.9,34349.72
1754584200000,116641.0,116686.8,116049.0,116058.3,95152.99
1754585100000,116058.4,116261.0,115571.0,116206.7,272950.21
1754586000000,116206.7,116419.4,116073.7,116338.0,49727.07
1754586900000,116338.1,116515.0,116303.0,116351.0,52532.78
1754587800000,116350.9,116448.0,116137.7,116348.7,42658.46
1754588700000,116348.8,116507.2,116287.6,116465.9,30435.31
1754589600000,116466.0,116509.1,116124.0,116176.5,40435.69
1754590500000,116176.5,116343.1,116086.0,116300.0,25575.33
1754591400000,116300.0,116341.0,116207.2,116223.2,19026.16
1754592300000,116223.2,116548.1,116202.0,116520.2,33275.41
1754593200000,116520.3,116612.9,116451.6,116505.3,28356.23
1754594100000,116505.3,116672.7,116451.6,116654.1,32673.21
1754595000000,116654.0,117116.2,116631.8,117102.0,144989.06
1754595900000,117102.0,117498.0,117102.0,117413.2,195098.76
1754596800000,117413.2,117465.7,117226.0,117260.0,66217.37
1754597700000,117260.1,117426.7,117225.3,117379.1,30485.93
1754598600000,117379.2,117412.7,117269.1,117280.9,32313.19
1754599500000,117281.0,117287.7,117080.0,117142.0,44650.63
1754600400000,117142.0,117322.9,117142.0,117301.1,34152.32
1754601300000,117301.1,117319.6,117218.5,117280.0,21187.45
1754602200000,117279.9,117297.6,116954.2,117071.8,42293.26
1754603100000,117071.9,117264.7,116984.3,117043.3,37713.27
1754604000000,117043.3,117444.0,117031.2,117418.6,69033.59
1754604900000,117418.6,117470.1,117242.0,117454.1,67048.02
1754605800000,117454.1,117454.2,117266.0,117394.1,26560.71
1754606700000,117394.1,117585.1,117360.0,117511.0,67095.26
1754607600000,117511.1,117534.7,117323.1,117325.6,32935.19
1754608500000,117325.7,117357.7,117248.2,117277.2,25074.32
