年份,交易数,盈利数,亏损数,净盈亏U,年度收益,年末权益
2021,17,10,7,125.35,12.54,1125.35
2022,38,14,24,-161.46,-14.35,963.89
2023,36,21,15,517.81,53.72,1481.69
2024,39,21,18,429.52,28.99,1911.21
2025,37,16,21,185.26,9.69,2096.47
2026,18,7,11,63.72,3.04,2160.18
