family,leverage,stop_u,target_u,samples,wins,fails,timeouts,win_rate,ev_u,avg_win,avg_loss,avg_win_hold_h
reversal,30,100,300,29,8,21,0,27.59,-12.85,298.55,-131.48,14.75
reversal,30,100,500,29,7,22,0,24.14,20.59,498.54,-131.48,40.96
reversal,30,100,800,29,3,26,0,10.34,-35.26,798.66,-131.48,77.58
reversal,30,100,1000,29,2,27,0,6.9,-53.51,999.11,-131.48,95.75
reversal,30,150,300,29,11,18,0,37.93,0.58,298.48,-181.48,26.39
reversal,30,150,500,29,9,20,0,31.03,29.54,498.47,-181.48,55.97
reversal,30,150,800,29,5,24,0,17.24,-12.54,798.4,-181.48,159.65
reversal,30,150,1000,29,4,25,0,13.79,-18.72,998.5,-181.48,203.0
reversal,30,200,300,29,13,15,1,44.83,13.75,298.46,-231.49,25.85
reversal,30,200,500,29,11,17,1,37.93,53.05,498.42,-231.49,50.5
reversal,30,200,800,29,6,22,1,20.69,-10.74,798.34,-231.49,137.33
reversal,30,200,1000,29,5,23,1,17.24,-11.76,998.38,-231.48,167.9
reversal,50,80,300,29,7,22,0,24.14,-28.69,297.53,-132.48,5.46
reversal,50,80,500,29,6,23,0,20.69,-2.14,497.5,-132.49,11.46
reversal,50,80,800,29,5,24,0,17.24,27.84,797.4,-132.49,39.55
reversal,50,80,1000,29,4,25,0,13.79,23.37,997.5,-132.49,59.5
reversal,50,100,300,29,7,22,0,24.14,-43.86,297.53,-152.48,5.46
reversal,50,100,500,29,6,23,0,20.69,-18.0,497.5,-152.48,11.46
reversal,50,100,800,29,5,24,0,17.24,11.29,797.4,-152.49,39.55
reversal,50,100,1000,29,4,25,0,13.79,6.13,997.5,-152.48,59.5
reversal,50,150,300,29,9,20,0,31.03,-47.3,297.52,-202.47,6.19
reversal,50,150,500,29,8,21,0,27.59,-9.35,497.58,-202.46,14.75
reversal,50,150,800,29,7,22,0,24.14,38.92,797.57,-202.47,39.18
reversal,50,150,1000,29,6,23,0,20.69,45.84,997.7,-202.47,54.58
reversal,50,200,300,29,9,20,0,31.03,-81.78,297.52,-252.46,6.19
reversal,50,200,500,29,8,21,0,27.59,-45.55,497.58,-252.45,14.75
reversal,50,200,800,29,7,22,0,24.14,0.99,797.57,-252.46,39.18
reversal,50,200,1000,29,6,23,0,20.69,6.2,997.7,-252.46,54.58
