??,??,????,????,??,??,???,???,??,?????%,????,??
????,??,2025-06-06 04:00,2025-06-06 04:30,101862.01,100832.08,102778.77,100822.00,??,91.16,0.50,4H??40??
????,??,2025-06-06 08:00,2025-06-06 11:30,101447.65,102360.68,102360.68,100411.87,????,-100.00,3.50,4H??40??
????,??,2025-06-09 20:00,2025-06-10 05:00,107710.77,108799.62,106741.37,108810.50,??,91.04,9.00,4H??40??
????,??,2025-06-10 04:00,2025-06-10 05:15,108528.15,109625.26,107551.40,109636.22,??,91.04,1.25,4H??40??
????,??,2025-06-10 08:00,2025-06-10 13:30,110231.02,109238.94,109238.94,111356.48,????,-100.00,5.50,4H??40??
????,??,2025-06-21 04:00,2025-06-22 03:45,103240.87,102197.00,104170.04,102186.79,??,91.16,23.75,4H??40??
????,??,2025-06-22 04:00,2025-06-22 05:30,102207.38,101173.96,103127.24,101163.84,??,91.16,1.50,4H??40??
????,??,2025-06-22 08:00,2025-06-22 08:30,102059.69,102978.23,102978.23,101017.66,????,-100.00,0.50,4H??40??
????,??,2025-06-23 00:00,2025-06-23 01:00,98836.52,99726.04,99726.04,97827.39,????,-100.00,1.00,4H??40??
????,??,2025-06-25 20:00,2025-06-26 11:00,107141.01,108224.10,106176.74,108234.92,??,91.04,15.00,4H??40??
????,??,2025-06-29 20:00,2025-06-30 00:15,108439.04,107463.09,107463.09,109546.21,????,-100.00,4.25,4H??40??
????,??,2025-07-03 04:00,2025-07-03 10:15,109638.46,108651.72,108651.72,110757.87,????,-100.00,6.25,4H??40??
????,??,2025-07-10 04:00,2025-07-10 04:45,111722.07,110716.57,110716.57,112862.75,????,-100.00,0.75,4H??40??
????,??,2025-07-11 04:00,2025-07-11 05:15,113237.42,114382.14,112218.29,114393.58,??,91.04,1.25,4H??40??
????,??,2025-07-11 08:00,2025-07-11 13:00,116004.60,117177.29,114960.56,117189.01,??,91.04,5.00,4H??40??
????,??,2025-07-14 12:00,2025-07-14 13:15,120813.98,122035.29,119726.65,122047.49,??,91.04,1.25,4H??40??
????,??,2025-07-14 16:00,2025-07-14 19:15,122788.18,121683.08,121683.08,124041.84,????,-100.00,3.25,4H??40??
????,??,2025-08-02 04:00,2025-08-03 02:45,113259.67,112114.50,114279.01,112103.29,??,91.16,22.75,4H??40??
????,??,2025-08-03 04:00,2025-08-03 09:15,112172.88,113182.44,113182.44,111027.60,????,-100.00,5.25,4H??40??
????,??,2025-08-10 12:00,2025-08-10 15:45,118530.45,117463.68,117463.68,119740.65,????,-100.00,3.75,4H??40??
????,??,2025-08-11 00:00,2025-08-11 09:45,118797.38,119998.30,117728.20,120010.30,??,91.04,9.75,4H??40??
????,??,2025-08-11 08:00,2025-08-11 10:00,119317.93,120524.11,118244.07,120536.17,??,91.04,2.00,4H??40??
????,??,2025-08-11 12:00,2025-08-11 19:15,121718.17,120622.71,120622.71,122960.91,????,-100.00,7.25,4H??40??
????,??,2025-08-14 04:00,2025-08-14 08:15,122784.48,124025.70,121679.42,124038.11,??,91.04,4.25,4H??40??
????,??,2025-08-14 08:00,2025-08-14 13:45,123374.04,122263.67,122263.67,124633.69,????,-100.00,5.75,4H??40??
????,??,2025-08-18 12:00,2025-08-19 00:00,115245.77,116282.99,116282.99,114069.11,????,-100.00,12.00,4H??40??
????,??,2025-08-20 00:00,2025-08-20 09:30,113722.63,112572.77,114746.13,112561.52,??,91.16,9.50,4H??40??
????,??,2025-08-20 04:00,2025-08-20 23:15,113055.99,114073.50,114073.50,111901.69,????,-100.00,19.25,4H??40??
????,??,2025-08-22 04:00,2025-08-22 10:00,112142.78,113152.07,113152.07,110997.81,????,-100.00,6.00,4H??40??
????,??,2025-08-26 08:00,2025-08-26 08:45,110062.99,108950.14,111053.56,108939.25,??,91.16,0.75,4H??40??
????,??,2025-08-30 00:00,2025-08-31 08:45,108322.97,109297.87,109297.87,107216.99,????,-100.00,32.75,4H??40??
????,??,2025-09-11 00:00,2025-09-12 06:15,113828.38,114979.07,112803.93,114990.57,??,91.04,30.25,4H??40??
????,??,2025-09-11 12:00,2025-09-12 08:00,114358.53,115514.58,113329.31,115526.14,??,91.04,20.00,4H??40??
????,??,2025-09-12 08:00,2025-09-15 14:00,115449.44,116616.52,114410.40,116628.18,??,91.04,78.00,4H??40??
????,??,2025-09-13 04:00,2025-09-14 00:15,116586.66,115537.38,115537.38,117777.01,????,-100.00,20.25,4H??40??
????,??,2025-09-17 04:00,2025-09-17 22:15,116775.68,115724.70,115724.70,117967.96,????,-100.00,18.25,4H??40??
????,??,2025-09-17 16:00,2025-09-17 20:30,117122.01,116067.91,116067.91,118317.83,????,-100.00,4.50,4H??40??
????,??,2025-09-18 12:00,2025-09-19 17:45,117558.65,116500.63,116500.63,118758.93,????,-100.00,29.75,4H??40??
????,??,2025-09-26 04:00,2025-09-29 00:00,109315.87,110299.71,110299.71,108199.75,????,-100.00,68.00,4H??40??
????,??,2025-10-01 20:00,2025-10-02 00:30,116740.27,117920.40,115689.61,117932.19,??,91.04,4.50,4H??40??
????,??,2025-10-02 00:00,2025-10-02 07:45,117375.64,118562.18,116319.26,118574.04,??,91.04,7.75,4H??40??
????,??,2025-10-02 08:00,2025-10-02 23:45,118572.26,119770.90,117505.11,119782.88,??,91.04,15.75,4H??40??
????,??,2025-10-02 12:00,2025-10-03 00:00,118702.97,119902.93,117634.64,119914.93,??,91.04,12.00,4H??40??
????,??,2025-10-03 00:00,2025-10-03 23:15,119892.69,121104.68,118813.65,121116.79,??,91.04,23.25,4H??40??
????,??,2025-10-03 04:00,2025-10-03 15:30,120788.48,119701.38,119701.38,122021.73,????,-100.00,11.50,4H??40??
????,??,2025-10-04 00:00,2025-10-04 00:15,122227.32,123462.91,121127.28,123475.26,??,91.04,0.25,4H??40??
????,??,2025-10-04 04:00,2025-10-05 02:45,122608.66,121505.18,121505.18,123860.49,????,-100.00,22.75,4H??40??
????,??,2025-10-05 16:00,2025-10-05 17:30,124715.57,123593.13,123593.13,125988.92,????,-100.00,1.50,4H??40??
????,??,2025-10-27 08:00,2025-10-27 14:15,114519.85,115677.53,113489.17,115689.10,??,91.04,6.25,4H??40??
????,??,2025-10-31 00:00,2025-10-31 03:30,107645.83,106557.43,108614.65,106546.77,??,91.16,3.50,4H??40??
????,??,2025-10-31 04:00,2025-10-31 04:45,106474.35,107432.62,107432.62,105387.25,????,-100.00,0.75,4H??40??
????,??,2025-11-04 00:00,2025-11-04 00:45,105691.03,106642.25,106642.25,104611.92,????,-100.00,0.75,4H??40??
????,??,2025-11-04 16:00,2025-11-04 22:30,104433.86,103377.92,105373.76,103367.59,??,91.16,6.50,4H??40??
????,??,2025-11-05 00:00,2025-11-05 01:00,103145.28,102102.38,104073.59,102092.17,??,91.16,1.00,4H??40??
????,??,2025-11-05 04:00,2025-11-05 05:30,100487.05,99471.02,101391.43,99461.08,??,91.16,1.50,4H??40??
????,??,2025-11-14 04:00,2025-11-14 06:30,98619.54,99507.11,99507.11,97612.63,????,-100.00,2.50,4H??40??
????,??,2025-11-14 16:00,2025-11-14 19:30,97076.59,96095.05,97950.28,96085.44,??,91.16,3.50,4H??40??
????,??,2025-11-18 04:00,2025-11-18 10:45,91642.03,90715.44,92466.81,90706.37,??,91.16,6.75,4H??40??
????,??,2025-11-18 12:00,2025-11-18 12:15,90798.22,89880.16,91615.40,89871.17,??,91.16,0.25,4H??40??
????,??,2025-11-20 04:00,2025-11-20 04:45,88839.82,89639.37,89639.37,87932.76,????,-100.00,0.75,4H??40??
????,??,2025-11-21 04:00,2025-11-21 06:00,86870.11,87651.94,87651.94,85983.17,????,-100.00,2.00,4H??40??
????,??,2025-11-21 12:00,2025-11-21 15:30,85781.62,84914.28,86553.66,84905.79,??,91.16,3.50,4H??40??
????,??,2025-11-21 16:00,2025-11-21 17:15,83991.60,83142.36,84747.52,83134.05,??,91.16,1.25,4H??40??
????,??,2025-12-02 00:00,2025-12-02 00:30,84628.44,85390.09,85390.09,83764.38,????,-100.00,0.50,4H??40??
????,??,2025-12-15 08:00,2025-12-15 09:30,88105.69,88898.64,88898.64,87206.13,????,-100.00,1.50,4H??40??
????,??,2025-12-16 00:00,2025-12-16 00:30,86975.70,86096.29,87758.48,86087.68,??,91.16,0.50,4H??40??
????,??,2025-12-16 04:00,2025-12-16 18:30,86087.69,86862.48,86862.48,85208.74,????,-100.00,14.50,4H??40??
????,??,2025-12-19 04:00,2025-12-19 04:00,84424.56,85184.38,85184.38,83562.58,????,-100.00,0.00,4H??40??
????,??,2026-01-04 12:00,2026-01-05 08:45,91203.72,92125.70,90382.89,92134.91,??,91.04,20.75,4H??40??
????,??,2026-01-05 12:00,2026-01-05 23:30,92853.38,93792.04,92017.70,93801.42,??,91.04,11.50,4H??40??
????,??,2026-01-06 00:00,2026-01-07 00:15,93918.39,93073.13,93073.13,94877.30,????,-100.00,24.25,4H??40??
????,??,2026-01-06 04:00,2026-01-06 15:15,94254.42,93406.13,93406.13,95216.76,????,-100.00,11.25,4H??40??
????,??,2026-01-14 04:00,2026-01-14 06:00,94190.42,95142.59,93342.70,95152.10,??,91.04,2.00,4H??40??
????,??,2026-01-14 08:00,2026-01-14 14:30,95403.74,94545.11,94545.11,96377.81,????,-100.00,6.50,4H??40??
????,??,2026-01-15 04:00,2026-01-15 09:15,97222.92,96347.92,96347.92,98215.57,????,-100.00,5.25,4H??40??
????,??,2026-01-21 04:00,2026-01-21 06:30,89670.93,88764.27,90477.97,88755.39,??,91.16,2.50,4H??40??
????,??,2026-01-21 08:00,2026-01-21 10:00,88378.46,89173.87,89173.87,87476.12,????,-100.00,2.00,4H??40??
????,??,2026-01-26 04:00,2026-01-26 09:00,86456.25,87234.36,87234.36,85573.54,????,-100.00,5.00,4H??40??
????,??,2026-01-30 00:00,2026-01-30 01:45,84893.01,84034.65,85657.05,84026.25,??,91.16,1.75,4H??40??
????,??,2026-01-30 04:00,2026-01-30 09:30,83959.80,83110.88,84715.44,83102.57,??,91.16,5.50,4H??40??
????,??,2026-01-30 12:00,2026-01-30 22:30,82623.54,83367.15,83367.15,81779.95,????,-100.00,10.50,4H??40??
????,??,2026-02-01 04:00,2026-02-01 06:00,77704.43,78403.77,78403.77,76911.07,????,-100.00,2.00,4H??40??
????,??,2026-02-05 12:00,2026-02-05 13:15,71187.78,70468.00,71828.47,70460.95,??,91.16,1.25,4H??40??
????,??,2026-02-05 16:00,2026-02-05 16:15,70710.03,71346.42,71346.42,69988.08,????,-100.00,0.25,4H??40??
????,??,2026-02-06 00:00,2026-02-06 00:15,67449.75,68056.80,68056.80,66761.09,????,-100.00,0.25,4H??40??
????,??,2026-02-06 04:00,2026-02-06 04:15,65234.18,64574.59,65821.28,64568.13,??,91.16,0.25,4H??40??
????,??,2026-02-06 08:00,2026-02-06 08:00,62867.31,62231.66,63433.12,62225.44,??,91.16,0.00,4H??40??
