score,??,??,??,??,??,PF,????,????,????,????,????,????,????,??,???,??R
-3.4683,??????_w35_ATR2.2_RSI54/46_8x_10%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,8,0.1,3.5
-3.4683,??????_w35_ATR2.2_RSI56/44_8x_10%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,8,0.1,3.5
-3.8508,??????_w35_ATR2.2_RSI52/48_12x_7%_3.5R_???,27,29.63,13.68,12.49,1.29,76.92,-25.19,4,9,5.85,12.49,0.19,12,0.07,3.5
-3.8508,??????_w35_ATR2.2_RSI54/46_12x_7%_3.5R_???,27,29.63,13.68,12.49,1.29,76.92,-25.19,4,9,5.85,12.49,0.19,12,0.07,3.5
-3.8508,??????_w35_ATR2.2_RSI56/44_12x_7%_3.5R_???,27,29.63,13.68,12.49,1.29,76.92,-25.19,4,9,5.85,12.49,0.19,12,0.07,3.5
-4.2792,??????_w40_ATR2.2_RSI52/48_8x_7%_3.5R_???,26,30.77,12.25,8.46,1.41,52.31,-16.45,4,9,4.15,8.46,2.81,8,0.07,3.5
-4.2792,??????_w40_ATR2.2_RSI54/46_8x_7%_3.5R_???,26,30.77,12.25,8.46,1.41,52.31,-16.45,4,9,4.15,8.46,2.81,8,0.07,3.5
-4.2792,??????_w40_ATR2.2_RSI56/44_8x_7%_3.5R_???,26,30.77,12.25,8.46,1.41,52.31,-16.45,4,9,4.15,8.46,2.81,8,0.07,3.5
-4.346,??????_w40_ATR2.2_RSI52/48_10x_10%_3.5R_???,26,30.77,20.72,14.74,1.38,94.08,-30.3,4,9,6.71,14.74,4.23,10,0.1,3.5
-4.346,??????_w40_ATR2.2_RSI54/46_10x_10%_3.5R_???,26,30.77,20.72,14.74,1.38,94.08,-30.3,4,9,6.71,14.74,4.23,10,0.1,3.5
-4.346,??????_w40_ATR2.2_RSI56/44_10x_10%_3.5R_???,26,30.77,20.72,14.74,1.38,94.08,-30.3,4,9,6.71,14.74,4.23,10,0.1,3.5
-4.7824,??????_w45_ATR2.2_RSI52/48_12x_7%_3.5R_???,27,29.63,12.48,12.49,1.26,74.51,-24.81,4,9,5.85,12.49,-0.88,12,0.07,3.5
-4.7824,??????_w45_ATR2.2_RSI54/46_12x_7%_3.5R_???,27,29.63,12.48,12.49,1.26,74.51,-24.81,4,9,5.85,12.49,-0.88,12,0.07,3.5
-4.7824,??????_w45_ATR2.2_RSI56/44_12x_7%_3.5R_???,27,29.63,12.48,12.49,1.26,74.51,-24.81,4,9,5.85,12.49,-0.88,12,0.07,3.5
-4.7984,??????_w35_ATR2.2_RSI52/48_8x_9%_3.5R_???,27,29.63,12.02,10.78,1.29,66.05,-21.48,4,9,5.15,10.78,0.33,8,0.09,3.5
-4.7984,??????_w35_ATR2.2_RSI54/46_8x_9%_3.5R_???,27,29.63,12.02,10.78,1.29,66.05,-21.48,4,9,5.15,10.78,0.33,8,0.09,3.5
-4.7984,??????_w35_ATR2.2_RSI56/44_8x_9%_3.5R_???,27,29.63,12.02,10.78,1.29,66.05,-21.48,4,9,5.15,10.78,0.33,8,0.09,3.5
-5.1409,??????_w35_ATR2.2_RSI52/48_10x_7%_3.5R_???,27,29.63,11.74,10.49,1.3,64.23,-20.87,4,9,5.03,10.49,0.35,10,0.07,3.5
-5.1409,??????_w35_ATR2.2_RSI54/46_10x_7%_3.5R_???,27,29.63,11.74,10.49,1.3,64.23,-20.87,4,9,5.03,10.49,0.35,10,0.07,3.5
-5.1409,??????_w35_ATR2.2_RSI56/44_10x_7%_3.5R_???,27,29.63,11.74,10.49,1.3,64.23,-20.87,4,9,5.03,10.49,0.35,10,0.07,3.5
-5.15,??????_w35_ATR2.2_RSI52/48_8x_11%_3.5R_???,27,29.63,14.21,13.06,1.28,80.53,-26.43,4,9,6.08,13.06,0.13,8,0.11,3.5
-5.15,??????_w35_ATR2.2_RSI54/46_8x_11%_3.5R_???,27,29.63,14.21,13.06,1.28,80.53,-26.43,4,9,6.08,13.06,0.13,8,0.11,3.5
-5.15,??????_w35_ATR2.2_RSI56/44_8x_11%_3.5R_???,27,29.63,14.21,13.06,1.28,80.53,-26.43,4,9,6.08,13.06,0.13,8,0.11,3.5
-5.335,??????_w45_ATR2.2_RSI52/48_8x_10%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,8,0.1,3.5
-5.335,??????_w45_ATR2.2_RSI52/48_10x_8%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,10,0.08,3.5
-5.335,??????_w45_ATR2.2_RSI54/46_8x_10%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,8,0.1,3.5
-5.335,??????_w45_ATR2.2_RSI54/46_10x_8%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,10,0.08,3.5
-5.335,??????_w45_ATR2.2_RSI56/44_8x_10%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,8,0.1,3.5
-5.335,??????_w45_ATR2.2_RSI56/44_10x_8%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,10,0.08,3.5
-5.804,??????_w35_ATR2.2_RSI52/48_10x_9%_3.5R_???,27,29.63,14.47,13.34,1.28,82.32,-27.05,4,9,6.19,13.34,0.1,10,0.09,3.5
-5.804,??????_w35_ATR2.2_RSI54/46_10x_9%_3.5R_???,27,29.63,14.47,13.34,1.28,82.32,-27.05,4,9,6.19,13.34,0.1,10,0.09,3.5
-5.804,??????_w35_ATR2.2_RSI56/44_10x_9%_3.5R_???,27,29.63,14.47,13.34,1.28,82.32,-27.05,4,9,6.19,13.34,0.1,10,0.09,3.5
-5.8414,??????_w45_ATR2.2_RSI52/48_8x_11%_3.5R_???,27,29.63,12.95,13.06,1.26,77.99,-26.02,4,9,6.08,13.06,-0.98,8,0.11,3.5
-5.8414,??????_w45_ATR2.2_RSI54/46_8x_11%_3.5R_???,27,29.63,12.95,13.06,1.26,77.99,-26.02,4,9,6.08,13.06,-0.98,8,0.11,3.5
-5.8414,??????_w45_ATR2.2_RSI56/44_8x_11%_3.5R_???,27,29.63,12.95,13.06,1.26,77.99,-26.02,4,9,6.08,13.06,-0.98,8,0.11,3.5
-6.1913,??????_w35_ATR2.2_RSI52/48_8x_8%_3.5R_???,27,29.63,10.86,9.63,1.3,58.76,-19.03,4,9,4.66,9.63,0.39,8,0.08,3.5
-6.1913,??????_w35_ATR2.2_RSI54/46_8x_8%_3.5R_???,27,29.63,10.86,9.63,1.3,58.76,-19.03,4,9,4.66,9.63,0.39,8,0.08,3.5
-6.1913,??????_w35_ATR2.2_RSI56/44_8x_8%_3.5R_???,27,29.63,10.86,9.63,1.3,58.76,-19.03,4,9,4.66,9.63,0.39,8,0.08,3.5
-6.4433,??????_w40_ATR2.4_RSI52/48_8x_9%_3.5R_???,25,28.0,10.94,11.66,1.28,72.3,-22.04,6,8,6.98,11.69,-3.0,8,0.09,3.5
-6.4433,??????_w40_ATR2.4_RSI54/46_8x_9%_3.5R_???,25,28.0,10.94,11.66,1.28,72.3,-22.04,6,8,6.98,11.69,-3.0,8,0.09,3.5
-6.4433,??????_w40_ATR2.4_RSI56/44_8x_9%_3.5R_???,25,28.0,10.94,11.66,1.28,72.3,-22.04,6,8,6.98,11.69,-3.0,8,0.09,3.5
-6.4883,??????_w45_ATR2.2_RSI52/48_8x_9%_3.5R_???,27,29.63,10.98,10.78,1.27,64.01,-21.17,4,9,5.15,10.78,-0.6,8,0.09,3.5
-6.4883,??????_w45_ATR2.2_RSI54/46_8x_9%_3.5R_???,27,29.63,10.98,10.78,1.27,64.01,-21.17,4,9,5.15,10.78,-0.6,8,0.09,3.5
-6.4883,??????_w45_ATR2.2_RSI56/44_8x_9%_3.5R_???,27,29.63,10.98,10.78,1.27,64.01,-21.17,4,9,5.15,10.78,-0.6,8,0.09,3.5
-6.5056,??????_w45_ATR2.2_RSI52/48_10x_9%_3.5R_???,27,29.63,13.18,13.34,1.26,79.73,-26.63,4,9,6.19,13.34,-1.03,10,0.09,3.5
-6.5056,??????_w45_ATR2.2_RSI54/46_10x_9%_3.5R_???,27,29.63,13.18,13.34,1.26,79.73,-26.63,4,9,6.19,13.34,-1.03,10,0.09,3.5
-6.5056,??????_w45_ATR2.2_RSI56/44_10x_9%_3.5R_???,27,29.63,13.18,13.34,1.26,79.73,-26.63,4,9,6.19,13.34,-1.03,10,0.09,3.5
-6.7865,??????_w45_ATR2.2_RSI52/48_10x_7%_3.5R_???,27,29.63,10.73,10.49,1.27,62.26,-20.57,4,9,5.03,10.49,-0.56,10,0.07,3.5
-6.7865,??????_w45_ATR2.2_RSI54/46_10x_7%_3.5R_???,27,29.63,10.73,10.49,1.27,62.26,-20.57,4,9,5.03,10.49,-0.56,10,0.07,3.5
-6.7865,??????_w45_ATR2.2_RSI56/44_10x_7%_3.5R_???,27,29.63,10.73,10.49,1.27,62.26,-20.57,4,9,5.03,10.49,-0.56,10,0.07,3.5
-6.8055,??????_w40_ATR2.4_RSI52/48_10x_7%_3.5R_???,25,28.0,10.69,11.35,1.28,70.36,-21.42,6,8,6.81,11.38,-2.89,10,0.07,3.5
-6.8055,??????_w40_ATR2.4_RSI54/46_10x_7%_3.5R_???,25,28.0,10.69,11.35,1.28,70.36,-21.42,6,8,6.81,11.38,-2.89,10,0.07,3.5
-6.8055,??????_w40_ATR2.4_RSI56/44_10x_7%_3.5R_???,25,28.0,10.69,11.35,1.28,70.36,-21.42,6,8,6.81,11.38,-2.89,10,0.07,3.5
-7.6442,??????_w35_ATR2.2_RSI52/48_8x_7%_3.5R_???,27,29.63,9.65,8.46,1.31,51.45,-16.59,4,9,4.15,8.46,0.43,8,0.07,3.5
-7.6442,??????_w35_ATR2.2_RSI54/46_8x_7%_3.5R_???,27,29.63,9.65,8.46,1.31,51.45,-16.59,4,9,4.15,8.46,0.43,8,0.07,3.5
-7.6442,??????_w35_ATR2.2_RSI56/44_8x_7%_3.5R_???,27,29.63,9.65,8.46,1.31,51.45,-16.59,4,9,4.15,8.46,0.43,8,0.07,3.5
-7.704,??????_w45_ATR2.2_RSI52/48_8x_8%_3.5R_???,27,29.63,9.93,9.63,1.28,56.97,-18.76,4,9,4.66,9.63,-0.45,8,0.08,3.5
-7.704,??????_w45_ATR2.2_RSI54/46_8x_8%_3.5R_???,27,29.63,9.93,9.63,1.28,56.97,-18.76,4,9,4.66,9.63,-0.45,8,0.08,3.5
-7.704,??????_w45_ATR2.2_RSI56/44_8x_8%_3.5R_???,27,29.63,9.93,9.63,1.28,56.97,-18.76,4,9,4.66,9.63,-0.45,8,0.08,3.5
-7.7113,??????_w40_ATR2.4_RSI52/48_8x_10%_3.5R_???,25,28.0,11.9,12.89,1.27,80.0,-24.5,6,8,7.65,12.92,-3.44,8,0.1,3.5
-7.7113,??????_w40_ATR2.4_RSI54/46_8x_10%_3.5R_???,25,28.0,11.9,12.89,1.27,80.0,-24.5,6,8,7.65,12.92,-3.44,8,0.1,3.5
-7.7113,??????_w40_ATR2.4_RSI56/44_8x_10%_3.5R_???,25,28.0,11.9,12.89,1.27,80.0,-24.5,6,8,7.65,12.92,-3.44,8,0.1,3.5
-7.7113,??????_w40_ATR2.4_RSI52/48_10x_8%_3.5R_???,25,28.0,11.9,12.89,1.27,80.0,-24.5,6,8,7.65,12.92,-3.44,10,0.08,3.5
-7.7113,??????_w40_ATR2.4_RSI54/46_10x_8%_3.5R_???,25,28.0,11.9,12.89,1.27,80.0,-24.5,6,8,7.65,12.92,-3.44,10,0.08,3.5
-7.7113,??????_w40_ATR2.4_RSI56/44_10x_8%_3.5R_???,25,28.0,11.9,12.89,1.27,80.0,-24.5,6,8,7.65,12.92,-3.44,10,0.08,3.5
-7.7837,??????_w35_ATR2.2_RSI52/48_8x_12%_3.5R_???,27,29.63,15.23,14.18,1.28,87.71,-28.91,4,9,6.51,14.18,-0.01,8,0.12,3.5
-7.7837,??????_w35_ATR2.2_RSI52/48_12x_8%_3.5R_???,27,29.63,15.23,14.18,1.28,87.71,-28.91,4,9,6.51,14.18,-0.01,12,0.08,3.5
-7.7837,??????_w35_ATR2.2_RSI54/46_8x_12%_3.5R_???,27,29.63,15.23,14.18,1.28,87.71,-28.91,4,9,6.51,14.18,-0.01,8,0.12,3.5
-7.7837,??????_w35_ATR2.2_RSI54/46_12x_8%_3.5R_???,27,29.63,15.23,14.18,1.28,87.71,-28.91,4,9,6.51,14.18,-0.01,12,0.08,3.5
-7.7837,??????_w35_ATR2.2_RSI56/44_8x_12%_3.5R_???,27,29.63,15.23,14.18,1.28,87.71,-28.91,4,9,6.51,14.18,-0.01,8,0.12,3.5
-7.7837,??????_w35_ATR2.2_RSI56/44_12x_8%_3.5R_???,27,29.63,15.23,14.18,1.28,87.71,-28.91,4,9,6.51,14.18,-0.01,12,0.08,3.5
-7.9226,??????_w40_ATR2.4_RSI52/48_8x_8%_3.5R_???,25,28.0,9.92,10.41,1.28,64.51,-19.58,6,8,6.29,10.44,-2.57,8,0.08,3.5
