方向,入场时间,出场时间,入场价,出场价,强平价,止损价,止盈价,净盈亏,收益率%,出场原因,权益,备注
做空,2025-06-10 16:00,2025-06-13 08:00,109201.08,104793.83,114115.13,112247.79,104783.35,39.38,3.94,止盈,1039.38,80根4H高位反转做空
做多,2025-06-22 12:00,2025-06-22 22:15,102395.14,99528.36,97787.36,99538.31,106537.53,-30.12,-2.90,止损,1009.25,80根4H低位反转做多
做空,2025-06-26 00:00,2025-07-03 17:30,107023.80,110020.76,111839.87,110009.76,102694.15,-29.29,-2.90,止损,979.97,80根4H高位反转做空
做空,2025-07-10 08:00,2025-07-11 05:15,111228.18,116233.44,116233.44,114331.44,106728.44,-49.49,-5.05,强平,930.48,80根4H高位反转做空
做空,2025-07-12 00:00,2025-07-14 11:30,116909.61,120183.40,122170.54,120171.39,112180.03,-27.00,-2.90,止损,903.48,80根4H高位反转做空
做空,2025-07-14 20:00,2025-07-15 12:00,121448.95,116547.39,126914.16,124837.38,116535.74,35.58,3.94,止盈,939.06,80根4H高位反转做空
做多,2025-08-01 20:00,2025-08-03 02:45,115309.73,112081.38,110120.79,112092.59,119974.58,-27.22,-2.90,止损,911.84,80根4H低位反转做多
做多,2025-08-03 08:00,2025-08-08 03:30,112571.26,117113.61,107505.55,109430.52,117125.33,35.86,3.93,止盈,947.71,80根4H低位反转做多
做空,2025-08-11 04:00,2025-08-11 11:00,118636.24,121958.38,123974.87,121946.19,113836.81,-27.50,-2.90,止损,920.21,80根4H高位反转做空
做空,2025-08-11 16:00,2025-08-18 09:30,121518.65,116614.27,126986.99,124909.02,116602.61,36.24,3.94,止盈,956.44,80根4H高位反转做空
做多,2025-08-19 16:00,2025-08-22 20:30,115010.40,111790.43,109834.93,111801.61,119663.15,-27.72,-2.90,止损,928.72,80根4H低位反转做多
做多,2025-08-26 16:00,2025-09-12 06:15,110311.03,114762.19,105347.03,107233.35,114773.66,36.53,3.93,止盈,965.25,80根4H低位反转做多
做空,2025-09-12 12:00,2025-09-26 01:00,115188.48,110539.58,120371.96,118402.24,110528.53,38.01,3.94,止盈,1003.26,80根4H高位反转做空
做多,2025-09-26 12:00,2025-09-29 22:30,109584.06,114005.88,104652.77,106526.66,114017.28,39.46,3.93,止盈,1042.72,80根4H低位反转做多
做空,2025-10-02 16:00,2025-10-03 23:30,118476.15,121793.81,123807.58,121781.64,113683.20,-30.26,-2.90,止损,1012.46,80根4H高位反转做空
做空,2025-10-04 08:00,2025-10-05 12:45,122227.18,125649.88,127727.40,125637.31,117282.48,-29.38,-2.90,止损,983.09,80根4H高位反转做空
做空,2025-10-05 20:00,2025-10-11 00:45,123455.65,118473.10,129011.16,126900.07,118461.25,38.71,3.94,止盈,1021.80,80根4H高位反转做空
做空,2025-10-27 20:00,2025-10-30 02:30,115341.56,110686.49,120531.94,118559.59,110675.42,40.24,3.94,止盈,1062.04,80根4H高位反转做空
做多,2025-11-03 20:00,2025-11-04 13:45,107805.18,104786.94,102953.95,104797.41,112166.44,-30.78,-2.90,止损,1031.26,80根4H低位反转做多
做多,2025-11-04 20:00,2025-11-05 01:00,104592.16,101663.87,99885.51,101674.04,108823.43,-29.89,-2.90,止损,1001.37,80根4H低位反转做多
做多,2025-11-05 08:00,2025-11-10 08:15,101501.65,105597.34,96934.07,98669.75,105607.90,39.38,3.93,止盈,1040.75,80根4H低位反转做多
做多,2025-11-15 00:00,2025-11-15 07:00,96812.68,94102.20,92456.11,94111.61,100729.24,-30.16,-2.90,止损,1010.59,80根4H低位反转做多
做多,2025-11-15 12:00,2025-11-17 05:00,96421.64,93722.10,92082.67,93731.48,100322.38,-29.29,-2.90,止损,981.30,80根4H低位反转做多
做多,2025-11-17 08:00,2025-11-18 03:45,94278.93,91639.38,90036.38,91648.54,98092.98,-28.44,-2.90,止损,952.86,80根4H低位反转做多
做多,2025-11-18 08:00,2025-11-18 12:45,92236.02,89653.67,88085.40,89662.64,95967.43,-27.62,-2.90,止损,925.24,80根4H低位反转做多
做多,2025-11-22 00:00,2025-11-23 10:30,82946.49,86293.46,79213.90,80632.29,86302.09,36.39,3.93,止盈,961.63,80根4H低位反转做多
做空,2025-12-04 00:00,2025-12-06 00:30,92370.86,88642.86,96527.55,94948.01,88634.00,37.87,3.94,止盈,999.50,80根4H高位反转做空
做多,2025-12-16 08:00,2025-12-17 23:00,86441.64,89929.65,82551.77,84029.92,89938.64,39.31,3.93,止盈,1038.81,80根4H低位反转做多
做多,2025-12-18 08:00,2025-12-22 16:15,86256.72,89737.27,82375.17,83850.16,89746.24,40.86,3.93,止盈,1079.66,80根4H低位反转做多
做空,2025-12-29 16:00,2026-01-05 08:45,89603.34,92112.48,93635.49,92103.27,85978.44,-31.33,-2.90,止损,1048.34,80根4H高位反转做空
做空,2026-01-05 16:00,2026-01-14 06:00,92516.75,95107.47,96680.00,95097.96,88773.98,-30.42,-2.90,止损,1017.92,80根4H高位反转做空
做空,2026-01-14 16:00,2026-01-15 04:00,95192.38,97858.03,99476.04,97848.25,91341.37,-29.54,-2.90,止损,988.38,80根4H高位反转做空
做空,2026-01-15 08:00,2026-01-19 08:00,96936.31,93024.05,101298.44,99640.83,93014.75,38.92,3.94,止盈,1027.30,80根4H高位反转做空
做多,2026-01-21 12:00,2026-01-26 02:30,89440.14,86936.07,85415.34,86944.76,93058.44,-29.77,-2.90,止损,997.53,80根4H低位反转做多
做多,2026-01-26 08:00,2026-01-28 21:00,86675.47,90172.90,82775.07,84257.22,90181.92,39.23,3.93,止盈,1036.76,80根4H低位反转做多
做多,2026-01-30 08:00,2026-01-30 09:30,84663.17,82292.83,80853.32,82301.06,88088.21,-30.05,-2.90,止损,1006.71,80根4H低位反转做多
做多,2026-01-31 04:00,2026-01-31 22:15,84256.32,81897.38,80464.79,81905.57,87664.91,-29.18,-2.90,止损,977.53,80根4H低位反转做多
做多,2026-02-02 16:00,2026-02-04 02:15,76656.66,74510.49,73207.11,74517.94,79757.81,-28.33,-2.90,止损,949.20,80根4H低位反转做多
做多,2026-02-06 12:00,2026-02-06 13:45,64181.72,66771.51,61293.54,62391.05,66778.19,37.33,3.93,止盈,986.54,80根4H低位反转做多
做多,2026-02-24 08:00,2026-02-24 13:15,64664.57,62854.14,61754.66,62860.42,67280.57,-28.59,-2.90,止损,957.94,80根4H低位反转做多
做多,2026-02-24 20:00,2026-02-25 09:00,63232.42,65783.91,60386.96,61468.24,65790.49,37.68,3.93,止盈,995.62,80根4H低位反转做多
做空,2026-03-05 08:00,2026-03-06 20:30,72671.13,69738.19,75941.33,74698.66,69731.22,39.21,3.94,止盈,1034.83,80根4H高位反转做空
做空,2026-03-14 00:00,2026-03-16 11:30,71824.82,73836.11,75056.93,73828.73,68919.14,-30.03,-2.90,止损,1004.80,80根4H高位反转做空
做空,2026-03-16 16:00,2026-03-17 08:15,73441.66,75498.23,76746.53,75490.68,70470.57,-29.16,-2.90,止损,975.64,80根4H高位反转做空
做空,2026-03-17 12:00,2026-03-18 22:45,74458.25,71453.19,77808.87,76535.64,71446.04,38.42,3.94,止盈,1014.06,80根4H高位反转做空
做多,2026-03-23 12:00,2026-03-23 19:00,68093.61,70841.25,65029.40,66193.80,70848.34,39.88,3.93,止盈,1053.95,80根4H低位反转做多
做多,2026-03-28 08:00,2026-04-01 14:30,66410.54,69090.27,63422.07,64557.69,69097.18,41.45,3.93,止盈,1095.40,80根4H低位反转做多
做空,2026-04-08 12:00,2026-04-10 23:15,71292.97,73289.37,74501.15,73282.04,68408.81,-31.78,-2.90,止损,1063.61,80根4H高位反转做空
做空,2026-04-11 08:00,2026-04-14 21:30,72951.80,74994.66,76234.64,74987.16,70000.54,-30.86,-2.90,止损,1032.75,80根4H高位反转做空
