月份,交易数,盈利数,亏损数,净盈亏U,月收益,月末权益
2021-07,3,2,1,221.47,22.15,1221.47
2021-08,3,2,1,4.74,0.39,1226.21
2021-09,2,1,1,12.51,1.02,1238.72
2021-10,4,3,1,113.85,9.19,1352.57
2021-11,2,1,1,-29.84,-2.21,1322.72
2021-12,3,1,2,-139.21,-10.52,1183.52
2022-01,3,1,2,-24.78,-2.09,1158.73
2022-02,4,2,2,-26.19,-2.26,1132.54
2022-03,3,2,1,25.17,2.22,1157.70
2022-04,3,1,2,-40.13,-3.47,1117.58
2022-05,3,1,2,30.64,2.74,1148.22
2022-06,3,2,1,166.12,14.47,1314.33
2022-07,5,0,5,-313.67,-23.87,1000.66
2022-08,3,1,2,-79.73,-7.97,920.93
2022-09,2,1,1,47.83,5.19,968.75
2022-10,2,2,0,4.77,0.49,973.52
2022-11,4,1,3,-36.92,-3.79,936.61
2022-12,3,0,3,-20.75,-2.22,915.85
2023-01,6,3,3,118.97,12.99,1034.82
2023-02,2,1,1,53.53,5.17,1088.35
2023-03,5,3,2,69.34,6.37,1157.69
2023-04,4,1,3,-62.88,-5.43,1094.81
2023-05,1,0,1,-29.07,-2.66,1065.74
2023-06,2,2,0,131.36,12.33,1197.10
2023-07,1,0,1,-41.99,-3.51,1155.11
2023-08,3,2,1,51.13,4.43,1206.24
2023-09,2,1,1,-5.59,-0.46,1200.65
2023-10,6,6,0,423.52,35.27,1624.17
2023-11,2,0,2,-119.66,-7.37,1504.51
2023-12,2,2,0,214.53,14.26,1719.04
2024-01,3,1,2,-30.67,-1.78,1688.37
2024-02,3,3,0,485.81,28.77,2174.18
2024-03,2,1,1,-191.39,-8.80,1982.79
2024-04,4,1,3,-194.43,-9.81,1788.36
2024-05,2,2,0,141.57,7.92,1929.93
2024-06,4,2,2,112.56,5.83,2042.49
2024-07,5,2,3,23.34,1.14,2065.84
2024-08,2,1,1,267.34,12.94,2333.17
2024-09,3,3,0,234.81,10.06,2567.98
2024-10,5,2,3,-143.51,-5.59,2424.47
2024-11,5,3,2,233.72,9.64,2658.19
2024-12,1,0,1,-190.88,-7.18,2467.32
2025-01,5,1,4,-267.97,-10.86,2199.34
2025-02,2,1,1,92.83,4.22,2292.17
2025-03,2,0,2,-210.46,-9.18,2081.71
2025-04,4,1,3,-51.30,-2.46,2030.41
2025-05,2,1,1,84.50,4.16,2114.91
2025-06,2,2,0,63.61,3.01,2178.53
2025-07,2,1,1,139.56,6.41,2318.09
2025-08,5,3,2,53.55,2.31,2371.63
2025-09,4,0,4,-156.67,-6.61,2214.97
2025-10,5,3,2,420.63,18.99,2635.60
2025-11,3,3,0,295.21,11.20,2930.81
2025-12,1,0,1,-132.64,-4.53,2798.17
2026-01,4,2,2,-119.50,-4.27,2678.68
2026-02,4,3,1,666.27,24.87,3344.95
2026-03,3,0,3,-333.08,-9.96,3011.87
2026-04,3,2,1,72.83,2.42,3084.70
2026-05,4,0,4,-176.09,-5.71,2908.61
