ts,open,high,low,close,volume
1692342000000,26503.5,26526.3,26471.0,26485.0,108135.0
1692342900000,26485.0,26496.0,26453.3,26455.2,63490.0
1692343800000,26455.3,26480.8,26430.9,26440.9,120646.0
1692344700000,26441.0,26469.4,26418.2,26428.6,120978.0
1692345600000,26428.6,26496.7,26416.9,26496.6,78494.0
1692346500000,26496.7,26496.7,26420.2,26441.2,84366.0
1692347400000,26441.2,26461.9,26424.3,26461.9,62659.0
1692348300000,26462.0,26588.0,26458.3,26580.8,234678.0
1692349200000,26580.8,26582.0,26536.1,26566.0,111742.0
1692350100000,26566.0,26600.0,26522.5,26532.6,134320.0
1692351000000,26532.6,26532.7,26489.3,26489.3,91415.0
1692351900000,26489.2,26499.9,26418.1,26446.6,131026.0
1692352800000,26446.9,26460.3,26378.4,26436.7,185566.0
1692353700000,26436.7,26458.7,26408.0,26415.8,70886.0
1692354600000,26415.8,26465.7,26415.7,26425.7,80438.0
1692355500000,26425.6,26451.0,26425.6,26444.8,30371.0
1692356400000,26444.8,26451.0,26430.0,26444.0,42212.0
1692357300000,26444.0,26460.5,26380.2,26395.1,93956.0
1692358200000,26395.0,26516.4,26381.7,26477.6,143104.0
1692359100000,26477.6,26508.0,26461.9,26485.7,139829.0
1692360000000,26485.7,26496.0,26329.0,26388.7,275623.0
1692360900000,26388.8,26412.7,26348.4,26374.0,189921.0
1692361800000,26374.0,26408.2,26336.2,26357.9,136974.0
1692362700000,26358.1,26370.3,26321.0,26325.1,114493.0
1692363600000,26325.0,26342.7,26244.0,26314.5,276541.0
1692364500000,26314.5,26332.9,26231.4,26253.2,205815.0
1692365400000,26254.2,26349.0,26243.8,26320.0,256677.0
1692366300000,26320.0,26386.6,26211.0,26234.0,342602.0
1692367200000,26234.1,26280.1,26172.3,26191.1,331147.0
1692368100000,26191.1,26229.9,26122.0,26159.5,321539.0
1692369000000,26159.4,26309.8,26154.3,26284.2,230736.0
1692369900000,26284.1,26284.1,25924.5,26009.5,900307.0
1692370800000,26009.5,26208.5,25988.1,26176.1,541454.0
1692371700000,26176.0,26248.0,26071.1,26109.7,268490.0
1692372600000,26109.7,26130.0,25989.8,26069.1,294278.0
1692373500000,26069.7,26082.6,25925.9,26001.7,387818.0
1692374400000,26001.7,26142.4,25988.8,26089.9,406888.0
1692375300000,26089.9,26107.3,25988.1,25998.4,189175.0
1692376200000,25998.3,26054.5,25981.7,26025.3,152503.0
1692377100000,26025.3,26079.0,25750.0,25898.3,637501.0
1692378000000,25898.2,25944.9,25588.0,25756.7,1358501.0
1692378900000,25756.7,25929.3,25678.5,25904.1,682306.0
1692379800000,25904.1,26112.0,25877.0,26039.0,642135.0
1692380700000,26038.9,26100.0,26000.0,26007.8,180584.0
1692381600000,26007.9,26025.9,25920.0,25938.0,187311.0
1692382500000,25938.0,26077.7,25937.9,26047.0,189138.0
1692383400000,26046.1,26194.9,26028.2,26169.0,294809.0
1692384300000,26169.0,26318.0,26102.8,26120.4,591310.0
1692385200000,26120.3,26132.8,26011.3,26065.1,323706.0
1692386100000,26065.0,26102.6,26036.0,26078.1,113191.0
1692387000000,26078.1,26088.2,25988.8,26029.0,160192.0
1692387900000,26029.0,26147.1,26012.0,26064.2,204143.0
1692388800000,26066.4,26148.5,26044.5,26134.5,124573.0
1692389700000,26134.5,26240.0,26124.2,26237.3,180553.0
1692390600000,26235.9,26240.0,26168.7,26205.8,80267.0
1692391500000,26205.7,26206.0,26069.6,26088.0,222375.0
1692392400000,26088.0,26134.2,26088.0,26123.4,62722.0
1692393300000,26123.4,26181.1,26106.9,26130.1,54960.0
1692394200000,26130.1,26141.3,26074.4,26105.6,57865.0
1692395100000,26105.7,26105.7,26061.7,26066.5,58960.0
1692396000000,26066.5,26121.9,26050.0,26111.2,45152.0
1692396900000,26111.2,26114.0,26042.6,26090.7,60482.0
1692397800000,26090.8,26096.3,26063.9,26094.3,23708.0
1692398700000,26094.3,26110.7,26062.7,26070.1,34836.0
1692399600000,26070.1,26097.6,26055.0,26055.0,36882.0
1692400500000,26055.1,26064.7,26031.1,26035.0,80773.0
1692401400000,26035.0,26050.7,26011.0,26036.0,63627.0
1692402300000,26035.9,26064.6,26030.1,26060.2,38504.0
1692403200000,26060.2,26085.0,26054.1,26075.3,52979.0
1692404100000,26075.4,26075.4,26021.8,26023.4,59471.0
1692405000000,26023.9,26161.9,26023.9,26139.9,99085.0
1692405900000,26139.9,26139.9,26095.2,26101.2,56722.0
1692406800000,26101.2,26104.0,26056.7,26060.2,41171.0
1692407700000,26060.1,26081.2,26036.8,26078.6,51857.0
1692408600000,26077.5,26077.5,26024.1,26025.6,60362.0
1692409500000,26025.6,26045.1,26013.3,26015.6,61486.0
1692410400000,26015.6,26035.3,26002.2,26030.1,63079.0
1692411300000,26030.0,26068.0,26022.0,26053.3,51412.0
1692412200000,26053.3,26068.9,26014.3,26017.5,47808.0
1692413100000,26017.4,26044.0,26001.0,26005.1,58642.0
1692414000000,26005.1,26006.5,25944.0,25965.2,184747.0
1692414900000,25965.1,25977.7,25923.3,25967.9,119701.0
1692415800000,25967.9,25981.0,25947.6,25956.0,36816.0
1692416700000,25955.9,25971.3,25944.7,25971.3,41538.0
1692417600000,25971.3,25973.4,25940.0,25954.3,56709.0
1692418500000,25954.2,25974.1,25925.5,25966.7,41291.0
1692419400000,25966.7,26005.5,25952.1,26000.0,81980.0
1692420300000,26000.0,26012.0,25972.2,25989.4,82538.0
1692421200000,25989.4,25993.0,25950.3,25970.0,42189.0
1692422100000,25968.9,25980.0,25939.5,25946.1,44938.0
1692423000000,25946.0,25946.0,25868.2,25901.0,187302.0
1692423900000,25901.1,25913.0,25876.0,25884.0,62027.0
1692424800000,25883.9,25912.5,25878.0,25906.0,37735.0
1692425700000,25906.0,25911.0,25870.0,25908.1,58550.0
1692426600000,25908.0,25931.3,25832.0,25855.8,109821.0
1692427500000,25855.8,25874.5,25822.1,25836.6,84464.0
1692428400000,25836.6,25856.3,25800.0,25818.0,142961.0
1692429300000,25818.0,25846.0,25805.3,25829.7,75523.0
1692430200000,25829.6,25918.5,25825.0,25890.0,167113.0
1692431100000,25890.1,25918.6,25878.3,25918.5,102136.0
1692432000000,25918.5,25980.5,25892.2,25966.0,178431.0
1692432900000,25966.0,26001.9,25941.9,25978.1,212163.0
1692433800000,25978.0,25984.0,25924.4,25927.6,101334.0
1692434700000,25927.6,25942.7,25908.5,25932.0,54270.0
1692435600000,25932.1,25938.0,25888.0,25924.6,51660.0
1692436500000,25925.1,25927.0,25887.0,25915.9,46430.0
1692437400000,25916.0,25923.5,25889.7,25920.2,62381.0
1692438300000,25920.1,25969.6,25920.1,25943.5,72953.0
1692439200000,25943.5,25955.2,25928.7,25928.7,28616.0
1692440100000,25928.7,25951.3,25916.0,25940.1,22492.0
1692441000000,25940.0,25949.5,25915.0,25917.9,24698.0
1692441900000,25915.5,25919.4,25895.4,25912.1,36757.0
1692442800000,25912.0,25920.8,25900.0,25916.0,30544.0
1692443700000,25916.0,25921.8,25895.2,25915.1,26971.0
1692444600000,25915.1,25945.0,25906.0,25906.0,38510.0
1692445500000,25906.1,25924.0,25894.9,25898.8,28984.0
1692446400000,25898.9,25918.0,25868.3,25872.3,53813.0
1692447300000,25872.4,25898.2,25868.6,25880.5,46974.0
1692448200000,25880.4,25923.3,25880.4,25915.6,36337.0
1692449100000,25915.6,25924.1,25901.5,25911.4,34725.0
1692450000000,25911.4,25945.0,25901.6,25944.0,62999.0
1692450900000,25944.0,25978.0,25921.0,25961.9,98305.0
1692451800000,25962.0,25969.6,25945.9,25946.1,43961.0
1692452700000,25946.1,25946.1,25912.1,25922.6,37057.0
1692453600000,25922.6,25980.5,25916.5,25971.7,69250.0
1692454500000,25971.8,26044.0,25953.0,26022.4,199491.0
1692455400000,26022.2,26038.0,25981.9,25992.1,93764.0
1692456300000,25992.1,26009.1,25972.9,25975.7,34204.0
1692457200000,25975.7,26094.0,25955.3,26065.9,245082.0
1692458100000,26066.0,26099.5,26039.0,26060.0,162078.0
1692459000000,26060.1,26067.9,26027.0,26062.6,71565.0
1692459900000,26062.7,26222.1,26052.5,26206.4,572993.0
1692460800000,26206.0,26212.5,26115.0,26150.1,276331.0
1692461700000,26150.2,26191.6,26116.0,26155.0,151739.0
1692462600000,26154.9,26170.4,26116.0,26165.1,78832.0
1692463500000,26165.0,26273.2,26160.0,26247.4,314058.0
1692464400000,26247.4,26247.5,26119.2,26123.9,226678.0
1692465300000,26123.9,26148.4,26073.1,26084.0,165394.0
1692466200000,26083.9,26100.0,26070.4,26096.1,58053.0
1692467100000,26095.7,26107.2,26085.0,26085.0,35234.0
1692468000000,26085.1,26092.2,26027.4,26066.2,148860.0
1692468900000,26066.1,26085.6,26035.1,26084.9,39547.0
1692469800000,26085.0,26125.4,26082.0,26123.0,103734.0
1692470700000,26123.0,26133.9,26106.0,26120.2,50857.0
1692471600000,26120.3,26124.5,26092.4,26115.2,23171.0
1692472500000,26115.2,26129.6,26095.6,26109.9,16713.0
1692473400000,26109.9,26131.1,26104.5,26126.4,24131.0
1692474300000,26126.4,26155.0,26120.0,26122.6,48714.0
1692475200000,26122.5,26151.2,26122.5,26131.9,38150.0
1692476100000,26132.0,26132.0,26056.5,26087.9,109886.0
1692477000000,26088.0,26107.9,26027.6,26049.4,68283.0
1692477900000,26049.3,26080.4,26039.8,26061.5,66279.0
1692478800000,26061.5,26083.9,26054.6,26082.2,26482.0
1692479700000,26082.2,26096.6,26051.9,26076.0,33109.0
1692480600000,26076.0,26087.3,26055.9,26086.5,11833.0
1692481500000,26086.6,26087.6,26086.5,26087.5,8759.0
1692482400000,26087.5,26087.6,26058.4,26086.1,23580.0
1692483300000,26086.0,26091.6,26083.3,26088.5,14631.0
1692484200000,26088.5,26092.4,26079.1,26092.2,10081.0
1692485100000,26092.2,26092.3,26051.0,26055.2,16278.0
1692486000000,26055.2,26083.8,26055.2,26077.0,19809.0
1692486900000,26077.1,26127.0,26077.0,26120.8,32882.0
1692487800000,26120.8,26124.0,26102.4,26116.9,24234.0
1692488700000,26117.0,26119.0,26088.5,26102.6,15177.0
1692489600000,26102.6,26109.4,26085.0,26109.4,18041.0
1692490500000,26109.4,26138.0,26100.6,26127.3,46899.0
1692491400000,26127.2,26180.0,26102.7,26176.1,48202.0
1692492300000,26176.0,26187.2,26151.0,26179.8,68385.0
1692493200000,26179.8,26209.0,26109.4,26116.6,79525.0
1692494100000,26114.1,26114.1,26066.7,26096.2,56718.0
1692495000000,26095.8,26095.8,26048.0,26059.9,75151.0
1692495900000,26060.0,26085.1,26049.9,26072.0,69616.0
1692496800000,26072.0,26077.3,26050.7,26055.7,29261.0
1692497700000,26055.9,26085.9,26055.9,26075.0,15255.0
1692498600000,26074.9,26103.9,26066.0,26099.2,23815.0
1692499500000,26099.3,26109.4,26080.1,26096.9,19298.0
1692500400000,26097.0,26118.7,26096.3,26118.7,32949.0
1692501300000,26118.7,26136.7,26107.5,26129.0,35202.0
1692502200000,26129.1,26140.9,26114.0,26114.6,22096.0
1692503100000,26114.6,26123.9,26099.3,26100.7,34663.0
1692504000000,26100.8,26116.5,26100.7,26116.5,14845.0
1692504900000,26116.8,26127.5,26110.3,26110.5,24924.0
1692505800000,26110.5,26112.0,26094.5,26112.0,21377.0
1692506700000,26111.9,26128.0,26111.9,26116.4,12469.0
1692507600000,26116.4,26130.0,26110.0,26130.0,13665.0
1692508500000,26130.0,26160.2,26120.3,26145.9,55969.0
1692509400000,26145.9,26145.9,26118.8,26120.0,16082.0
1692510300000,26119.9,26120.0,26060.9,26084.1,97556.0
1692511200000,26084.0,26091.6,26069.5,26082.6,18891.0
1692512100000,26082.6,26091.4,26037.7,26072.1,103946.0
1692513000000,26072.1,26085.8,26053.9,26081.3,20912.0
1692513900000,26081.3,26081.3,26051.0,26058.8,46980.0
1692514800000,26058.8,26081.1,26054.4,26078.2,36811.0
1692515700000,26078.2,26082.9,26070.5,26070.5,18330.0
1692516600000,26070.5,26088.0,26070.5,26088.0,18741.0
1692517500000,26088.0,26091.3,26072.8,26080.2,21800.0
1692518400000,26080.2,26080.2,26061.9,26064.4,17773.0
1692519300000,26064.3,26079.2,26050.0,26070.7,40551.0
1692520200000,26070.8,26103.7,26068.5,26085.6,54264.0
1692521100000,26085.6,26113.9,26085.6,26113.3,27560.0
1692522000000,26113.4,26123.4,26100.4,26118.3,58066.0
1692522900000,26118.3,26123.0,26099.3,26107.8,25668.0
1692523800000,26107.8,26114.5,26094.0,26114.5,19070.0
1692524700000,26114.6,26145.6,26114.6,26144.5,55931.0
1692525600000,26144.5,26156.8,26127.6,26150.4,61728.0
1692526500000,26150.5,26159.0,26119.7,26133.1,46297.0
1692527400000,26133.1,26148.1,26125.5,26131.0,31848.0
1692528300000,26131.8,26150.8,26121.5,26147.1,26778.0
1692529200000,26147.2,26185.7,26147.2,26166.9,104005.0
1692530100000,26166.9,26199.0,26143.0,26148.7,103904.0
1692531000000,26148.7,26165.3,26129.9,26157.9,49205.0
1692531900000,26157.8,26184.0,26146.8,26174.0,50510.0
1692532800000,26174.0,26185.0,26142.6,26153.3,64463.0
1692533700000,26153.3,26154.7,26137.0,26142.6,54963.0
1692534600000,26142.6,26195.2,26138.0,26188.5,54613.0
1692535500000,26188.5,26200.0,26160.5,26186.6,74793.0
1692536400000,26186.7,26218.8,26169.7,26169.8,92917.0
1692537300000,26169.8,26176.0,26147.0,26170.1,78825.0
1692538200000,26170.1,26205.0,26168.0,26171.1,41579.0
1692539100000,26171.9,26176.4,26129.2,26139.1,77874.0
1692540000000,26139.1,26152.0,26122.4,26144.0,36688.0
1692540900000,26144.0,26145.6,26121.4,26138.0,28206.0
1692541800000,26138.0,26138.1,26078.8,26110.1,123742.0
1692542700000,26110.0,26117.8,26054.3,26064.9,141996.0
1692543600000,26064.9,26096.0,25960.5,26073.3,426624.0
1692544500000,26073.3,26141.0,26034.6,26062.0,221710.0
1692545400000,26062.1,26093.8,26048.0,26060.3,48212.0
1692546300000,26060.3,26108.3,26048.5,26105.4,58873.0
1692547200000,26105.3,26121.6,26085.0,26086.1,60587.0
1692548100000,26086.1,26090.0,26049.0,26090.0,74773.0
1692549000000,26090.0,26097.5,26060.5,26061.8,37329.0
1692549900000,26060.2,26069.5,26002.4,26052.1,107519.0
1692550800000,26052.1,26080.3,26027.5,26076.0,62722.0
1692551700000,26076.1,26089.0,26054.9,26087.2,27128.0
1692552600000,26087.4,26134.7,26074.9,26128.9,71114.0
1692553500000,26128.9,26168.0,26106.2,26124.0,95491.0
1692554400000,26123.9,26146.0,26111.8,26140.8,23292.0
1692555300000,26140.8,26149.8,26122.5,26141.2,15703.0
1692556200000,26141.5,26149.9,26123.7,26124.0,24282.0
1692557100000,26123.7,26143.0,26101.5,26111.1,28327.0
1692558000000,26111.0,26118.0,26104.0,26104.8,21361.0
1692558900000,26104.9,26128.8,26104.8,26128.8,35029.0
1692559800000,26128.8,26138.0,26110.4,26117.5,16326.0
1692560700000,26117.4,26133.6,26103.2,26133.5,11794.0
1692561600000,26133.6,26194.1,26132.4,26184.9,83822.0
1692562500000,26184.9,26200.0,26160.4,26161.8,46214.0
1692563400000,26161.7,26274.0,26151.0,26258.9,252063.0
1692564300000,26258.9,26300.0,26208.5,26230.5,138529.0
1692565200000,26230.5,26241.0,26142.1,26164.0,112839.0
1692566100000,26164.0,26208.1,26163.9,26200.9,44229.0
1692567000000,26200.9,26202.8,26142.7,26174.1,33264.0
1692567900000,26174.2,26187.8,26156.2,26177.0,18047.0
1692568800000,26177.1,26213.9,26177.1,26193.3,47138.0
1692569700000,26193.3,26208.9,26181.5,26208.2,23302.0
1692570600000,26208.2,26224.0,26185.7,26185.7,24144.0
1692571500000,26185.8,26214.9,26185.7,26210.1,14455.0
1692572400000,26210.1,26210.1,26155.2,26159.2,61456.0
1692573300000,26159.2,26180.0,26152.2,26178.0,30620.0
1692574200000,26178.1,26190.0,26154.7,26182.5,25603.0
1692575100000,26182.6,26189.8,26165.5,26188.4,16376.0
1692576000000,26188.4,26197.2,26132.4,26132.5,64481.0
1692576900000,26132.5,26146.6,26118.0,26118.2,53201.0
1692577800000,26118.2,26143.7,26116.1,26143.6,20978.0
1692578700000,26143.6,26154.6,26122.7,26142.8,37476.0
