策略,退出,杠杆,保证金,交易数,胜率,全年收益,最终权益,最大回撤,后1/3交易数,后1/3收益,盈亏因子,平均盈利,平均亏损,最大连亏,止盈,信号退出,止损,时间退出,强平,平均持仓小时
Apollo11_15m,固定2%止盈_4%止损,5x,20%,159,59.12%,-59.57%,404.31,61.89%,65,-31.86%,0.66,12.37,-27.05,4,94,0,63,1,0,43.03
Apollo11_15m,自定义锁盈_8%止损,3x,10%,64,73.44%,-12.55%,874.47,17.46%,32,-7.80%,0.67,5.37,-22.23,2,0,0,61,2,0,126.73
Apollo11_15m,自定义锁盈_8%止损,3x,20%,64,73.44%,-24.62%,753.84,32.53%,32,-15.40%,0.66,10.00,-42.11,2,0,0,61,2,0,126.73
Apollo11_15m,自定义锁盈_8%止损,5x,10%,64,73.44%,-20.67%,793.35,27.76%,32,-12.89%,0.66,8.53,-35.75,2,0,0,61,2,0,126.73
Apollo11_15m,自定义锁盈_8%止损,5x,20%,64,73.44%,-39.54%,604.61,49.25%,32,-25.19%,0.64,15.07,-64.93,2,0,0,61,2,0,126.73
Apollo11_15m,自定义锁盈_12%止损,3x,10%,45,80.00%,-12.96%,870.39,18.26%,17,-4.81%,0.54,4.18,-31.10,2,0,0,42,2,0,184.52
Apollo11_15m,自定义锁盈_12%止损,3x,20%,45,80.00%,-25.14%,748.55,33.86%,17,-9.75%,0.53,7.84,-59.30,2,0,0,42,2,0,184.52
Apollo11_15m,自定义锁盈_12%止损,5x,10%,45,80.00%,-21.18%,788.23,28.94%,17,-8.09%,0.53,6.67,-50.22,2,0,0,42,2,0,184.52
Apollo11_15m,自定义锁盈_12%止损,5x,20%,45,80.00%,-40.00%,600.02,50.99%,17,-16.51%,0.52,12.01,-92.48,2,0,0,42,2,0,184.52
CCI_BB_15m,固定1%止盈_1%止损,3x,10%,701,49.50%,-22.72%,772.81,23.83%,280,-5.60%,0.78,2.29,-2.89,6,345,0,354,2,0,6.85
CCI_BB_15m,固定1%止盈_1%止损,3x,20%,701,49.50%,-40.66%,593.43,42.31%,280,-11.12%,0.77,3.97,-5.04,6,345,0,354,2,0,6.85
CCI_BB_15m,固定1%止盈_1%止损,5x,10%,701,49.50%,-35.15%,648.51,36.67%,280,-9.29%,0.77,3.47,-4.39,6,345,0,354,2,0,6.85
CCI_BB_15m,固定1%止盈_1%止损,5x,20%,701,49.50%,-58.69%,413.14,60.50%,280,-18.30%,0.76,5.50,-7.05,6,345,0,354,2,0,6.85
CCI_BB_15m,固定1.5%止盈_1%止损,3x,10%,597,39.36%,-21.00%,790.00,24.03%,238,-5.29%,0.80,3.59,-2.91,17,233,0,362,1,0,9.53
CCI_BB_15m,固定1.5%止盈_1%止损,3x,20%,597,39.36%,-38.09%,619.09,42.64%,238,-10.59%,0.79,6.26,-5.11,17,233,0,362,1,0,9.53
CCI_BB_15m,固定1.5%止盈_1%止损,5x,10%,597,39.36%,-32.79%,672.10,36.96%,238,-8.83%,0.80,5.46,-4.45,17,233,0,362,1,0,9.53
CCI_BB_15m,固定1.5%止盈_1%止损,5x,20%,597,39.36%,-55.83%,441.73,60.93%,238,-17.62%,0.79,8.75,-7.22,17,233,0,362,1,0,9.53
CCI_BB_15m,固定2%止盈_1.5%止损,3x,10%,392,41.58%,-17.30%,827.04,20.07%,164,-5.30%,0.83,5.00,-4.32,7,162,0,228,1,0,17.05
CCI_BB_15m,固定2%止盈_1.5%止损,3x,20%,392,41.58%,-32.32%,676.84,36.64%,164,-10.71%,0.82,8.90,-7.74,7,162,0,228,1,0,17.05
CCI_BB_15m,固定2%止盈_1.5%止损,5x,10%,392,41.58%,-27.56%,724.44,31.47%,164,-8.90%,0.82,7.71,-6.69,7,162,0,228,1,0,17.05
