ts,open,high,low,close,volume
1684566000000,26858.2,26858.2,26851.3,26852.9,6745.0
1684566900000,26852.9,26857.0,26842.5,26849.0,14399.0
1684567800000,26849.1,26859.1,26841.8,26858.1,14617.0
1684568700000,26858.2,26865.1,26856.3,26859.1,16470.0
1684569600000,26859.0,26870.3,26859.0,26866.9,10377.0
1684570500000,26866.9,26898.0,26866.9,26886.0,60287.0
1684571400000,26886.1,26895.0,26878.5,26880.1,30520.0
1684572300000,26880.0,26923.8,26880.0,26911.7,66280.0
1684573200000,26911.8,26919.7,26887.7,26903.2,49785.0
1684574100000,26903.2,26913.8,26892.5,26893.3,25876.0
1684575000000,26893.3,26903.0,26878.1,26880.1,26244.0
1684575900000,26880.1,26888.0,26872.0,26881.0,12917.0
1684576800000,26881.0,26899.7,26878.0,26891.0,20599.0
1684577700000,26891.0,26897.6,26885.4,26896.4,9268.0
1684578600000,26896.4,26899.8,26881.0,26888.1,15082.0
1684579500000,26888.1,26896.2,26886.3,26890.3,16331.0
1684580400000,26890.3,26890.3,26869.6,26874.3,29573.0
1684581300000,26874.2,26899.4,26873.2,26888.2,16374.0
1684582200000,26888.3,26888.3,26875.2,26879.7,8042.0
1684583100000,26879.7,26882.8,26878.0,26882.7,6417.0
1684584000000,26882.7,26940.0,26882.7,26914.4,60201.0
1684584900000,26914.4,26950.0,26897.2,26930.8,42162.0
1684585800000,26930.8,26931.7,26901.5,26901.6,29989.0
1684586700000,26901.6,26911.1,26894.0,26896.6,18920.0
1684587600000,26896.6,26915.0,26883.3,26886.0,19734.0
1684588500000,26886.1,26922.5,26873.2,26889.6,49899.0
1684589400000,26889.6,26903.6,26888.0,26893.9,17100.0
1684590300000,26893.9,26899.4,26881.1,26889.2,10989.0
1684591200000,26889.2,26912.0,26889.2,26903.1,17024.0
1684592100000,26903.1,26915.0,26896.1,26896.1,18264.0
1684593000000,26896.1,26899.2,26887.0,26898.0,14379.0
1684593900000,26898.1,26928.0,26898.1,26921.5,35792.0
1684594800000,26921.6,26939.7,26899.4,26908.1,48082.0
1684595700000,26908.0,26943.5,26890.0,26932.0,31353.0
1684596600000,26932.1,26977.1,26926.0,26944.7,80893.0
1684597500000,26944.8,26965.9,26928.2,26939.9,47506.0
1684598400000,26939.9,26944.4,26926.9,26932.6,30287.0
1684599300000,26932.6,26937.9,26914.1,26928.0,43883.0
1684600200000,26928.0,26929.3,26914.0,26920.0,15267.0
1684601100000,26920.1,26920.1,26913.0,26917.0,19895.0
1684602000000,26916.9,26928.7,26915.1,26920.7,20356.0
1684602900000,26920.8,26931.9,26916.1,26924.1,14574.0
1684603800000,26924.1,27041.4,26923.4,27028.0,134905.0
1684604700000,27028.0,27148.2,27002.5,27135.6,370404.0
1684605600000,27135.6,27147.8,27081.7,27138.0,212255.0
1684606500000,27137.9,27144.4,27079.1,27100.0,84824.0
1684607400000,27100.1,27111.0,27060.4,27060.4,44844.0
1684608300000,27060.3,27080.7,27023.9,27026.3,63677.0
1684609200000,27026.3,27038.7,26960.4,27014.1,171133.0
1684610100000,27014.0,27070.4,27012.2,27043.6,45759.0
1684611000000,27043.6,27076.6,27043.6,27070.8,50401.0
1684611900000,27070.7,27073.4,27047.1,27064.1,28632.0
1684612800000,27064.1,27097.7,27039.1,27050.0,43221.0
