策略,杠杆,保证金比例,止盈R,最长持仓小时,交易,胜率,收益,最大回撤,盈亏比,平均盈利U,平均亏损U,最大连亏,强平,测试段交易,测试段收益,测试段回撤,测试段平均盈利U
趋势突破_20x_12%_0.8R_4H,20,0.1200,0.8,4.0,99,39.39,-23.30,29.53,0.78,21.80,-18.05,10,1,32,-24.48,29.53,23.39
趋势回踩_10x_25%_0.8R_4H,10,0.2500,0.8,4.0,280,40.00,-60.51,62.50,0.60,8.09,-8.99,14,0,104,-8.97,21.51,15.38
趋势突破_15x_12%_1R_12H,15,0.1200,1.0,12.0,85,37.65,-32.46,35.31,0.70,23.13,-20.09,8,1,28,-10.97,33.72,38.20
趋势回踩_20x_15%_2R_4H,20,0.1500,2.0,4.0,278,39.93,-64.96,67.67,0.60,8.86,-9.78,14,0,104,0.44,25.29,22.26
趋势回踩_15x_20%_2R_4H,15,0.2000,2.0,4.0,278,39.93,-64.96,67.67,0.60,8.86,-9.78,14,0,104,0.44,25.29,22.26
趋势回踩_10x_20%_1R_12H,10,0.2000,1.0,12.0,183,45.36,-46.32,49.02,0.74,15.86,-17.79,9,0,68,-24.93,30.88,19.04
趋势回踩_20x_10%_1R_12H,20,0.1000,1.0,12.0,183,45.36,-46.32,49.02,0.74,15.86,-17.79,9,0,68,-24.93,30.88,19.04
趋势回踩_10x_12%_3R_8H,10,0.1200,3.0,8.0,214,39.72,-46.60,47.52,0.57,7.13,-8.31,12,0,79,-26.05,27.53,8.72
趋势回踩_15x_8%_3R_8H,15,0.0800,3.0,8.0,214,39.72,-46.60,47.52,0.57,7.13,-8.31,12,0,79,-26.05,27.53,8.72
摸底摸顶_20x_25%_1.5R_24H,20,0.2500,1.5,24.0,27,29.63,-41.98,42.80,0.56,66.90,-50.26,10,0,13,-33.36,42.80,96.32
摸底摸顶_15x_25%_2.5R_不限时,15,0.2500,2.5,,26,19.23,-49.45,49.80,0.38,60.86,-38.04,8,0,13,-29.63,30.11,93.61
摸底摸顶_30x_15%_0.8R_24H,30,0.1500,0.8,24.0,27,37.04,-41.44,41.44,0.45,33.81,-44.26,8,0,13,-32.41,37.23,34.11
趋势回踩_15x_25%_2R_24H,15,0.2500,2.0,24.0,135,40.74,-49.54,59.23,0.85,49.60,-40.29,10,0,50,-7.63,51.42,92.36
趋势突破_15x_20%_2R_12H,15,0.2000,2.0,12.0,77,40.26,-47.64,51.60,0.65,28.29,-29.42,8,0,26,-19.51,38.01,37.72
动量突破_10x_8%_1.5R_24H,10,0.0800,1.5,24.0,129,38.76,-40.18,41.34,0.58,10.99,-12.04,7,0,44,-31.01,35.63,12.73
趋势突破_20x_5%_2.5R_24H,20,0.0500,2.5,24.0,66,45.45,-18.58,21.77,0.72,16.31,-18.75,7,2,23,-5.08,21.77,28.74
动量突破_10x_12%_3R_8H,10,0.1200,3.0,8.0,151,37.75,-46.31,47.05,0.50,8.01,-9.78,10,0,52,-24.95,30.56,11.43
动量突破_15x_8%_3R_8H,15,0.0800,3.0,8.0,151,37.75,-46.31,47.05,0.50,8.01,-9.78,10,0,52,-24.95,30.56,11.43
动量突破_10x_12%_1.2R_12H,10,0.1200,1.2,12.0,147,34.69,-42.77,45.10,0.61,13.21,-11.47,11,0,48,-25.48,37.69,20.92
趋势突破_30x_5%_2R_4H,30,0.0500,2.0,4.0,91,39.56,-13.93,18.60,0.77,12.83,-10.93,10,2,32,-13.43,17.17,15.24
趋势突破_30x_5%_2.5R_4H,30,0.0500,2.5,4.0,91,39.56,-13.93,18.60,0.77,12.83,-10.93,10,2,32,-13.43,17.17,15.24
趋势突破_30x_5%_3R_4H,30,0.0500,3.0,4.0,91,39.56,-13.93,18.60,0.77,12.83,-10.93,10,2,32,-13.43,17.17,15.24
趋势回踩_20x_12%_1.2R_24H,20,0.1200,1.2,24.0,136,41.18,-54.87,57.92,0.71,23.96,-23.63,10,0,51,-10.61,36.02,46.56
趋势突破_10x_15%_1.2R_24H,10,0.1500,1.2,24.0,74,40.54,-44.36,46.95,0.60,22.27,-25.27,7,0,25,-25.77,36.00,30.41
趋势突破_20x_10%_1.5R_12H,20,0.1000,1.5,12.0,78,41.03,-33.87,37.47,0.66,20.35,-21.52,8,1,26,-12.85,27.05,25.05
趋势回踩_10x_12%_1.2R_8H,10,0.1200,1.2,8.0,215,40.00,-46.97,47.88,0.56,7.08,-8.36,12,0,79,-26.17,27.65,8.69
趋势回踩_15x_8%_1.2R_8H,15,0.0800,1.2,8.0,215,40.00,-46.97,47.88,0.56,7.08,-8.36,12,0,79,-26.17,27.65,8.69
趋势回踩_10x_12%_1.5R_8H,10,0.1200,1.5,8.0,214,39.72,-46.95,47.86,0.56,7.05,-8.29,12,0,79,-26.21,27.69,8.66
趋势回踩_15x_8%_1.5R_8H,15,0.0800,1.5,8.0,214,39.72,-46.95,47.86,0.56,7.05,-8.29,12,0,79,-26.21,27.69,8.66
趋势回踩_15x_15%_2.5R_12H,15,0.1500,2.5,12.0,180,43.33,-47.42,52.83,0.75,18.29,-18.64,9,0,67,-21.37,32.66,25.03
动量突破_10x_12%_2.5R_8H,10,0.1200,2.5,8.0,152,37.50,-46.66,47.40,0.49,7.95,-9.68,10,0,52,-24.95,30.56,11.43
动量突破_15x_8%_2.5R_8H,15,0.0800,2.5,8.0,152,37.50,-46.66,47.40,0.49,7.95,-9.68,10,0,52,-24.95,30.56,11.43
趋势突破_20x_12%_1.5R_4H,20,0.1200,1.5,4.0,92,40.22,-22.62,31.42,0.78,21.16,-18.35,10,1,32,-24.48,29.53,23.39
趋势突破_20x_10%_2R_12H,20,0.1000,2.0,12.0,77,40.26,-34.44,37.84,0.65,20.59,-21.36,8,1,26,-12.85,27.05,25.05
动量突破_15x_5%_1.5R_不限时,15,0.0500,1.5,,103,37.86,-26.37,33.90,0.77,23.12,-18.21,11,1,35,-19.67,30.95,28.45
动量突破_15x_8%_2R_8H,15,0.0800,2.0,8.0,153,37.91,-46.89,47.62,0.49,7.78,-9.69,10,0,52,-24.95,30.56,11.43
动量突破_10x_12%_2R_8H,10,0.1200,2.0,8.0,153,37.91,-46.89,47.62,0.49,7.78,-9.69,10,0,52,-24.95,30.56,11.43
趋势回踩_15x_8%_1R_8H,15,0.0800,1.0,8.0,216,40.28,-47.17,48.07,0.56,6.94,-8.34,12,0,79,-26.34,27.88,8.66
趋势回踩_10x_12%_1R_8H,10,0.1200,1.0,8.0,216,40.28,-47.17,48.07,0.56,6.94,-8.34,12,0,79,-26.34,27.88,8.66
动量突破_10x_25%_1.2R_4H,10,0.2500,1.2,4.0,165,40.61,-31.84,41.50,0.80,18.94,-16.19,11,0,55,-35.90,41.35,17.31
趋势突破_15x_20%_2.5R_12H,15,0.2000,2.5,12.0,77,40.26,-48.36,52.26,0.64,27.53,-29.07,8,0,26,-19.51,38.01,37.72
趋势突破_15x_20%_3R_12H,15,0.2000,3.0,12.0,77,40.26,-48.36,52.26,0.64,27.53,-29.07,8,0,26,-19.51,38.01,37.72
趋势突破_15x_15%_1.5R_8H,15,0.1500,1.5,8.0,89,37.08,-50.75,50.75,0.49,14.49,-17.60,11,0,30,-20.56,32.00,25.53
趋势突破_20x_12%_1.2R_4H,20,0.1200,1.2,4.0,93,39.78,-23.62,31.42,0.76,20.74,-17.92,10,1,32,-24.48,29.53,23.39
趋势突破_10x_20%_2R_不限时,10,0.2000,2.0,,41,31.71,-28.71,50.10,0.84,117.13,-64.64,6,0,16,-28.59,50.10,141.65
摸底摸顶_30x_25%_0.8R_8H,30,0.2500,0.8,8.0,28,53.57,-46.04,46.04,0.49,29.66,-69.64,3,0,13,-27.89,36.08,39.36
趋势突破_20x_10%_2.5R_12H,20,0.1000,2.5,12.0,77,40.26,-35.06,38.43,0.64,20.12,-21.18,8,1,26,-12.85,27.05,25.05
趋势突破_20x_10%_3R_12H,20,0.1000,3.0,12.0,77,40.26,-35.06,38.43,0.64,20.12,-21.18,8,1,26,-12.85,27.05,25.05
动量突破_15x_5%_1R_12H,15,0.0500,1.0,12.0,153,35.95,-31.08,32.31,0.61,8.71,-8.06,11,1,50,-19.41,26.25,13.10
趋势突破_15x_10%_0.8R_12H,15,0.1000,0.8,12.0,88,38.64,-33.99,34.66,0.63,17.00,-17.00,8,1,29,-15.26,29.07,26.31
趋势突破_15x_15%_1.2R_8H,15,0.1500,1.2,8.0,89,37.08,-51.42,51.42,0.47,13.94,-17.40,11,0,30,-20.56,32.00,25.53
趋势突破_20x_12%_2R_4H,20,0.1200,2.0,4.0,91,39.56,-25.13,31.42,0.74,20.20,-17.79,10,1,32,-24.48,29.53,23.39
趋势突破_20x_12%_2.5R_4H,20,0.1200,2.5,4.0,91,39.56,-25.13,31.42,0.74,20.20,-17.79,10,1,32,-24.48,29.53,23.39
趋势突破_20x_12%_3R_4H,20,0.1200,3.0,4.0,91,39.56,-25.13,31.42,0.74,20.20,-17.79,10,1,32,-24.48,29.53,23.39
动量突破_20x_8%_0.8R_4H,20,0.0800,0.8,4.0,171,40.94,-27.71,30.93,0.73,10.80,-10.23,11,1,56,-23.20,27.02,12.35
趋势突破_10x_20%_1R_8H,10,0.2000,1.0,8.0,91,36.26,-50.05,50.05,0.46,13.00,-16.03,11,0,31,-22.98,31.33,22.84
趋势突破_15x_8%_0.8R_24H,15,0.0800,0.8,24.0,83,46.99,-30.82,34.07,0.70,18.03,-22.99,7,1,27,-18.46,29.20,24.00
