策略,杠杆,保证金比例,止盈R,最长持仓小时,交易,胜率,收益,最大回撤,盈亏比,平均盈利U,平均亏损U,最大连亏,强平,测试段交易,测试段收益,测试段回撤,测试段平均盈利U
趋势突破_10x_5%_3R_不限时,10,0.0500,3.0,,26,30.77,6.32,8.23,1.23,42.87,-15.54,4,0,13,2.23,15.06,55.05
摸底摸顶_10x_5%_2.5R_4H,10,0.0500,2.5,4.0,28,35.71,-0.47,1.97,0.92,5.13,-3.11,4,0,13,-0.84,1.87,3.15
摸底摸顶_10x_5%_2R_4H,10,0.0500,2.0,4.0,28,35.71,-0.68,1.97,0.88,4.91,-3.11,4,0,13,-0.84,1.87,3.15
摸底摸顶_10x_5%_3R_4H,10,0.0500,3.0,4.0,28,35.71,-0.75,1.97,0.87,4.84,-3.11,4,0,13,-0.84,1.87,3.15
摸底摸顶_10x_5%_1.5R_4H,10,0.0500,1.5,4.0,28,35.71,-0.94,1.87,0.83,4.65,-3.10,4,0,13,-0.86,1.87,3.10
趋势突破_10x_8%_3R_不限时,10,0.0800,3.0,,26,30.77,9.27,12.92,1.21,68.10,-25.12,4,0,13,2.76,23.15,88.41
摸底摸顶_15x_5%_2.5R_4H,15,0.0500,2.5,4.0,28,35.71,-0.73,2.95,0.91,7.65,-4.65,4,0,13,-1.26,2.79,4.71
摸底摸顶_10x_5%_1.2R_4H,10,0.0500,1.2,4.0,28,35.71,-1.49,1.97,0.73,4.09,-3.10,4,0,13,-0.95,1.87,2.87
摸底摸顶_10x_8%_2.5R_4H,10,0.0800,2.5,4.0,28,35.71,-0.78,3.14,0.91,8.16,-4.96,4,0,13,-1.34,2.97,5.02
摸底摸顶_15x_5%_2R_4H,15,0.0500,2.0,4.0,28,35.71,-1.05,2.95,0.87,7.32,-4.65,4,0,13,-1.26,2.79,4.71
摸底摸顶_15x_5%_3R_4H,15,0.0500,3.0,4.0,28,35.71,-1.14,2.95,0.86,7.22,-4.65,4,0,13,-1.26,2.79,4.71
摸底摸顶_10x_5%_1R_4H,10,0.0500,1.0,4.0,28,35.71,-1.83,2.04,0.67,3.73,-3.09,4,0,13,-1.01,1.87,2.72
摸底摸顶_10x_8%_2R_4H,10,0.0800,2.0,4.0,28,35.71,-1.12,3.14,0.87,7.80,-4.96,4,0,13,-1.34,2.97,5.02
摸底摸顶_15x_5%_1.5R_4H,15,0.0500,1.5,4.0,28,35.71,-1.43,2.80,0.83,6.93,-4.64,4,0,13,-1.29,2.79,4.63
摸底摸顶_10x_8%_3R_4H,10,0.0800,3.0,4.0,28,35.71,-1.22,3.14,0.86,7.70,-4.96,4,0,13,-1.34,2.97,5.02
摸底摸顶_10x_8%_1.5R_4H,10,0.0800,1.5,4.0,28,35.71,-1.52,2.98,0.83,7.39,-4.95,4,0,13,-1.38,2.97,4.94
摸底摸顶_10x_5%_2.5R_8H,10,0.0500,2.5,8.0,28,50.00,-1.27,2.95,0.84,4.91,-5.82,4,0,13,-1.50,2.95,5.11
摸底摸顶_10x_10%_2.5R_4H,10,0.1000,2.5,4.0,28,35.71,-1.00,3.92,0.91,10.15,-6.20,4,0,13,-1.68,3.70,6.26
摸底摸顶_20x_5%_2.5R_4H,20,0.0500,2.5,4.0,28,35.71,-1.00,3.92,0.91,10.15,-6.20,4,0,13,-1.68,3.70,6.26
摸底摸顶_10x_5%_1.2R_8H,10,0.0500,1.2,8.0,28,53.57,-2.20,2.51,0.71,3.67,-5.93,3,0,13,-1.24,2.51,4.07
摸底摸顶_10x_5%_0.8R_4H,10,0.0500,0.8,4.0,28,35.71,-2.38,2.52,0.57,3.17,-3.08,4,0,13,-1.07,1.87,2.56
摸底摸顶_10x_5%_2R_8H,10,0.0500,2.0,8.0,28,50.00,-1.52,2.98,0.81,4.74,-5.82,4,0,13,-1.65,2.98,4.81
摸底摸顶_10x_10%_2R_4H,10,0.1000,2.0,4.0,28,35.71,-1.43,3.92,0.87,9.71,-6.19,4,0,13,-1.68,3.70,6.26
摸底摸顶_20x_5%_2R_4H,20,0.0500,2.0,4.0,28,35.71,-1.43,3.92,0.87,9.71,-6.19,4,0,13,-1.68,3.70,6.26
摸底摸顶_15x_5%_1.2R_4H,15,0.0500,1.2,4.0,28,35.71,-2.24,2.95,0.73,6.09,-4.63,4,0,13,-1.42,2.79,4.29
摸底摸顶_10x_10%_3R_4H,10,0.1000,3.0,4.0,28,35.71,-1.55,3.92,0.86,9.58,-6.18,4,0,13,-1.68,3.70,6.26
摸底摸顶_20x_5%_3R_4H,20,0.0500,3.0,4.0,28,35.71,-1.55,3.92,0.86,9.58,-6.18,4,0,13,-1.68,3.70,6.26
摸底摸顶_10x_8%_1.2R_4H,10,0.0800,1.2,4.0,28,35.71,-2.39,3.14,0.73,6.49,-4.93,4,0,13,-1.52,2.97,4.58
摸底摸顶_10x_10%_1.5R_4H,10,0.1000,1.5,4.0,28,35.71,-1.92,3.72,0.83,9.19,-6.18,4,0,13,-1.72,3.70,6.16
摸底摸顶_20x_5%_1.5R_4H,20,0.0500,1.5,4.0,28,35.71,-1.92,3.72,0.83,9.19,-6.18,4,0,13,-1.72,3.70,6.16
摸底摸顶_10x_5%_1.5R_8H,10,0.0500,1.5,8.0,28,50.00,-2.15,3.13,0.73,4.26,-5.80,4,0,13,-1.53,3.13,5.07
摸底摸顶_10x_12%_2.5R_4H,10,0.1200,2.5,4.0,28,35.71,-1.23,4.69,0.91,12.13,-7.42,4,0,13,-2.02,4.43,7.50
摸底摸顶_15x_8%_2.5R_4H,15,0.0800,2.5,4.0,28,35.71,-1.23,4.69,0.91,12.13,-7.42,4,0,13,-2.02,4.43,7.50
摸底摸顶_10x_5%_1R_8H,10,0.0500,1.0,8.0,28,53.57,-2.64,2.64,0.66,3.37,-5.92,3,0,13,-1.58,2.64,3.47
摸底摸顶_15x_5%_1R_4H,15,0.0500,1.0,4.0,28,35.71,-2.75,3.05,0.67,5.56,-4.61,4,0,13,-1.52,2.79,4.07
摸底摸顶_10x_5%_1.2R_12H,10,0.0500,1.2,12.0,28,42.86,-2.74,2.81,0.66,4.44,-5.04,3,0,13,-1.54,2.81,4.84
摸底摸顶_10x_5%_3R_8H,10,0.0500,3.0,8.0,28,46.43,-2.70,2.95,0.67,4.23,-5.47,4,0,13,-1.48,2.95,5.16
摸底摸顶_10x_8%_1R_4H,10,0.0800,1.0,4.0,28,35.71,-2.93,3.25,0.67,5.92,-4.92,4,0,13,-1.62,2.97,4.33
摸底摸顶_10x_12%_2R_4H,10,0.1200,2.0,4.0,28,35.71,-1.74,4.69,0.87,11.60,-7.41,4,0,13,-2.02,4.43,7.50
摸底摸顶_15x_8%_2R_4H,15,0.0800,2.0,4.0,28,35.71,-1.74,4.69,0.87,11.60,-7.41,4,0,13,-2.02,4.43,7.50
摸底摸顶_10x_12%_3R_4H,10,0.1200,3.0,4.0,28,35.71,-1.89,4.69,0.86,11.44,-7.40,4,0,13,-2.02,4.43,7.50
摸底摸顶_15x_8%_3R_4H,15,0.0800,3.0,4.0,28,35.71,-1.89,4.69,0.86,11.44,-7.40,4,0,13,-2.02,4.43,7.50
摸底摸顶_10x_5%_2.5R_12H,10,0.0500,2.5,12.0,28,39.29,-2.54,3.25,0.70,5.39,-4.98,5,0,13,-2.13,3.25,5.49
摸底摸顶_10x_5%_2R_12H,10,0.0500,2.0,12.0,28,39.29,-2.42,3.28,0.71,5.51,-4.99,5,0,13,-2.28,3.28,5.11
摸底摸顶_10x_12%_1.5R_4H,10,0.1200,1.5,4.0,28,35.71,-2.33,4.46,0.82,10.98,-7.40,4,0,13,-2.07,4.43,7.38
摸底摸顶_15x_8%_1.5R_4H,15,0.0800,1.5,4.0,28,35.71,-2.33,4.46,0.82,10.98,-7.40,4,0,13,-2.07,4.43,7.38
摸底摸顶_10x_5%_1.5R_12H,10,0.0500,1.5,12.0,28,39.29,-2.73,3.43,0.68,5.22,-4.98,5,0,13,-1.83,3.43,6.29
摸底摸顶_10x_5%_3R_12H,10,0.0500,3.0,12.0,28,39.29,-2.87,3.25,0.66,5.07,-4.97,5,0,13,-1.98,3.25,5.86
摸底摸顶_10x_10%_1.2R_4H,10,0.1000,1.2,4.0,28,35.71,-3.00,3.91,0.73,8.06,-6.14,4,0,13,-1.90,3.70,5.71
摸底摸顶_20x_5%_1.2R_4H,20,0.0500,1.2,4.0,28,35.71,-3.00,3.91,0.73,8.06,-6.14,4,0,13,-1.90,3.70,5.71
摸底摸顶_10x_5%_1R_12H,10,0.0500,1.0,12.0,28,42.86,-3.20,3.20,0.60,4.04,-5.03,3,0,13,-1.88,2.93,4.13
摸底摸顶_15x_5%_2.5R_8H,15,0.0500,2.5,8.0,28,50.00,-1.95,4.40,0.84,7.34,-8.73,4,0,13,-2.26,4.40,7.65
趋势突破_10x_10%_3R_不限时,10,0.1000,3.0,,26,30.77,10.87,15.95,1.19,84.59,-31.56,4,0,13,2.78,28.18,110.69
摸底摸顶_15x_5%_0.8R_4H,15,0.0500,0.8,4.0,28,35.71,-3.57,3.77,0.57,4.71,-4.60,4,0,13,-1.61,2.79,3.84
摸底摸顶_15x_5%_1.2R_8H,15,0.0500,1.2,8.0,28,53.57,-3.32,3.76,0.71,5.47,-8.86,3,0,13,-1.87,3.76,6.09
摸底摸顶_15x_10%_2.5R_4H,15,0.1000,2.5,4.0,28,35.71,-1.59,5.84,0.90,15.07,-9.26,4,0,13,-2.53,5.51,9.35
摸底摸顶_30x_5%_2.5R_4H,30,0.0500,2.5,4.0,28,35.71,-1.59,5.84,0.90,15.07,-9.26,4,0,13,-2.53,5.51,9.35
摸底摸顶_10x_15%_2.5R_4H,10,0.1500,2.5,4.0,28,35.71,-1.59,5.84,0.90,15.07,-9.26,4,0,13,-2.53,5.51,9.35
摸底摸顶_10x_8%_2.5R_8H,10,0.0800,2.5,8.0,28,50.00,-2.08,4.69,0.84,7.82,-9.31,4,0,13,-2.41,4.69,8.15
摸底摸顶_15x_5%_2R_8H,15,0.0500,2.0,8.0,28,50.00,-2.31,4.45,0.81,7.07,-8.72,4,0,13,-2.48,4.45,7.20
摸底摸顶_10x_5%_0.8R_8H,10,0.0500,0.8,8.0,28,53.57,-3.51,3.51,0.54,2.76,-5.89,3,0,13,-1.93,2.76,2.88
摸底摸顶_10x_10%_1R_4H,10,0.1000,1.0,4.0,28,35.71,-3.67,4.06,0.67,7.35,-6.12,4,0,13,-2.02,3.70,5.41
摸底摸顶_20x_5%_1R_4H,20,0.0500,1.0,4.0,28,35.71,-3.67,4.06,0.67,7.35,-6.12,4,0,13,-2.02,3.70,5.41
摸底摸顶_10x_8%_0.8R_4H,10,0.0800,0.8,4.0,28,35.71,-3.80,4.02,0.57,5.01,-4.90,4,0,13,-1.71,2.97,4.09
摸底摸顶_10x_8%_1.2R_8H,10,0.0800,1.2,8.0,28,53.57,-3.54,4.00,0.71,5.82,-9.44,3,0,13,-1.99,4.00,6.49
摸底摸顶_20x_8%_2.5R_4H,20,0.0800,2.5,4.0,28,35.71,-1.72,6.22,0.90,16.04,-9.87,4,0,13,-2.70,5.87,9.96
摸底摸顶_10x_15%_2R_4H,10,0.1500,2.0,4.0,28,35.71,-2.22,5.84,0.87,14.40,-9.24,4,0,13,-2.53,5.51,9.35
摸底摸顶_15x_10%_2R_4H,15,0.1000,2.0,4.0,28,35.71,-2.22,5.84,0.87,14.40,-9.24,4,0,13,-2.53,5.51,9.35
摸底摸顶_30x_5%_2R_4H,30,0.0500,2.0,4.0,28,35.71,-2.22,5.84,0.87,14.40,-9.24,4,0,13,-2.53,5.51,9.35
趋势突破_10x_5%_2.5R_不限时,10,0.0500,2.5,,36,30.56,2.35,12.99,1.06,39.74,-16.55,6,0,14,-0.13,12.99,47.16
摸底摸顶_10x_15%_3R_4H,10,0.1500,3.0,4.0,28,35.71,-2.41,5.84,0.86,14.21,-9.23,4,0,13,-2.53,5.51,9.35
摸底摸顶_15x_10%_3R_4H,15,0.1000,3.0,4.0,28,35.71,-2.41,5.84,0.86,14.21,-9.23,4,0,13,-2.53,5.51,9.35
摸底摸顶_30x_5%_3R_4H,30,0.0500,3.0,4.0,28,35.71,-2.41,5.84,0.86,14.21,-9.23,4,0,13,-2.53,5.51,9.35
摸底摸顶_10x_8%_2R_8H,10,0.0800,2.0,8.0,28,50.00,-2.47,4.74,0.81,7.54,-9.30,4,0,13,-2.65,4.74,7.67
摸底摸顶_15x_8%_1.2R_4H,15,0.0800,1.2,4.0,28,35.71,-3.61,4.69,0.73,9.62,-7.35,4,0,13,-2.28,4.43,6.84
摸底摸顶_10x_12%_1.2R_4H,10,0.1200,1.2,4.0,28,35.71,-3.61,4.69,0.73,9.62,-7.35,4,0,13,-2.28,4.43,6.84
摸底摸顶_10x_15%_1.5R_4H,10,0.1500,1.5,4.0,28,35.71,-2.96,5.55,0.82,13.63,-9.22,4,0,13,-2.59,5.51,9.20
摸底摸顶_15x_10%_1.5R_4H,15,0.1000,1.5,4.0,28,35.71,-2.96,5.55,0.82,13.63,-9.22,4,0,13,-2.59,5.51,9.20
摸底摸顶_30x_5%_1.5R_4H,30,0.0500,1.5,4.0,28,35.71,-2.96,5.55,0.82,13.63,-9.22,4,0,13,-2.59,5.51,9.20
摸底摸顶_20x_8%_2R_4H,20,0.0800,2.0,4.0,28,35.71,-2.39,6.22,0.87,15.33,-9.84,4,0,13,-2.70,5.87,9.96
摸底摸顶_15x_5%_1R_8H,15,0.0500,1.0,8.0,28,53.57,-3.96,3.96,0.65,5.01,-8.83,3,0,13,-2.38,3.94,5.20
摸底摸顶_15x_5%_1.5R_8H,15,0.0500,1.5,8.0,28,50.00,-3.25,4.67,0.73,6.35,-8.67,4,0,13,-2.31,4.67,7.59
摸底摸顶_20x_8%_3R_4H,20,0.0800,3.0,4.0,28,35.71,-2.58,6.22,0.85,15.12,-9.83,4,0,13,-2.70,5.87,9.96
摸底摸顶_15x_5%_1.2R_12H,15,0.0500,1.2,12.0,28,42.86,-4.11,4.20,0.66,6.60,-7.52,3,0,13,-2.32,4.20,7.24
摸底摸顶_10x_5%_0.8R_12H,10,0.0500,0.8,12.0,28,42.86,-4.07,4.07,0.49,3.28,-5.00,3,0,13,-2.23,3.06,3.42
摸底摸顶_15x_5%_3R_8H,15,0.0500,3.0,8.0,28,46.43,-4.06,4.40,0.67,6.29,-8.16,4,0,13,-2.22,4.40,7.72
摸底摸顶_15x_12%_2.5R_4H,15,0.1200,2.5,4.0,28,35.71,-1.98,6.98,0.90,17.97,-11.08,4,0,13,-3.04,6.59,11.18
摸底摸顶_20x_8%_1.5R_4H,20,0.0800,1.5,4.0,28,35.71,-3.17,5.92,0.82,14.51,-9.82,4,0,13,-2.77,5.87,9.80
摸底摸顶_10x_5%_1.2R_不限时,10,0.0500,1.2,,26,34.62,-4.23,4.23,0.61,7.45,-6.43,4,0,13,-2.73,3.99,7.84
趋势突破_10x_5%_1R_4H,10,0.0500,1.0,4.0,95,41.05,-0.73,5.40,0.96,4.93,-3.56,10,0,32,-3.97,5.40,5.20
摸底摸顶_10x_8%_1R_8H,10,0.0800,1.0,8.0,28,53.57,-4.22,4.22,0.65,5.33,-9.40,3,0,13,-2.54,4.20,5.54
摸底摸顶_10x_8%_1.5R_8H,10,0.0800,1.5,8.0,28,50.00,-3.47,4.97,0.73,6.76,-9.24,4,0,13,-2.46,4.97,8.10
摸底摸顶_15x_8%_1R_4H,15,0.0800,1.0,4.0,28,35.71,-4.41,4.88,0.67,8.77,-7.32,4,0,13,-2.43,4.43,6.48
摸底摸顶_10x_12%_1R_4H,10,0.1200,1.0,4.0,28,35.71,-4.41,4.88,0.67,8.77,-7.32,4,0,13,-2.43,4.43,6.48
摸底摸顶_10x_8%_1.2R_12H,10,0.0800,1.2,12.0,28,42.86,-4.39,4.47,0.66,7.03,-8.01,3,0,13,-2.47,4.47,7.72
摸底摸顶_10x_8%_3R_8H,10,0.0800,3.0,8.0,28,46.43,-4.34,4.69,0.67,6.70,-8.69,4,0,13,-2.38,4.69,8.23
摸底摸顶_10x_10%_0.8R_4H,10,0.1000,0.8,4.0,28,35.71,-4.75,5.02,0.57,6.22,-6.09,4,0,13,-2.14,3.70,5.11
摸底摸顶_20x_5%_0.8R_4H,20,0.0500,0.8,4.0,28,35.71,-4.75,5.02,0.57,6.22,-6.09,4,0,13,-2.14,3.70,5.11
摸底摸顶_10x_10%_2.5R_8H,10,0.1000,2.5,8.0,28,50.00,-2.64,5.83,0.84,9.74,-11.63,4,0,13,-3.03,5.83,10.17
摸底摸顶_20x_5%_2.5R_8H,20,0.0500,2.5,8.0,28,50.00,-2.64,5.83,0.84,9.74,-11.63,4,0,13,-3.03,5.83,10.17
摸底摸顶_15x_12%_2R_4H,15,0.1200,2.0,4.0,28,35.71,-2.73,6.98,0.86,17.16,-11.05,4,0,13,-3.04,6.59,11.18
摸底摸顶_10x_5%_1.5R_不限时,10,0.0500,1.5,,26,26.92,-4.94,4.94,0.59,10.12,-6.33,6,0,13,-2.72,4.30,11.84
摸底摸顶_15x_5%_2.5R_12H,15,0.0500,2.5,12.0,28,39.29,-3.82,4.84,0.70,8.03,-7.44,5,0,13,-3.19,4.84,8.20
摸底摸顶_10x_10%_1.2R_8H,10,0.1000,1.2,8.0,28,53.57,-4.44,4.99,0.71,7.23,-11.76,3,0,13,-2.50,4.99,8.10
摸底摸顶_20x_5%_1.2R_8H,20,0.0500,1.2,8.0,28,53.57,-4.44,4.99,0.71,7.23,-11.76,3,0,13,-2.50,4.99,8.10
摸底摸顶_15x_12%_3R_4H,15,0.1200,3.0,4.0,28,35.71,-2.95,6.98,0.85,16.93,-11.04,4,0,13,-3.04,6.59,11.18
摸底摸顶_15x_5%_2R_12H,15,0.0500,2.0,12.0,28,39.29,-3.65,4.89,0.71,8.22,-7.47,5,0,13,-3.41,4.89,7.64
趋势回踩_10x_5%_2.5R_24H,10,0.0500,2.5,24.0,135,40.74,-1.82,10.02,0.97,10.50,-7.44,10,0,50,0.63,8.62,10.79
摸底摸顶_10x_5%_1.2R_24H,10,0.0500,1.2,24.0,27,37.04,-3.53,4.65,0.65,6.43,-5.86,8,0,13,-3.40,4.65,6.48
摸底摸顶_15x_5%_1.5R_12H,15,0.0500,1.5,12.0,28,39.29,-4.10,5.10,0.68,7.77,-7.44,5,0,13,-2.76,5.10,9.42
摸底摸顶_15x_5%_3R_12H,15,0.0500,3.0,12.0,28,39.29,-4.32,4.84,0.66,7.55,-7.42,5,0,13,-2.97,4.84,8.75
摸底摸顶_10x_20%_2.5R_4H,10,0.2000,2.5,4.0,28,35.71,-2.25,7.74,0.90,19.88,-12.29,4,0,13,-3.39,7.30,12.40
摸底摸顶_20x_10%_2.5R_4H,20,0.1000,2.5,4.0,28,35.71,-2.25,7.74,0.90,19.88,-12.29,4,0,13,-3.39,7.30,12.40
摸底摸顶_15x_12%_1.5R_4H,15,0.1200,1.5,4.0,28,35.71,-3.60,6.64,0.82,16.24,-11.02,4,0,13,-3.12,6.59,11.00
摸底摸顶_10x_15%_1.2R_4H,10,0.1500,1.2,4.0,28,35.71,-4.53,5.84,0.72,11.93,-9.14,4,0,13,-2.86,5.51,8.53
摸底摸顶_15x_10%_1.2R_4H,15,0.1000,1.2,4.0,28,35.71,-4.53,5.84,0.72,11.93,-9.14,4,0,13,-2.86,5.51,8.53
摸底摸顶_30x_5%_1.2R_4H,30,0.0500,1.2,4.0,28,35.71,-4.53,5.84,0.72,11.93,-9.14,4,0,13,-2.86,5.51,8.53
摸底摸顶_10x_10%_2R_8H,10,0.1000,2.0,8.0,28,50.00,-3.12,5.90,0.81,9.39,-11.62,4,0,13,-3.32,5.90,9.57
摸底摸顶_20x_5%_2R_8H,20,0.0500,2.0,8.0,28,50.00,-3.12,5.90,0.81,9.39,-11.62,4,0,13,-3.32,5.90,9.57
摸底摸顶_15x_5%_1R_12H,15,0.0500,1.0,12.0,28,42.86,-4.79,4.79,0.60,6.00,-7.49,3,0,13,-2.83,4.38,6.18
摸底摸顶_10x_8%_2.5R_12H,10,0.0800,2.5,12.0,28,39.29,-4.08,5.15,0.70,8.56,-7.93,5,0,13,-3.40,5.15,8.73
摸底摸顶_10x_8%_2R_12H,10,0.0800,2.0,12.0,28,39.29,-3.90,5.21,0.71,8.76,-7.96,5,0,13,-3.64,5.21,8.14
摸底摸顶_10x_5%_1R_不限时,10,0.0500,1.0,,27,37.04,-4.70,4.70,0.57,6.21,-6.42,4,0,13,-3.27,4.31,6.43
摸底摸顶_10x_8%_1.5R_12H,10,0.0800,1.5,12.0,28,39.29,-4.38,5.44,0.68,8.28,-7.93,5,0,13,-2.94,5.44,10.04
摸底摸顶_10x_8%_3R_12H,10,0.0800,3.0,12.0,28,39.29,-4.60,5.15,0.66,8.04,-7.91,5,0,13,-3.17,5.15,9.33
摸底摸顶_10x_20%_2R_4H,10,0.2000,2.0,4.0,28,35.71,-3.08,7.74,0.86,18.98,-12.25,4,0,13,-3.39,7.30,12.40
摸底摸顶_20x_10%_2R_4H,20,0.1000,2.0,4.0,28,35.71,-3.08,7.74,0.86,18.98,-12.25,4,0,13,-3.39,7.30,12.40
趋势突破_10x_5%_0.8R_4H,10,0.0500,0.8,4.0,99,39.39,-3.30,5.40,0.85,4.71,-3.61,10,0,32,-3.97,5.40,5.20
摸底摸顶_10x_5%_2R_24H,10,0.0500,2.0,24.0,27,29.63,-4.13,5.11,0.63,8.68,-5.83,10,0,13,-3.84,5.11,9.38
趋势回踩_10x_5%_2R_24H,10,0.0500,2.0,24.0,135,40.74,-4.15,9.90,0.93,9.90,-7.32,10,0,50,1.12,8.62,11.09
摸底摸顶_10x_8%_1R_12H,10,0.0800,1.0,12.0,28,42.86,-5.11,5.11,0.60,6.39,-7.98,3,0,13,-3.02,4.67,6.58
摸底摸顶_10x_20%_3R_4H,10,0.2000,3.0,4.0,28,35.71,-3.31,7.74,0.85,18.72,-12.24,4,0,13,-3.39,7.30,12.40
摸底摸顶_20x_10%_3R_4H,20,0.1000,3.0,4.0,28,35.71,-3.31,7.74,0.85,18.72,-12.24,4,0,13,-3.39,7.30,12.40
摸底摸顶_20x_8%_1.2R_4H,20,0.0800,1.2,4.0,28,35.71,-4.84,6.22,0.72,12.69,-9.74,4,0,13,-3.05,5.87,9.09
趋势突破_10x_5%_1.5R_4H,10,0.0500,1.5,4.0,92,40.22,-3.21,5.71,0.84,4.43,-3.56,10,0,32,-3.97,5.40,5.20
摸底摸顶_10x_5%_1R_24H,10,0.0500,1.0,24.0,27,37.04,-4.33,4.77,0.56,5.59,-5.83,8,0,13,-3.74,4.77,5.30
摸底摸顶_15x_5%_0.8R_8H,15,0.0500,0.8,8.0,28,53.57,-5.25,5.25,0.54,4.10,-8.77,3,0,13,-2.89,4.12,4.31
摸底摸顶_10x_5%_2.5R_24H,10,0.0500,2.5,24.0,27,29.63,-4.61,5.07,0.58,8.01,-5.80,10,0,13,-3.69,5.07,10.12
趋势突破_10x_5%_1R_不限时,10,0.0500,1.0,,64,48.44,-3.56,11.18,0.93,15.56,-15.69,4,0,22,1.98,11.18,21.45
摸底摸顶_10x_12%_0.8R_4H,10,0.1200,0.8,4.0,28,35.71,-5.69,6.01,0.57,7.41,-7.28,4,0,13,-2.57,4.43,6.12
摸底摸顶_15x_8%_0.8R_4H,15,0.0800,0.8,4.0,28,35.71,-5.69,6.01,0.57,7.41,-7.28,4,0,13,-2.57,4.43,6.12
趋势突破_10x_5%_1.2R_4H,10,0.0500,1.2,4.0,93,39.78,-3.49,5.71,0.82,4.37,-3.51,10,0,32,-3.97,5.40,5.20
摸底摸顶_10x_20%_1.5R_4H,10,0.2000,1.5,4.0,28,35.71,-4.03,7.36,0.82,17.96,-12.22,4,0,13,-3.47,7.30,12.20
摸底摸顶_20x_10%_1.5R_4H,20,0.1000,1.5,4.0,28,35.71,-4.03,7.36,0.82,17.96,-12.22,4,0,13,-3.47,7.30,12.20
摸底摸顶_15x_15%_2.5R_4H,15,0.1500,2.5,4.0,28,35.71,-2.60,8.68,0.90,22.25,-13.80,4,0,13,-3.82,8.18,13.91
摸底摸顶_10x_10%_1R_8H,10,0.1000,1.0,8.0,28,53.57,-5.28,5.28,0.65,6.62,-11.70,3,0,13,-3.18,5.23,6.91
摸底摸顶_20x_5%_1R_8H,20,0.0500,1.0,8.0,28,53.57,-5.28,5.28,0.65,6.62,-11.70,3,0,13,-3.18,5.23,6.91
摸底摸顶_10x_15%_1R_4H,10,0.1500,1.0,4.0,28,35.71,-5.52,6.10,0.66,10.86,-9.10,4,0,13,-3.04,5.51,8.08
摸底摸顶_15x_10%_1R_4H,15,0.1000,1.0,4.0,28,35.71,-5.52,6.10,0.66,10.86,-9.10,4,0,13,-3.04,5.51,8.08
摸底摸顶_30x_5%_1R_4H,30,0.0500,1.0,4.0,28,35.71,-5.52,6.10,0.66,10.86,-9.10,4,0,13,-3.04,5.51,8.08
摸底摸顶_10x_10%_1.5R_8H,10,0.1000,1.5,8.0,28,50.00,-4.36,6.19,0.73,8.41,-11.52,4,0,13,-3.09,6.19,10.11
摸底摸顶_20x_5%_1.5R_8H,20,0.0500,1.5,8.0,28,50.00,-4.36,6.19,0.73,8.41,-11.52,4,0,13,-3.09,6.19,10.11
摸底摸顶_10x_12%_2.5R_8H,10,0.1200,2.5,8.0,28,50.00,-3.22,6.97,0.84,11.65,-13.94,4,0,13,-3.64,6.97,12.17
摸底摸顶_15x_8%_2.5R_8H,15,0.0800,2.5,8.0,28,50.00,-3.22,6.97,0.84,11.65,-13.94,4,0,13,-3.64,6.97,12.17
摸底摸顶_10x_5%_1.5R_24H,10,0.0500,1.5,24.0,27,29.63,-4.67,5.25,0.58,7.95,-5.81,10,0,13,-3.69,5.25,10.21
摸底摸顶_10x_10%_1.2R_12H,10,0.1000,1.2,12.0,28,42.86,-5.49,5.57,0.66,8.72,-9.97,3,0,13,-3.10,5.57,9.64
摸底摸顶_20x_5%_1.2R_12H,20,0.0500,1.2,12.0,28,42.86,-5.49,5.57,0.66,8.72,-9.97,3,0,13,-3.10,5.57,9.64
趋势突破_10x_5%_2R_4H,10,0.0500,2.0,4.0,91,39.56,-3.90,5.71,0.80,4.32,-3.54,10,0,32,-3.97,5.40,5.20
趋势突破_10x_5%_2.5R_4H,10,0.0500,2.5,4.0,91,39.56,-3.90,5.71,0.80,4.32,-3.54,10,0,32,-3.97,5.40,5.20
趋势突破_10x_5%_3R_4H,10,0.0500,3.0,4.0,91,39.56,-3.90,5.71,0.80,4.32,-3.54,10,0,32,-3.97,5.40,5.20
摸底摸顶_15x_8%_1.2R_8H,15,0.0800,1.2,8.0,28,53.57,-5.35,5.97,0.71,8.62,-14.06,3,0,13,-3.01,5.97,9.71
摸底摸顶_10x_12%_1.2R_8H,10,0.1200,1.2,8.0,28,53.57,-5.35,5.97,0.71,8.62,-14.06,3,0,13,-3.01,5.97,9.71
摸底摸顶_10x_10%_3R_8H,10,0.1000,3.0,8.0,28,46.43,-5.43,5.83,0.67,8.31,-10.82,4,0,13,-2.98,5.83,10.27
摸底摸顶_20x_5%_3R_8H,20,0.0500,3.0,8.0,28,46.43,-5.43,5.83,0.67,8.31,-10.82,4,0,13,-2.98,5.83,10.27
摸底摸顶_10x_8%_0.8R_8H,10,0.0800,0.8,8.0,28,53.57,-5.59,5.59,0.54,4.36,-9.34,3,0,13,-3.09,4.39,4.59
摸底摸顶_10x_5%_3R_不限时,10,0.0500,3.0,,26,19.23,-6.78,7.03,0.52,14.89,-6.77,8,0,13,-3.54,3.80,19.07
摸底摸顶_10x_5%_0.8R_不限时,10,0.0500,0.8,,27,40.74,-5.12,5.12,0.51,4.76,-6.47,4,0,13,-3.81,4.63,5.03
