年份,交易数,盈利数,亏损数,净盈亏U,年度收益,年末权益
2021,17,10,7,154.87,15.49,1154.87
2022,38,14,24,-212.80,-18.43,942.08
2023,36,21,15,660.13,70.07,1602.21
2024,39,21,18,581.43,36.29,2183.64
2025,37,16,21,254.47,11.65,2438.12
2026,18,7,11,86.40,3.54,2524.52
