策略,信号数,全年交易,全年收益率,全年最大回撤,全年胜率,全年盈亏比因子,训练收益率,测试收益率,测试最大回撤,手续费
S1 原始15m回踩_风险控仓,934,314,-73.12,73.87,31.21,0.60,-57.16,-37.25,37.25,485.78
S2 强趋势15m回踩,500,186,-62.96,64.27,24.19,0.61,-35.64,-42.45,42.45,360.30
S3 4H趋势回踩,268,52,-13.07,27.02,26.92,0.81,-24.91,15.77,6.24,88.49
S4 4H唐奇安突破,75,19,-5.10,11.47,21.05,0.84,-1.37,-3.78,6.08,17.87
S6 4H突破多空,127,41,-10.14,15.83,24.39,0.84,-7.44,-2.92,15.83,28.40
S7 4H顺势回踩多空,483,110,-13.30,24.93,30.00,0.90,-17.73,5.39,9.91,187.58
S8 可执行_4H多空突破,119,33,6.91,9.79,39.39,1.17,1.61,5.21,9.79,18.50
S5 布林下轨反弹,313,277,-58.68,58.68,38.99,0.57,-49.86,-17.59,20.66,485.01
