??,??,????,????,??,??,???,????,??,?????%,????,RSI,ATR%,????%,??
????,??,2025-06-06 04:00,2025-06-06 17:15,101862.01,103695.53,103695.53,99713.80,????,-100.00,13.25,30.14,1.11,1.11,4H??40??
????,??,2025-06-06 08:00,2025-06-06 15:15,101447.65,103273.71,103273.71,99308.18,????,-100.00,7.25,28.57,1.16,0.04,4H??40??
????,??,2025-06-09 20:00,2025-06-10 05:15,107710.77,109973.61,105771.98,109984.60,??,99.99,9.25,68.24,0.84,0.88,4H??40??
????,??,2025-06-10 04:00,2025-06-12 21:30,108528.15,106574.64,106574.64,110819.24,????,-100.00,65.50,71.36,0.87,0.48,4H??40??
????,??,2025-06-10 08:00,2025-06-12 06:15,110231.02,108246.86,108246.86,112558.06,????,-100.00,46.25,77.24,0.95,1.34,4H??40??
????,??,2025-06-21 04:00,2025-06-22 05:30,103240.87,101073.69,105099.21,101063.58,??,100.01,25.50,39.11,1.15,0.05,4H??40??
????,??,2025-06-22 04:00,2025-06-22 22:15,102207.38,100061.89,104047.11,100051.88,??,100.01,18.25,34.86,1.01,0.06,4H??40??
????,??,2025-06-22 08:00,2025-06-22 22:15,102059.69,99917.30,103896.77,99907.31,??,100.01,14.25,34.15,1.08,0.09,4H??40??
????,??,2025-06-23 00:00,2025-06-23 06:15,98836.52,100615.57,100615.57,96752.11,????,-100.00,6.25,24.38,1.30,1.94,4H??40??
????,??,2025-06-25 20:00,2025-07-02 04:00,107141.01,105212.47,105212.47,109402.82,????,-100.00,152.00,68.50,1.22,0.34,4H??40??
????,??,2025-06-29 20:00,2025-07-01 17:30,108439.04,106487.14,106487.14,110728.25,????,-100.00,45.50,67.14,0.70,0.18,4H??40??
????,??,2025-07-03 04:00,2025-07-04 22:00,109638.46,107664.97,107664.97,111952.99,????,-100.00,42.00,68.10,0.85,0.80,4H??40??
????,??,2025-07-10 04:00,2025-07-11 05:15,111722.07,114069.18,109711.07,114080.59,??,99.99,25.25,72.74,0.84,1.10,4H??40??
????,??,2025-07-11 04:00,2025-07-11 05:15,113237.42,115616.36,111199.15,115627.93,??,99.99,1.25,74.91,0.90,1.07,4H??40??
????,??,2025-07-11 08:00,2025-07-11 17:30,116004.60,118441.68,113916.52,118453.52,??,99.99,9.50,82.02,1.09,1.95,4H??40??
????,??,2025-07-14 12:00,2025-07-15 09:45,120813.98,118639.33,118639.33,123364.43,????,-100.00,21.75,81.75,0.97,1.10,4H??40??
????,??,2025-07-14 16:00,2025-07-14 23:00,122788.18,120577.99,120577.99,125380.30,????,-100.00,7.00,85.70,1.04,0.81,4H??40??
????,??,2025-08-02 04:00,2025-08-04 22:00,113259.67,115298.35,115298.35,110871.09,????,-100.00,66.00,25.77,1.19,0.51,4H??40??
????,??,2025-08-03 04:00,2025-08-03 19:00,112172.88,114191.99,114191.99,109807.22,????,-100.00,15.00,25.02,1.08,0.44,4H??40??
????,??,2025-08-10 12:00,2025-08-11 10:00,118530.45,121020.59,116396.90,121032.70,??,99.99,22.00,67.56,0.81,0.51,4H??40??
????,??,2025-08-11 00:00,2025-08-11 10:15,118797.38,121293.13,116659.03,121305.26,??,99.99,10.25,66.09,0.82,0.03,4H??40??
????,??,2025-08-11 08:00,2025-08-11 10:45,119317.93,121824.61,117170.21,121836.80,??,99.99,2.75,68.01,0.81,0.15,4H??40??
????,??,2025-08-11 12:00,2025-08-11 21:00,121718.17,119527.24,119527.24,124287.71,????,-100.00,9.00,76.61,0.92,1.99,4H??40??
????,??,2025-08-14 04:00,2025-08-14 20:15,122784.48,120574.36,120574.36,125376.53,????,-100.00,16.25,70.39,1.03,0.35,4H??40??
????,??,2025-08-14 08:00,2025-08-14 18:30,123374.04,121153.30,121153.30,125978.53,????,-100.00,10.50,72.27,1.03,0.40,4H??40??
????,??,2025-08-18 12:00,2025-08-20 02:45,115245.77,112826.59,117320.20,112815.30,??,100.01,38.75,30.79,0.89,1.28,4H??40??
????,??,2025-08-20 00:00,2025-08-22 22:30,113722.63,115769.63,115769.63,111324.28,????,-100.00,70.50,31.70,1.02,0.51,4H??40??
????,??,2025-08-20 04:00,2025-08-22 22:00,113055.99,115091.00,115091.00,110671.70,????,-100.00,66.00,29.25,1.03,0.34,4H??40??
????,??,2025-08-22 04:00,2025-08-22 22:00,112142.78,114161.35,114161.35,109777.75,????,-100.00,18.00,30.46,0.96,0.14,4H??40??
????,??,2025-08-26 08:00,2025-08-27 07:00,110062.99,112044.13,112044.13,107741.82,????,-100.00,23.00,32.29,1.32,0.25,4H??40??
????,??,2025-08-30 00:00,2025-09-02 11:00,108322.97,110272.78,110272.78,106038.49,????,-100.00,83.00,33.04,1.31,0.28,4H??40??
????,??,2025-09-11 00:00,2025-09-12 08:45,113828.38,116219.74,111779.47,116231.36,??,99.99,32.75,64.21,0.88,0.41,4H??40??
????,??,2025-09-11 12:00,2025-09-17 01:15,114358.53,116761.03,112300.08,116772.71,??,99.99,133.25,65.80,0.83,0.05,4H??40??
????,??,2025-09-12 08:00,2025-09-22 14:00,115449.44,113371.35,113371.35,117886.65,????,-100.00,246.00,70.08,0.80,0.63,4H??40??
????,??,2025-09-13 04:00,2025-09-15 21:30,116586.66,114488.10,114488.10,119047.87,????,-100.00,65.50,72.96,0.79,0.25,4H??40??
????,??,2025-09-17 04:00,2025-09-18 02:45,116775.68,114673.71,114673.71,119240.88,????,-100.00,22.75,64.02,0.73,0.00,4H??40??
????,??,2025-09-17 16:00,2025-09-18 02:15,117122.01,115013.81,115013.81,119594.52,????,-100.00,10.25,64.36,0.71,0.05,4H??40??
????,??,2025-09-18 12:00,2025-09-19 23:00,117558.65,115442.60,115442.60,120040.38,????,-100.00,35.00,63.18,0.87,0.27,4H??40??
????,??,2025-09-26 04:00,2025-09-29 06:00,109315.87,111283.55,111283.55,107010.46,????,-100.00,74.00,26.09,1.04,1.12,4H??40??
????,??,2025-10-01 20:00,2025-10-02 08:00,116740.27,119192.80,114638.95,119204.72,??,99.99,12.00,76.52,0.84,1.69,4H??40??
????,??,2025-10-02 00:00,2025-10-02 23:45,117375.64,119841.52,115262.87,119853.50,??,99.99,23.75,78.40,0.85,0.52,4H??40??
????,??,2025-10-02 08:00,2025-10-03 23:15,118572.26,121063.27,116437.96,121075.38,??,99.99,39.25,81.60,0.90,0.32,4H??40??
????,??,2025-10-02 12:00,2025-10-03 23:15,118702.97,121196.73,116566.32,121208.85,??,99.99,35.25,81.92,0.90,0.02,4H??40??
????,??,2025-10-03 00:00,2025-10-04 00:00,119892.69,122411.45,117734.62,122423.69,??,99.99,24.00,82.97,0.87,0.37,4H??40??
????,??,2025-10-03 04:00,2025-10-04 00:15,120788.48,123326.06,118614.29,123338.39,??,99.99,20.25,84.86,0.90,0.75,4H??40??
????,??,2025-10-04 00:00,2025-10-05 12:45,122227.32,124795.13,120027.23,124807.61,??,99.99,36.75,80.32,0.93,1.01,4H??40??
????,??,2025-10-04 04:00,2025-10-05 12:45,122608.66,125184.48,120401.70,125197.00,??,99.99,32.75,81.17,1.01,0.22,4H??40??
????,??,2025-10-05 16:00,2025-10-05 18:00,124715.57,122470.69,122470.69,127348.39,????,-100.00,2.00,81.78,0.92,0.29,4H??40??
????,??,2025-10-27 08:00,2025-10-29 04:15,114519.85,112458.49,112458.49,116937.43,????,-100.00,44.25,72.51,1.04,0.38,4H??40??
????,??,2025-10-31 00:00,2025-10-31 09:00,107645.83,109583.46,109583.46,105375.64,????,-100.00,9.00,29.61,1.54,0.17,4H??40??
????,??,2025-10-31 04:00,2025-10-31 08:00,106474.35,108390.89,108390.89,104228.87,????,-100.00,4.00,26.58,1.57,0.73,4H??40??
????,??,2025-11-04 00:00,2025-11-04 01:15,105691.03,107593.47,107593.47,103462.06,????,-100.00,1.25,29.21,1.28,0.48,4H??40??
????,??,2025-11-04 16:00,2025-11-05 00:45,104433.86,102241.63,106313.66,102231.40,??,100.01,8.75,31.03,1.48,0.77,4H??40??
????,??,2025-11-05 00:00,2025-11-05 01:15,103145.28,100980.10,105001.90,100970.01,??,100.01,1.25,27.95,1.50,0.40,4H??40??
????,??,2025-11-05 04:00,2025-11-05 13:00,100487.05,102295.82,102295.82,98367.83,????,-100.00,9.00,22.56,1.68,2.29,4H??40??
????,??,2025-11-14 04:00,2025-11-14 07:30,98619.54,100394.69,100394.69,96539.70,????,-100.00,3.50,33.49,1.71,0.58,4H??40??
