ts,open,high,low,close,volume
1738998000000,96006.0,96098.0,95900.0,95947.1,25577.48
1738998900000,95947.2,96049.9,95777.0,96009.5,61187.14
1738999800000,96009.6,96288.0,96009.5,96156.1,61674.09
1739000700000,96156.2,96323.5,96156.2,96210.5,32995.6
1739001600000,96210.5,96309.1,96138.6,96158.0,31151.43
1739002500000,96158.0,96200.0,96074.1,96199.9,20007.24
1739003400000,96200.0,96243.0,95935.1,96044.4,34195.38
1739004300000,96044.5,96083.7,95889.0,95907.9,37386.87
1739005200000,95908.0,96075.0,95907.9,96018.7,17617.95
1739006100000,96018.7,96213.3,96015.1,96206.4,27013.44
1739007000000,96206.5,96213.0,96080.0,96139.9,9735.15
1739007900000,96139.8,96179.8,96036.2,96177.8,11515.79
1739008800000,96177.7,96264.0,96135.0,96218.0,21701.02
1739009700000,96218.0,96286.0,96185.1,96222.6,18321.77
1739010600000,96222.7,96300.0,96090.0,96165.8,34724.5
1739011500000,96165.9,96221.2,95997.3,96036.5,32079.17
1739012400000,96036.5,96130.9,96000.0,96050.1,21455.1
1739013300000,96050.1,96091.9,95892.9,95899.9,25822.32
1739014200000,95899.8,96022.0,95878.8,95937.9,22967.12
1739015100000,95937.9,96140.0,95850.3,96132.2,35135.03
1739016000000,96132.2,96275.0,95944.3,96081.6,77435.27
1739016900000,96081.6,96140.2,95963.2,96015.4,21346.66
1739017800000,96015.4,96066.6,95907.0,95930.0,21984.43
1739018700000,95930.0,96115.7,95920.0,96069.3,25872.95
1739019600000,96069.3,96218.5,96016.9,96188.7,31664.73
1739020500000,96188.8,96212.2,96096.0,96212.2,14963.33
1739021400000,96212.2,96517.5,96156.1,96410.0,82735.39
1739022300000,96410.0,96431.6,96168.4,96236.2,41586.43
1739023200000,96236.3,96373.5,96142.8,96246.9,31205.69
1739024100000,96247.0,96247.0,95943.5,96029.5,64624.11
1739025000000,96029.5,96096.0,95950.1,96053.0,27916.29
1739025900000,96053.0,96130.0,95988.0,96112.2,22759.76
1739026800000,96113.0,96226.4,95979.5,96135.7,28136.28
1739027700000,96135.7,96192.5,95928.8,95928.9,27404.5
1739028600000,95928.8,95928.9,95668.2,95764.1,114195.61
1739029500000,95764.1,95870.0,95724.0,95856.0,28860.59
1739030400000,95855.9,96039.2,95855.9,95950.5,69065.36
1739031300000,95950.6,96014.8,95755.0,95987.5,37106.41
1739032200000,95987.5,96038.8,95902.8,95950.0,34304.78
1739033100000,95950.0,96152.0,95917.4,96133.5,36699.31
1739034000000,96133.5,96382.3,96133.5,96262.0,87045.43
1739034900000,96262.1,96267.3,96142.5,96190.0,29789.96
1739035800000,96190.0,96344.0,96190.0,96267.1,26584.78
1739036700000,96267.0,96399.9,96250.0,96373.1,33652.03
1739037600000,96373.2,96476.9,96249.6,96286.0,34555.01
1739038500000,96286.0,96449.8,96230.3,96388.1,25360.64
1739039400000,96388.1,96544.0,96380.0,96480.3,24263.48
1739040300000,96480.3,96515.7,96400.0,96507.2,12237.28
1739041200000,96507.2,96535.6,96389.9,96509.0,20260.82
1739042100000,96509.0,96700.0,96473.6,96641.3,75111.91
1739043000000,96641.3,96764.6,96555.9,96555.9,34532.63
1739043900000,96555.9,96599.9,96497.6,96587.7,17024.01
1739044800000,96587.8,96638.3,96381.6,96427.1,26393.27
1739045700000,96427.1,96497.9,96363.9,96473.1,16273.31
1739046600000,96473.0,96482.5,96401.6,96420.0,7784.18
1739047500000,96420.0,96496.4,96363.6,96469.2,10872.63
1739048400000,96469.2,96578.7,96394.1,96414.0,14576.35
1739049300000,96414.0,96467.8,96353.5,96411.9,9968.0
1739050200000,96411.9,96552.0,96360.8,96515.6,13456.7
1739051100000,96515.4,96619.2,96465.6,96539.9,13354.76
1739052000000,96539.9,96713.7,96539.9,96625.1,19359.99
1739052900000,96625.2,96656.1,96475.2,96584.0,10863.25
1739053800000,96584.0,96584.0,96384.6,96386.7,13556.52
1739054700000,96386.7,96489.0,96386.7,96482.2,5600.19
1739055600000,96482.3,96554.1,96463.6,96543.9,12154.24
1739056500000,96543.9,96637.3,96540.7,96562.0,9502.22
1739057400000,96562.0,96690.0,96562.0,96670.4,17656.98
1739058300000,96670.4,96670.5,96426.7,96449.5,16581.77
1739059200000,96449.5,96522.2,96412.0,96477.5,14568.68
1739060100000,96477.5,96520.4,96355.0,96402.4,16314.85
1739061000000,96402.3,96527.0,96351.9,96479.5,13857.07
1739061900000,96479.5,96590.0,96465.1,96564.1,17932.5
1739062800000,96564.1,96721.9,96475.9,96709.9,38583.09
1739063700000,96709.9,96866.0,96614.3,96854.0,48855.6
1739064600000,96854.1,96854.1,96703.4,96703.4,25378.28
1739065500000,96703.4,96999.0,96606.0,96976.1,73726.94
1739066400000,96975.5,97065.8,96815.0,96849.9,73018.15
1739067300000,96849.9,96945.0,96723.7,96724.1,25261.7
1739068200000,96724.2,96843.4,96718.0,96770.2,11834.16
1739069100000,96770.1,96832.2,96680.0,96729.9,13159.8
1739070000000,96730.0,96910.8,96694.2,96754.3,40331.49
1739070900000,96754.3,96928.3,96707.7,96915.9,23367.02
1739071800000,96915.9,97200.0,96879.3,97180.6,97217.06
1739072700000,97180.5,97318.0,97100.0,97317.9,76189.13
1739073600000,97317.9,97333.0,97075.8,97076.0,50868.54
1739074500000,97075.9,97100.0,96934.0,97054.3,27094.51
1739075400000,97054.3,97143.0,96988.5,97140.0,12869.05
1739076300000,97143.0,97314.2,97088.9,97221.2,28776.32
1739077200000,97221.3,97236.0,97101.5,97116.8,12015.99
1739078100000,97116.8,97198.6,97014.1,97025.9,24505.6
1739079000000,97025.9,97110.0,97002.0,97083.4,10195.59
1739079900000,97083.4,97106.0,97011.6,97036.5,11949.69
1739080800000,97036.4,97070.0,96840.7,96879.2,42313.08
1739081700000,96879.3,96969.9,96775.0,96906.2,32419.6
1739082600000,96906.2,96970.1,96808.3,96966.2,15030.79
1739083500000,96966.1,97081.8,96912.8,97009.0,21764.79
1739084400000,97009.1,97043.6,96924.3,97023.9,9356.17
1739085300000,97024.9,97060.0,96966.8,97041.9,13269.97
1739086200000,97041.8,97122.0,97009.9,97078.4,14321.63
1739087100000,97078.4,97118.0,97034.3,97063.5,14185.48
1739088000000,97063.5,97324.0,97063.4,97228.0,93389.91
1739088900000,97228.0,97256.6,97176.4,97224.1,15204.12
1739089800000,97224.1,97231.3,97077.5,97104.4,31764.28
