月份,交易数,盈利数,亏损数,净盈亏U,月收益,月末权益
2021-07,3,2,1,145.81,14.58,1145.81
2021-08,3,2,1,3.33,0.29,1149.14
2021-09,2,1,1,7.85,0.68,1156.98
2021-10,4,3,1,71.76,6.20,1228.75
2021-11,2,1,1,-17.93,-1.46,1210.82
2021-12,3,1,2,-85.47,-7.06,1125.35
2022-01,3,1,2,-15.72,-1.40,1109.63
2022-02,4,2,2,-13.18,-1.19,1096.45
2022-03,3,2,1,17.80,1.62,1114.24
2022-04,3,1,2,-24.94,-2.24,1089.30
2022-05,3,1,2,22.83,2.10,1112.13
2022-06,3,2,1,108.87,9.79,1221.00
2022-07,5,0,5,-201.12,-16.47,1019.88
2022-08,3,1,2,-54.23,-5.32,965.65
2022-09,2,1,1,34.10,3.53,999.75
2022-10,2,2,0,3.28,0.33,1003.03
2022-11,4,1,3,-24.66,-2.46,978.37
2022-12,3,0,3,-14.48,-1.48,963.89
2023-01,6,3,3,83.10,8.62,1046.99
2023-02,2,1,1,36.11,3.45,1083.09
2023-03,5,3,2,48.03,4.43,1131.13
2023-04,4,1,3,-40.80,-3.61,1090.32
2023-05,1,0,1,-19.30,-1.77,1071.02
2023-06,2,2,0,87.71,8.19,1158.73
2023-07,1,0,1,-27.09,-2.34,1131.64
2023-08,3,2,1,33.80,2.99,1165.44
2023-09,2,1,1,-3.42,-0.29,1162.02
2023-10,6,6,0,262.61,22.60,1424.63
2023-11,2,0,2,-70.40,-4.94,1354.22
2023-12,2,2,0,127.47,9.41,1481.69
2024-01,3,1,2,-17.08,-1.15,1464.62
2024-02,3,3,0,273.58,18.68,1738.20
2024-03,2,1,1,-101.92,-5.86,1636.28
2024-04,4,1,3,-107.86,-6.59,1528.42
2024-05,2,2,0,80.17,5.25,1608.58
2024-06,4,2,2,62.64,3.89,1671.22
2024-07,5,2,3,14.21,0.85,1685.43
2024-08,2,1,1,149.03,8.84,1834.46
2024-09,3,3,0,121.85,6.64,1956.31
2024-10,5,2,3,-72.69,-3.72,1883.62
2024-11,5,3,2,123.68,6.57,2007.30
2024-12,1,0,1,-96.09,-4.79,1911.21
2025-01,5,1,4,-139.78,-7.31,1771.43
2025-02,2,1,1,52.38,2.96,1823.81
2025-03,2,0,2,-112.36,-6.16,1711.45
2025-04,4,1,3,-25.92,-1.51,1685.53
2025-05,2,1,1,47.12,2.80,1732.65
2025-06,2,2,0,34.66,2.00,1767.31
2025-07,2,1,1,75.82,4.29,1843.13
2025-08,5,3,2,28.55,1.55,1871.68
2025-09,4,0,4,-83.03,-4.44,1788.65
2025-10,5,3,2,223.90,12.52,2012.55
2025-11,3,3,0,149.14,7.41,2161.69
2025-12,1,0,1,-65.22,-3.02,2096.47
2026-01,4,2,2,-59.53,-2.84,2036.94
2026-02,4,3,1,332.10,16.30,2369.04
2026-03,3,0,3,-159.06,-6.71,2209.98
2026-04,3,2,1,36.24,1.64,2246.22
2026-05,4,0,4,-86.04,-3.83,2160.18
