方向,入场时间,出场时间,入场价,出场价,强平价,止损价,止盈价,净盈亏,收益率%,出场原因,权益,备注
做空,2025-06-10 16:00,2025-06-12 12:15,109201.08,107444.73,111166.70,110419.76,107433.99,37.73,3.77,止盈,1037.73,80根4H高位反转做空
做多,2025-06-22 12:00,2025-06-22 21:15,102395.14,101242.28,100552.03,101252.41,104052.10,-31.79,-3.06,止损,1005.94,80根4H低位反转做多
做空,2025-06-26 00:00,2025-06-26 11:00,107023.80,108229.00,108950.22,108218.18,105291.94,-30.85,-3.07,止损,975.09,80根4H高位反转做空
做空,2025-06-26 16:00,2025-07-01 22:30,107801.92,106068.07,109742.35,109004.99,106057.47,36.79,3.77,止盈,1011.88,80根4H高位反转做空
做空,2025-07-10 08:00,2025-07-11 00:15,111228.18,112480.73,113230.28,112469.48,109428.28,-31.03,-3.07,止损,980.85,80根4H高位反转做空
做空,2025-07-12 00:00,2025-07-12 17:45,116909.61,118226.14,119013.98,118214.32,115017.78,-30.08,-3.07,止损,950.77,80根4H高位反转做空
做空,2025-07-13 00:00,2025-07-13 20:45,117100.39,118419.07,119208.20,118407.23,115205.47,-29.16,-3.07,止损,921.61,80根4H高位反转做空
做空,2025-07-14 20:00,2025-07-15 00:00,121448.95,119495.62,123635.04,122804.32,119483.67,34.77,3.77,止盈,956.38,80根4H高位反转做空
做多,2025-08-01 20:00,2025-08-01 22:00,115309.73,114011.47,113234.15,114022.87,117175.67,-29.30,-3.06,止损,927.09,80根4H低位反转做多
做多,2025-08-02 00:00,2025-08-02 02:00,115364.14,114065.26,113287.58,114076.67,117230.96,-28.40,-3.06,止损,898.69,80根4H低位反转做多
做多,2025-08-02 12:00,2025-08-03 01:45,113919.29,112636.69,111868.74,112647.95,115762.73,-27.53,-3.06,止损,871.16,80根4H低位反转做多
做多,2025-08-03 08:00,2025-08-04 02:15,112571.26,114381.44,110544.97,111314.96,114392.88,32.83,3.77,止盈,903.98,80根4H低位反转做多
做空,2025-08-11 04:00,2025-08-11 09:45,118636.24,119972.21,120771.69,119960.22,116716.46,-27.72,-3.07,止损,876.26,80根4H高位反转做空
