策略,杠杆,保证金比例,交易数,多单,空单,胜率,全年收益,最终权益,最大回撤,月内最大回撤,PF,平均单笔,平均盈利,平均亏损,最大单笔盈利,最大单笔亏损,最大连亏,强平,样本外交易,样本外收益,样本外回撤,样本外PF,平均持仓小时
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,10,0.20,39,18,21,46.15%,59.14%,1591.42,26.52%,16.22%,1.46,15.16,103.78,-60.79,294.72,-147.70,5,0,14,12.61%,26.52%,1.24,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_20%_T3_3.0R_96H,8,0.20,39,18,21,46.15%,47.26%,1472.56,21.67%,13.13%,1.51,12.12,78.14,-44.47,221.14,-102.57,5,0,14,10.77%,21.67%,1.27,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_15%_T3_3.0R_96H,10,0.15,39,18,21,46.15%,44.26%,1442.61,20.43%,12.34%,1.52,11.35,72.13,-40.75,204.05,-92.73,5,0,14,10.26%,20.43%,1.28,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,8,0.15,39,18,21,46.15%,35.26%,1352.60,16.60%,9.96%,1.55,9.04,55.05,-30.40,155.42,-66.37,5,0,14,8.58%,16.60%,1.31,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_20%_T3_3.0R_96H,5,0.20,39,18,21,46.15%,29.27%,1292.66,13.98%,8.35%,1.58,7.50,44.43,-24.15,125.19,-51.24,5,0,14,7.36%,13.98%,1.32,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_10%_T3_3.0R_96H,10,0.10,39,18,21,46.15%,29.27%,1292.66,13.98%,8.35%,1.58,7.50,44.43,-24.15,125.19,-51.24,5,0,14,7.36%,13.98%,1.32,57.46
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_20%_T3_3.0R_96H,10,0.20,41,18,23,48.78%,60.04%,1600.44,28.49%,16.22%,1.43,14.64,99.43,-66.10,302.95,-151.83,5,0,15,10.17%,28.49%,1.18,56.62
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_10%_T3_3.0R_96H,8,0.10,39,18,21,46.15%,23.30%,1232.97,11.30%,6.71%,1.60,5.97,34.41,-18.40,96.70,-37.92,5,0,14,6.05%,11.30%,1.34,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_3.0R_96H,5,0.15,39,18,21,46.15%,21.81%,1218.11,10.62%,6.30%,1.61,5.59,32.00,-17.04,89.85,-34.86,5,0,14,5.71%,10.62%,1.35,57.46
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_20%_T3_3.0R_96H,8,0.20,41,18,23,48.78%,47.97%,1479.73,23.34%,13.13%,1.47,11.70,74.51,-48.12,226.09,-104.87,5,0,15,8.88%,23.34%,1.20,56.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_15%_T3_3.0R_96H,10,0.15,41,18,23,48.78%,44.93%,1449.32,22.01%,12.34%,1.49,10.96,68.70,-44.03,208.33,-94.67,5,0,15,8.50%,22.01%,1.21,56.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_15%_T3_3.0R_96H,8,0.15,41,18,23,48.78%,35.79%,1357.88,17.93%,9.96%,1.52,8.73,52.25,-32.72,158.02,-67.48,5,0,15,7.21%,17.93%,1.23,56.62
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_96H,5,0.10,39,18,21,46.15%,14.43%,1144.28,7.18%,4.23%,1.64,3.70,20.47,-10.68,57.24,-21.54,5,0,14,3.93%,7.18%,1.37,57.46
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_20%_T3_3.0R_96H,5,0.20,41,18,23,48.78%,29.70%,1297.00,15.12%,8.35%,1.55,7.24,42.07,-25.92,126.94,-51.96,5,0,15,6.24%,15.12%,1.25,56.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_10%_T3_3.0R_96H,10,0.10,41,18,23,48.78%,29.70%,1297.00,15.12%,8.35%,1.55,7.24,42.07,-25.92,126.94,-51.96,5,0,15,6.24%,15.12%,1.25,56.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_10%_T3_3.0R_96H,8,0.10,41,18,23,48.78%,23.64%,1236.39,12.24%,6.71%,1.57,5.77,32.50,-19.70,97.78,-38.35,5,0,15,5.17%,12.24%,1.26,56.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_15%_T3_3.0R_96H,5,0.15,41,18,23,48.78%,22.13%,1221.29,11.51%,6.30%,1.58,5.40,30.21,-18.23,90.80,-35.22,5,0,15,4.89%,11.51%,1.27,56.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_10%_T3_3.0R_96H,5,0.10,41,18,23,48.78%,14.63%,1146.35,7.78%,4.23%,1.61,3.57,19.27,-11.38,57.64,-21.69,5,0,15,3.40%,7.78%,1.29,56.62
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_10%_T3_3.0R_96H,5,0.10,37,17,20,40.54%,7.30%,1072.97,7.82%,4.92%,1.33,1.97,19.50,-9.98,53.62,-20.05,5,0,14,4.02%,7.82%,1.36,52.61
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_15%_T3_3.0R_96H,5,0.15,37,17,20,40.54%,10.69%,1106.91,11.54%,7.31%,1.31,2.89,29.85,-15.49,81.56,-31.64,5,0,14,5.83%,11.54%,1.34,52.61
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_10%_T3_3.0R_96H,8,0.10,37,17,20,40.54%,11.35%,1113.47,12.27%,7.79%,1.31,3.07,31.96,-16.63,87.23,-34.20,5,0,14,6.18%,12.27%,1.33,52.61
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_96H,5,0.10,36,17,19,36.11%,5.99%,1059.90,7.84%,4.92%,1.27,1.66,21.56,-9.58,53.40,-19.96,5,0,14,3.19%,7.84%,1.28,53.27
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_20%_T3_3.0R_96H,5,0.20,37,17,20,40.54%,13.89%,1138.92,15.14%,9.67%,1.30,3.75,40.57,-21.34,110.14,-45.09,5,0,14,7.51%,15.14%,1.31,52.61
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_10x_10%_T3_3.0R_96H,10,0.10,37,17,20,40.54%,13.89%,1138.92,15.14%,9.67%,1.30,3.75,40.57,-21.34,110.14,-45.09,5,0,14,7.51%,15.14%,1.31,52.61
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_15%_T3_3.0R_96H,8,0.15,37,17,20,40.54%,16.30%,1163.02,17.94%,11.53%,1.28,4.41,49.40,-26.27,133.42,-56.97,5,0,14,8.76%,17.94%,1.30,52.61
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_15%_T3_3.0R_96H,5,0.15,36,17,19,36.11%,8.68%,1086.76,11.59%,7.31%,1.25,2.41,32.93,-14.84,81.04,-31.44,5,0,14,4.57%,11.59%,1.26,53.27
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_10%_T3_3.0R_96H,8,0.10,36,17,19,36.11%,9.19%,1091.87,12.33%,7.79%,1.25,2.55,35.25,-15.93,86.63,-33.97,5,0,14,4.83%,12.33%,1.26,53.27
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_10x_15%_T3_3.0R_96H,10,0.15,37,17,20,40.54%,19.65%,1196.49,21.99%,14.26%,1.26,5.31,63.07,-34.07,168.94,-76.78,5,0,14,10.45%,21.99%,1.27,52.61
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_20%_T3_3.0R_96H,8,0.20,37,17,20,40.54%,20.69%,1206.89,23.31%,15.16%,1.26,5.59,67.73,-36.78,180.92,-83.92,5,0,14,10.97%,23.31%,1.27,52.61
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,37,17,20,43.24%,8.28%,1082.79,7.18%,4.23%,1.37,2.24,19.01,-10.54,44.25,-21.28,5,0,13,-0.43%,7.18%,0.96,58.60
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_20%_T3_3.0R_96H,5,0.20,36,17,19,36.11%,11.14%,1111.39,15.23%,9.67%,1.24,3.09,44.66,-20.40,109.21,-44.70,5,0,14,5.81%,15.23%,1.24,53.27
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_10x_10%_T3_3.0R_96H,10,0.10,36,17,19,36.11%,11.14%,1111.39,15.23%,9.67%,1.24,3.09,44.66,-20.40,109.21,-44.70,5,0,14,5.81%,15.23%,1.24,53.27
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_168H,5,0.10,36,17,19,50.00%,13.68%,1136.79,11.89%,4.66%,1.51,3.80,22.40,-14.80,97.20,-38.61,7,0,13,0.81%,11.89%,1.06,73.57
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_10%_T3_3.0R_168H,5,0.10,38,17,21,50.00%,15.01%,1150.11,13.05%,4.66%,1.53,3.95,22.80,-14.90,97.88,-38.88,7,0,14,1.28%,13.05%,1.08,72.54
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,39,17,22,46.15%,8.48%,1084.75,7.78%,4.23%,1.36,2.17,17.79,-11.21,44.56,-21.43,5,0,14,-0.94%,7.78%,0.92,57.66
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,8,0.15,36,17,19,36.11%,12.94%,1129.40,18.06%,11.53%,1.22,3.59,54.30,-25.07,132.07,-56.40,5,0,14,6.69%,18.06%,1.22,53.27
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_10x_20%_T3_3.0R_96H,10,0.20,37,17,20,40.54%,24.45%,1244.53,28.40%,18.70%,1.23,6.61,86.87,-48.11,230.06,-115.29,5,0,14,12.82%,28.40%,1.24,52.61
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_无固定止盈_96H,5,0.15,37,17,20,43.24%,12.23%,1122.28,10.62%,6.30%,1.35,3.30,29.38,-16.56,70.04,-33.83,5,0,13,-0.80%,10.62%,0.95,58.60
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_10%_T3_无固定止盈_96H,8,0.10,37,17,20,43.24%,13.00%,1130.00,11.30%,6.71%,1.35,3.51,31.52,-17.83,75.51,-36.50,5,0,13,-0.88%,11.30%,0.95,58.60
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_336H,5,0.10,36,17,19,44.44%,10.00%,1100.03,11.89%,4.66%,1.37,2.78,22.95,-13.36,94.06,-37.37,7,0,13,0.81%,11.89%,1.06,80.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,35,15,20,51.43%,11.61%,1116.13,10.35%,4.23%,1.49,3.32,19.52,-13.84,46.09,-22.19,6,0,13,-1.58%,10.35%,0.86,75.98
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,33,15,18,51.52%,10.32%,1103.21,9.16%,4.23%,1.47,3.13,18.97,-13.71,45.77,-22.03,6,0,12,-2.04%,9.16%,0.80,77.31
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,34,15,19,41.18%,2.80%,1028.01,7.82%,4.92%,1.13,0.82,16.96,-10.47,41.93,-20.05,5,0,13,-0.35%,7.82%,0.97,54.69
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_15%_T3_无固定止盈_96H,5,0.15,39,17,22,46.15%,12.52%,1125.22,11.51%,6.30%,1.34,3.21,27.56,-17.66,70.77,-34.18,5,0,14,-1.57%,11.51%,0.91,57.66
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_10%_T3_3.0R_168H,5,0.10,35,16,19,42.86%,7.64%,1076.39,12.52%,4.92%,1.29,2.18,22.50,-13.06,91.06,-36.17,7,0,13,1.89%,12.52%,1.13,65.50
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_15%_T3_3.0R_168H,5,0.15,38,17,21,50.00%,22.46%,1224.57,19.00%,6.95%,1.49,5.91,35.92,-24.10,159.86,-65.91,7,0,14,1.49%,19.00%,1.06,72.54
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_10x_15%_T3_3.0R_96H,10,0.15,36,17,19,36.11%,15.35%,1153.47,22.17%,14.26%,1.21,4.26,69.16,-32.42,166.81,-75.81,5,0,14,7.84%,22.17%,1.20,53.27
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_10%_T3_无固定止盈_96H,8,0.10,39,17,22,46.15%,13.31%,1133.13,12.24%,6.71%,1.33,3.41,29.59,-19.02,76.36,-36.91,5,0,14,-1.70%,12.24%,0.91,57.66
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_20%_T3_无固定止盈_96H,5,0.20,37,17,20,43.24%,16.02%,1160.24,13.98%,8.35%,1.33,4.33,40.32,-23.09,98.48,-47.75,5,0,13,-1.26%,13.98%,0.94,58.60
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_10%_T3_无固定止盈_96H,10,0.10,37,17,20,43.24%,16.02%,1160.24,13.98%,8.35%,1.33,4.33,40.32,-23.09,98.48,-47.75,5,0,13,-1.26%,13.98%,0.94,58.60
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_10%_T3_3.0R_168H,8,0.10,38,17,21,50.00%,23.93%,1239.34,20.14%,7.41%,1.48,6.30,38.69,-26.09,173.39,-72.01,7,0,14,1.50%,20.14%,1.06,72.54
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_3.0R_168H,5,0.15,36,17,19,50.00%,20.37%,1203.69,17.37%,6.95%,1.47,5.66,35.19,-23.87,158.20,-65.23,7,0,13,0.81%,17.37%,1.04,73.57
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_20%_T3_3.0R_96H,8,0.20,36,17,19,36.11%,16.07%,1160.68,23.51%,15.16%,1.20,4.46,74.21,-34.96,178.49,-82.79,5,0,14,8.18%,23.51%,1.20,53.27
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,33,15,18,36.36%,1.55%,1015.49,7.84%,4.92%,1.07,0.47,18.81,-10.01,41.75,-19.96,5,0,13,-1.14%,7.84%,0.89,55.48
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_10%_T3_无固定止盈_336H,5,0.10,33,15,18,45.45%,6.75%,1067.53,9.16%,4.23%,1.30,2.05,19.27,-12.31,44.29,-21.32,6,0,12,-2.04%,9.16%,0.80,85.01
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_10%_T3_3.0R_168H,8,0.10,36,17,19,50.00%,21.69%,1216.88,18.44%,7.41%,1.47,6.02,37.88,-25.83,171.48,-71.21,7,0,13,0.78%,18.44%,1.03,73.57
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,32,14,18,46.88%,4.60%,1045.97,9.81%,4.92%,1.21,1.44,17.47,-12.71,42.94,-20.53,6,0,12,-0.99%,9.81%,0.91,68.66
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_10%_T3_3.0R_336H,5,0.10,38,17,21,44.74%,9.80%,1097.98,13.05%,4.66%,1.35,2.58,22.44,-13.50,94.72,-37.63,7,0,14,-0.07%,13.05%,1.00,79.55
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_无固定止盈_96H,8,0.15,37,17,20,43.24%,18.94%,1189.37,16.60%,9.96%,1.31,5.12,49.50,-28.69,123.15,-59.91,5,0,13,-1.70%,16.60%,0.93,58.60
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_20%_T3_无固定止盈_96H,5,0.20,39,17,22,46.15%,16.41%,1164.14,15.12%,8.35%,1.32,4.21,37.94,-24.70,99.85,-48.42,5,0,14,-2.29%,15.12%,0.90,57.66
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_10%_T3_无固定止盈_96H,10,0.10,39,17,22,46.15%,16.41%,1164.14,15.12%,8.35%,1.32,4.21,37.94,-24.70,99.85,-48.42,5,0,14,-2.29%,15.12%,0.90,57.66
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_无固定止盈_168H,5,0.15,33,15,18,51.52%,15.38%,1153.83,13.47%,6.30%,1.44,4.66,29.58,-21.81,73.79,-35.64,6,0,12,-3.19%,13.47%,0.80,77.31
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_15%_T3_无固定止盈_168H,5,0.15,35,15,20,51.43%,17.39%,1173.85,15.17%,6.30%,1.46,4.97,30.51,-22.08,74.56,-36.02,6,0,13,-2.53%,15.17%,0.86,75.98
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_10%_T3_无固定止盈_168H,8,0.10,33,15,18,51.52%,16.38%,1163.85,14.31%,6.71%,1.44,4.97,31.79,-23.54,79.83,-38.59,6,0,12,-3.43%,14.31%,0.80,77.31
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_15%_T3_无固定止盈_96H,5,0.15,34,15,19,41.18%,3.90%,1039.00,11.54%,7.31%,1.12,1.15,25.76,-16.08,64.76,-30.47,5,0,13,-0.68%,11.54%,0.96,54.69
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_10%_T3_无固定止盈_168H,8,0.10,35,15,20,51.43%,18.53%,1185.33,16.10%,6.71%,1.46,5.30,32.81,-23.84,80.72,-39.02,6,0,13,-2.74%,16.10%,0.86,75.98
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_96H,5,0.10,45,20,25,42.22%,6.64%,1066.39,12.21%,6.21%,1.21,1.48,19.85,-11.95,56.40,-28.34,5,0,18,-1.70%,12.21%,0.90,54.21
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_10%_T3_无固定止盈_336H,5,0.10,35,15,20,45.71%,6.55%,1065.54,10.35%,4.23%,1.28,1.87,18.91,-12.48,44.60,-21.47,6,0,13,-2.90%,10.35%,0.75,83.59
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_20%_T3_3.0R_168H,5,0.20,38,17,21,50.00%,29.79%,1297.91,24.59%,9.22%,1.45,7.84,50.25,-34.58,231.51,-98.93,7,0,14,1.43%,24.59%,1.04,72.54
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_10%_T3_3.0R_168H,10,0.10,38,17,21,50.00%,29.79%,1297.91,24.59%,9.22%,1.45,7.84,50.25,-34.58,231.51,-98.93,7,0,14,1.43%,24.59%,1.04,72.54
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_3.0R_336H,5,0.15,36,17,19,44.44%,14.60%,1146.04,17.37%,6.95%,1.34,4.06,35.66,-21.23,150.63,-62.10,7,0,13,0.81%,17.37%,1.04,80.62
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_20%_T3_3.0R_168H,5,0.20,36,17,19,50.00%,26.89%,1268.94,22.56%,9.22%,1.44,7.47,49.11,-34.17,228.32,-97.57,7,0,13,0.55%,22.56%,1.02,73.57
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_10%_T3_3.0R_168H,10,0.10,36,17,19,50.00%,26.89%,1268.94,22.56%,9.22%,1.44,7.47,49.11,-34.17,228.32,-97.57,7,0,13,0.55%,22.56%,1.02,73.57
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_168H,5,0.10,34,16,18,41.18%,5.29%,1052.86,12.52%,4.92%,1.20,1.55,22.35,-13.00,90.68,-36.02,7,0,13,0.09%,12.52%,1.01,65.77
1H趋势回踩_EMA34_200_S1.6_5x_10%_T3_3.0R_96H,5,0.10,160,72,88,26.88%,-6.57%,934.30,13.22%,6.25%,0.88,-0.41,11.07,-4.63,30.92,-16.08,12,0,64,5.91%,5.61%,1.26,16.50
1H趋势回踩_EMA34_200_S1.6_5x_10%_T3_3.0R_168H,5,0.10,160,72,88,26.88%,-6.57%,934.30,13.22%,6.25%,0.88,-0.41,11.07,-4.63,30.92,-16.08,12,0,64,5.91%,5.61%,1.26,16.50
1H趋势回踩_EMA34_200_S1.6_5x_10%_T3_3.0R_336H,5,0.10,160,72,88,26.88%,-6.57%,934.30,13.22%,6.25%,0.88,-0.41,11.07,-4.63,30.92,-16.08,12,0,64,5.91%,5.61%,1.26,16.50
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_15%_T3_3.0R_168H,5,0.15,35,16,19,42.86%,10.98%,1109.78,18.27%,7.31%,1.27,3.14,34.60,-20.46,143.58,-59.20,7,0,13,2.41%,18.27%,1.10,65.50
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_10%_T3_无固定止盈_96H,8,0.10,34,15,19,41.18%,4.10%,1040.95,12.27%,7.79%,1.12,1.20,27.54,-17.23,69.48,-32.59,5,0,13,-0.76%,12.27%,0.96,54.69
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,10,0.20,36,17,19,36.11%,18.53%,1185.35,28.69%,18.70%,1.18,5.15,94.89,-45.58,226.20,-113.36,5,0,14,9.28%,28.69%,1.17,53.27
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_10%_T3_3.0R_336H,8,0.10,36,17,19,44.44%,15.49%,1154.88,18.44%,7.41%,1.34,4.30,38.30,-22.90,162.74,-67.59,7,0,13,0.78%,18.44%,1.03,80.62
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_15%_T3_无固定止盈_96H,8,0.15,39,17,22,46.15%,19.40%,1194.02,17.93%,9.96%,1.30,4.97,46.67,-30.77,125.21,-60.92,5,0,14,-2.94%,17.93%,0.90,57.66
1H趋势回踩_EMA34_200_S1.6_5x_10%_T2.4_3.0R_96H,5,0.10,171,75,96,28.07%,-7.72%,922.82,16.68%,5.47%,0.85,-0.45,9.25,-4.24,30.27,-14.09,16,0,65,9.38%,5.10%,1.45,14.24
1H趋势回踩_EMA34_200_S1.6_5x_10%_T2.4_3.0R_168H,5,0.10,171,75,96,28.07%,-7.72%,922.82,16.68%,5.47%,0.85,-0.45,9.25,-4.24,30.27,-14.09,16,0,65,9.38%,5.10%,1.45,14.24
1H趋势回踩_EMA34_200_S1.6_5x_10%_T2.4_3.0R_336H,5,0.10,171,75,96,28.07%,-7.72%,922.82,16.68%,5.47%,0.85,-0.45,9.25,-4.24,30.27,-14.09,16,0,65,9.38%,5.10%,1.45,14.24
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_10%_T3_3.0R_168H,8,0.10,35,16,19,42.86%,11.60%,1116.05,19.37%,7.79%,1.26,3.32,37.09,-22.01,154.66,-64.23,7,0,13,2.48%,19.37%,1.10,65.50
1H趋势回踩_EMA34_200_S1.6_5x_10%_T2.4_无固定止盈_96H,5,0.10,171,75,96,28.07%,-7.04%,929.64,14.79%,4.85%,0.87,-0.41,9.51,-4.28,30.38,-14.29,16,0,65,7.75%,5.10%,1.37,14.90
1H趋势回踩_EMA34_200_S1.6_5x_10%_T2.4_无固定止盈_168H,5,0.10,171,75,96,28.07%,-7.04%,929.64,14.79%,4.85%,0.87,-0.41,9.51,-4.28,30.38,-14.29,16,0,65,7.75%,5.10%,1.37,14.90
1H趋势回踩_EMA34_200_S1.6_5x_10%_T2.4_无固定止盈_336H,5,0.10,171,75,96,28.07%,-7.04%,929.64,14.79%,4.85%,0.87,-0.41,9.51,-4.28,30.38,-14.29,16,0,65,7.75%,5.10%,1.37,14.90
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_5x_10%_T3_3.0R_336H,5,0.10,35,16,19,37.14%,2.01%,1020.15,12.52%,4.92%,1.08,0.58,21.57,-11.83,87.48,-34.75,7,0,13,0.53%,12.52%,1.04,68.31
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_15%_T3_无固定止盈_96H,10,0.15,37,17,20,43.24%,23.08%,1230.80,20.43%,12.34%,1.29,6.24,63.95,-37.74,163.42,-79.95,5,0,13,-2.47%,20.43%,0.92,58.60
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,31,14,17,45.16%,2.31%,1023.11,9.81%,4.92%,1.11,0.75,17.02,-12.66,42.75,-20.44,6,0,12,-2.74%,9.81%,0.75,69.06
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_无固定止盈_336H,5,0.15,33,15,18,45.45%,9.86%,1098.58,13.47%,6.30%,1.28,2.99,29.72,-19.29,70.25,-33.93,6,0,12,-3.19%,13.47%,0.80,85.01
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_5x_10%_T3_3.0R_96H,5,0.10,50,23,27,40.00%,2.51%,1025.08,11.52%,7.71%,1.07,0.50,18.14,-11.26,53.79,-32.01,7,0,18,-0.93%,11.52%,0.94,54.47
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_15%_T3_无固定止盈_96H,5,0.15,33,15,18,36.36%,2.01%,1020.09,11.59%,7.31%,1.06,0.61,28.51,-15.34,64.35,-30.28,5,0,13,-1.87%,11.59%,0.89,55.48
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_5x_10%_T3_3.0R_96H,5,0.10,46,21,25,34.78%,-2.74%,972.57,10.30%,7.19%,0.91,-0.60,17.70,-10.35,50.34,-29.96,6,0,17,0.44%,10.30%,1.03,50.81
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,33,15,18,51.52%,20.35%,1203.47,17.60%,8.35%,1.41,6.17,40.96,-30.80,105.52,-51.16,6,0,12,-4.42%,17.60%,0.79,77.31
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,33,15,18,51.52%,20.35%,1203.47,17.60%,8.35%,1.41,6.17,40.96,-30.80,105.52,-51.16,6,0,12,-4.42%,17.60%,0.79,77.31
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_15%_T3_3.0R_168H,8,0.15,38,17,21,50.00%,35.54%,1355.41,28.82%,11.02%,1.43,9.35,62.64,-43.93,296.29,-130.18,7,0,14,1.19%,28.82%,1.03,72.54
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,35,15,20,51.43%,23.10%,1230.95,19.76%,8.35%,1.43,6.60,42.35,-31.26,107.00,-51.88,6,0,13,-3.58%,19.76%,0.85,75.98
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,35,15,20,51.43%,23.10%,1230.95,19.76%,8.35%,1.43,6.60,42.35,-31.26,107.00,-51.88,6,0,13,-3.58%,19.76%,0.85,75.98
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_168H,8,0.15,36,17,19,50.00%,31.96%,1319.64,26.51%,11.02%,1.41,8.88,61.09,-43.33,291.40,-128.03,7,0,13,0.17%,26.51%,1.00,73.57
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_5x_10%_T3_3.0R_336H,5,0.10,34,16,18,35.29%,1.14%,1011.42,12.52%,4.92%,1.04,0.34,22.55,-11.78,87.11,-34.60,7,0,13,0.09%,12.52%,1.01,68.30
