策略,杠杆,保证金比例,交易数,多单,空单,胜率,全年收益,最终权益,最大回撤,月内最大回撤,PF,平均单笔,平均盈利,平均亏损,最大单笔盈利,最大单笔亏损,最大连亏,强平,样本外交易,样本外收益,样本外回撤,样本外PF,平均持仓小时
1H唐奇安趋势_L72_EMA200_ADX24_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,110,54,56,36.36%,-9.14%,908.62,15.75%,6.19%,0.79,-0.83,8.47,-6.14,66.83,-17.00,14,0,41,-9.49%,15.75%,0.56,20.10
1H唐奇安趋势_L72_EMA200_ADX24_S2.4_5x_10%_T3_无固定止盈_336H,5,0.10,110,54,56,36.36%,-9.14%,908.62,15.75%,6.19%,0.79,-0.83,8.47,-6.14,66.83,-17.00,14,0,41,-9.49%,15.75%,0.56,20.10
1H唐奇安趋势_L72_EMA200_ADX24_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,111,55,56,36.04%,-9.28%,907.18,15.75%,6.19%,0.79,-0.84,8.53,-6.11,66.73,-16.97,14,0,41,-9.49%,15.75%,0.56,19.41
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,64,29,35,34.38%,-12.50%,874.96,18.82%,8.07%,0.72,-1.95,14.51,-10.58,42.75,-27.24,8,0,23,-10.06%,16.16%,0.53,53.68
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_20%_T3_无固定止盈_168H,8,0.20,31,14,17,45.16%,4.31%,1043.07,28.57%,15.16%,1.06,1.39,58.47,-45.62,160.70,-78.34,6,0,12,-9.82%,28.57%,0.74,69.06
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_8x_10%_T3_无固定止盈_336H,8,0.10,41,18,23,41.46%,2.27%,1022.66,23.06%,12.12%,1.04,0.55,32.88,-22.34,105.26,-57.49,8,0,17,-13.04%,23.06%,0.52,82.65
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_5x_20%_T3_无固定止盈_96H,5,0.20,48,22,26,37.50%,-7.10%,928.99,22.20%,14.96%,0.90,-1.48,34.06,-22.80,86.92,-64.60,7,0,17,-10.36%,21.91%,0.65,55.22
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_10x_10%_T3_无固定止盈_96H,10,0.10,48,22,26,37.50%,-7.10%,928.99,22.20%,14.96%,0.90,-1.48,34.06,-22.80,86.92,-64.60,7,0,17,-10.36%,21.91%,0.65,55.22
4H唐奇安趋势_L60_EMA120_ADX22_S2.4_8x_10%_T2.4_无固定止盈_96H,8,0.10,42,18,24,30.95%,-20.55%,794.52,21.11%,6.35%,0.49,-4.89,15.31,-13.95,64.80,-32.49,5,0,15,-7.68%,14.44%,0.58,37.34
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_10%_T2.4_3.0R_96H,8,0.10,40,18,22,30.00%,-17.72%,822.81,18.85%,6.35%,0.55,-4.43,17.90,-14.00,68.17,-34.18,6,0,15,-9.12%,15.17%,0.51,38.12
1H趋势回踩_EMA34_150_S1.6_8x_20%_T3_3.0R_96H,8,0.20,158,70,88,26.58%,-17.06%,829.37,34.08%,18.20%,0.89,-1.08,33.07,-13.44,82.80,-51.23,11,0,63,2.76%,20.68%,1.04,16.24
1H趋势回踩_EMA34_150_S1.6_8x_20%_T3_3.0R_168H,8,0.20,158,70,88,26.58%,-17.06%,829.37,34.08%,18.20%,0.89,-1.08,33.07,-13.44,82.80,-51.23,11,0,63,2.76%,20.68%,1.04,16.24
1H趋势回踩_EMA34_150_S1.6_8x_20%_T3_3.0R_336H,8,0.20,158,70,88,26.58%,-17.06%,829.37,34.08%,18.20%,0.89,-1.08,33.07,-13.44,82.80,-51.23,11,0,63,2.76%,20.68%,1.04,16.24
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_8x_10%_T3_3.0R_168H,8,0.10,42,19,23,45.24%,5.68%,1056.76,26.99%,14.15%,1.09,1.35,34.48,-26.02,166.35,-69.09,10,0,17,-9.79%,26.99%,0.71,65.76
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,111,54,57,36.04%,-10.11%,898.90,15.75%,6.19%,0.77,-0.91,8.39,-6.15,66.12,-16.81,14,0,41,-9.49%,15.75%,0.56,20.08
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_10%_T3_无固定止盈_336H,5,0.10,111,54,57,36.04%,-10.11%,898.90,15.75%,6.19%,0.77,-0.91,8.39,-6.15,66.12,-16.81,14,0,41,-9.49%,15.75%,0.56,20.08
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_10%_T3_无固定止盈_96H,5,0.10,112,55,57,35.71%,-10.25%,897.48,15.75%,6.19%,0.77,-0.92,8.45,-6.12,66.01,-16.79,14,0,41,-9.49%,15.75%,0.56,19.39
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_8x_10%_T3_3.0R_168H,8,0.10,145,69,76,37.24%,-10.01%,899.92,16.90%,11.24%,0.88,-0.69,13.37,-9.03,74.59,-26.58,18,0,50,-6.68%,16.90%,0.81,17.60
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_8x_10%_T3_3.0R_336H,8,0.10,145,69,76,37.24%,-10.01%,899.92,16.90%,11.24%,0.88,-0.69,13.37,-9.03,74.59,-26.58,18,0,50,-6.68%,16.90%,0.81,17.60
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_5x_20%_T3_3.0R_168H,5,0.20,146,69,77,36.99%,-10.37%,896.33,18.35%,12.09%,0.90,-0.71,16.69,-10.92,91.74,-32.92,18,0,50,-5.35%,18.02%,0.87,17.66
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_5x_20%_T3_3.0R_336H,5,0.20,146,69,77,36.99%,-10.37%,896.33,18.35%,12.09%,0.90,-0.71,16.69,-10.92,91.74,-32.92,18,0,50,-5.35%,18.02%,0.87,17.66
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_10%_T3_3.0R_168H,10,0.10,146,69,77,36.99%,-10.37%,896.33,18.35%,12.09%,0.90,-0.71,16.69,-10.92,91.74,-32.92,18,0,50,-5.35%,18.02%,0.87,17.66
1H唐奇安趋势_L48_EMA150_ADX20_S2.4_10x_10%_T3_3.0R_336H,10,0.10,146,69,77,36.99%,-10.37%,896.33,18.35%,12.09%,0.90,-0.71,16.69,-10.92,91.74,-32.92,18,0,50,-5.35%,18.02%,0.87,17.66
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_15%_T2.4_3.0R_96H,8,0.15,45,19,26,40.00%,-7.08%,929.18,23.35%,7.31%,0.89,-1.57,32.65,-24.39,130.17,-62.90,5,0,16,-11.79%,21.13%,0.57,43.46
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_5x_10%_T2.4_3.0R_168H,5,0.10,51,24,27,31.37%,-8.44%,915.56,14.92%,5.90%,0.76,-1.66,16.37,-9.90,50.16,-29.67,16,0,19,-10.47%,14.30%,0.33,49.90
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_5x_10%_T2.4_3.0R_168H,5,0.10,53,24,29,33.96%,-8.26%,917.37,15.63%,5.90%,0.77,-1.56,15.35,-10.25,50.69,-29.98,14,0,20,-11.22%,15.01%,0.32,50.17
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_8x_10%_T3_3.0R_96H,8,0.10,146,70,76,36.99%,-10.24%,897.64,16.90%,11.24%,0.88,-0.70,13.42,-8.99,74.40,-26.51,18,0,50,-6.68%,16.90%,0.81,17.09
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_8x_10%_T3_3.0R_336H,8,0.10,42,19,23,30.95%,-7.51%,924.88,24.52%,11.32%,0.87,-1.79,38.05,-19.65,140.42,-58.32,8,0,16,-6.46%,24.52%,0.79,67.39
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_20%_T3_3.0R_336H,10,0.20,38,17,21,44.74%,31.17%,1311.69,43.75%,18.03%,1.20,8.20,111.13,-75.12,554.17,-270.16,7,0,14,-6.29%,43.75%,0.91,79.55
4H唐奇安趋势_L20_EMA120_ADX18_S2.4_5x_10%_T3_无固定止盈_336H,5,0.10,53,25,28,35.85%,-8.73%,912.69,19.97%,9.26%,0.79,-1.65,17.15,-12.15,60.24,-29.61,9,0,21,-11.26%,17.86%,0.44,77.59
4H唐奇安趋势_L60_EMA180_ADX18_S2.4_5x_15%_T3_无固定止盈_336H,5,0.15,37,17,20,32.43%,-10.61%,893.95,19.53%,10.64%,0.76,-2.87,27.25,-17.32,82.87,-45.45,7,0,15,-10.30%,19.53%,0.55,71.74
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_10%_T3_3.0R_168H,5,0.10,117,58,59,36.75%,-9.63%,903.71,15.75%,6.19%,0.79,-0.82,8.60,-6.30,48.28,-17.03,14,0,42,-10.16%,15.75%,0.52,19.24
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_10%_T3_3.0R_336H,5,0.10,117,58,59,36.75%,-9.63%,903.71,15.75%,6.19%,0.79,-0.82,8.60,-6.30,48.28,-17.03,14,0,42,-10.16%,15.75%,0.52,19.24
4H唐奇安趋势_L20_EMA180_ADX22_S2.4_5x_15%_T3_3.0R_336H,5,0.15,42,19,23,40.48%,0.42%,1004.18,25.51%,13.32%,1.01,0.10,32.30,-21.80,146.40,-60.36,10,0,17,-9.12%,25.51%,0.71,71.81
1H唐奇安趋势_L72_EMA150_ADX24_S2.4_5x_10%_T3_3.0R_96H,5,0.10,118,59,59,36.44%,-9.77%,902.28,15.75%,6.19%,0.79,-0.83,8.65,-6.26,48.20,-17.00,14,0,42,-10.16%,15.75%,0.52,18.60
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_5x_20%_T3_3.0R_168H,5,0.20,42,19,23,35.71%,0.06%,1000.64,29.75%,13.99%,1.00,0.02,50.21,-27.87,192.55,-82.28,8,0,16,-5.98%,29.75%,0.85,65.04
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_10x_10%_T3_3.0R_168H,10,0.10,42,19,23,35.71%,0.06%,1000.64,29.75%,13.99%,1.00,0.02,50.21,-27.87,192.55,-82.28,8,0,16,-5.98%,29.75%,0.85,65.04
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_5x_20%_T3_无固定止盈_168H,5,0.20,38,17,21,39.47%,-1.29%,987.14,25.25%,13.99%,0.98,-0.34,40.15,-26.74,142.54,-68.85,7,0,15,-10.62%,25.25%,0.65,67.97
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_10x_10%_T3_无固定止盈_168H,10,0.10,38,17,21,39.47%,-1.29%,987.14,25.25%,13.99%,0.98,-0.34,40.15,-26.74,142.54,-68.85,7,0,15,-10.62%,25.25%,0.65,67.97
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_5x_10%_T2.4_无固定止盈_168H,5,0.10,51,24,27,31.37%,-9.24%,907.58,14.92%,5.90%,0.73,-1.81,15.73,-9.83,47.78,-29.41,16,0,19,-10.47%,14.30%,0.33,49.87
