win,ret,dd,pf,trades,liq,window,prox,rsi_low,rsi_high,mode,wick,stop_frac,tp_r,final
90.47619047619048,7.674052356610317,5.8083984500896575,2.0138355986745893,21,0,60,0.005,35,65,3,0.5,0.8,0.25,1076.740523566103
90.47619047619048,7.674052356610317,5.8083984500896575,2.0138355986745893,21,0,60,0.005,35,65,4,0.5,0.8,0.25,1076.740523566103
90.47619047619048,7.674052356610317,5.8083984500896575,2.0138355986745893,21,0,80,0.005,35,65,3,0.5,0.8,0.25,1076.740523566103
90.47619047619048,7.674052356610317,5.8083984500896575,2.0138355986745893,21,0,80,0.005,35,65,4,0.5,0.8,0.25,1076.740523566103
90.0,13.911579448514999,3.7078351800000084,2.7148755757446996,20,0,40,0.008,35,65,3,0.6,0.8,0.35,1139.11579448515
90.0,13.911579448514999,3.7078351800000084,2.7148755757446996,20,0,40,0.008,35,65,4,0.6,0.8,0.35,1139.11579448515
90.0,13.908148586938939,6.215410158648619,2.773203850652759,20,0,80,0.012,35,65,3,0.6,0.8,0.35,1139.0814858693893
90.0,13.908148586938939,6.215410158648619,2.773203850652759,20,0,80,0.012,35,65,4,0.6,0.8,0.35,1139.0814858693893
90.0,13.906457150766904,6.216802777610531,2.773001185303955,20,0,120,0.03,35,65,3,0.6,0.8,0.35,1139.0645715076691
90.0,13.906457150766904,6.216802777610531,2.773001185303955,20,0,120,0.03,35,65,4,0.6,0.8,0.35,1139.0645715076691
90.0,6.830661625732937,3.7078351800000102,1.8710635983728687,20,0,40,0.008,35,65,3,0.6,0.8,0.25,1068.3066162573293
90.0,6.830661625732937,3.7078351800000102,1.8710635983728687,20,0,40,0.008,35,65,4,0.6,0.8,0.25,1068.3066162573293
90.0,6.826991821324335,6.5493939516248405,1.8907845917323236,20,0,80,0.012,35,65,3,0.6,0.8,0.25,1068.2699182132433
90.0,6.826991821324335,6.5493939516248405,1.8907845917323236,20,0,80,0.012,35,65,4,0.6,0.8,0.25,1068.2699182132433
90.0,6.825857737839214,6.550386030379333,1.890641270735777,20,0,120,0.03,35,65,3,0.6,0.8,0.25,1068.2585773783921
90.0,6.825857737839214,6.550386030379333,1.890641270735777,20,0,120,0.03,35,65,4,0.6,0.8,0.25,1068.2585773783921
88.46153846153845,6.993371109767299,5.80839845008965,1.6241856055046053,26,0,80,0.008,35,65,3,0.5,0.8,0.25,1069.933711097673
88.46153846153845,6.993371109767299,5.80839845008965,1.6241856055046053,26,0,80,0.008,35,65,4,0.5,0.8,0.25,1069.933711097673
88.46153846153845,5.505672205910406,7.705263987266823,1.4499173295136916,26,1,60,0.005,35,65,3,0.4,0.8,0.25,1055.056722059104
88.46153846153845,5.505672205910406,7.705263987266823,1.4499173295136916,26,1,60,0.005,35,65,4,0.4,0.8,0.25,1055.056722059104
88.37209302325581,10.071127711106364,9.168740870563594,1.5093509375143332,43,1,60,0.005,35,65,1,0.0,0.8,0.25,1100.7112771110637
88.37209302325581,10.071127711106364,9.168740870563594,1.5093509375143332,43,1,60,0.005,35,65,2,0.0,0.8,0.25,1100.7112771110637
88.23529411764706,7.34134737211094,8.57470083841,1.4634562597994165,34,1,120,0.03,35,65,3,0.4,0.8,0.25,1073.4134737211093
88.23529411764706,7.34134737211094,8.57470083841,1.4634562597994165,34,1,120,0.03,35,65,4,0.4,0.8,0.25,1073.4134737211093
88.0,6.1589587582351335,5.808398450089663,1.5384916690953465,25,0,40,0.005,35,65,3,0.5,0.8,0.25,1061.5895875823514
88.0,6.1589587582351335,5.808398450089663,1.5384916690953465,25,0,40,0.005,35,65,4,0.5,0.8,0.25,1061.5895875823514
88.0,6.157831766639998,9.300867788962663,1.5496681973901,25,0,60,0.005,38,62,3,0.5,0.8,0.25,1061.5783176664
88.0,6.157831766639998,9.300867788962663,1.5496681973901,25,0,60,0.005,38,62,4,0.5,0.8,0.25,1061.5783176664
88.0,4.678154708480542,7.705263987266823,1.382293531974526,25,1,80,0.005,35,65,3,0.4,0.8,0.25,1046.7815470848054
88.0,4.678154708480542,7.705263987266823,1.382293531974526,25,1,80,0.005,35,65,4,0.4,0.8,0.25,1046.7815470848054
87.8048780487805,8.358420339499538,8.57470083841,1.4257231029674,41,1,40,0.03,35,65,3,0.4,0.8,0.25,1083.5842033949955
87.8048780487805,8.358420339499538,8.57470083841,1.4257231029674,41,1,40,0.03,35,65,4,0.4,0.8,0.25,1083.5842033949955
87.8048780487805,8.351247185573364,9.881161868142746,1.4242030874300735,41,1,80,0.005,35,65,1,0.0,0.8,0.25,1083.5124718557336
87.8048780487805,8.351247185573364,9.881161868142746,1.4242030874300735,41,1,80,0.005,35,65,2,0.0,0.8,0.25,1083.5124718557336
87.75510204081633,10.244900351377462,9.025342796551902,1.430657741240825,49,1,40,0.005,35,65,1,0.0,0.8,0.25,1102.4490035137746
87.75510204081633,10.244900351377462,9.025342796551902,1.430657741240825,49,1,40,0.005,35,65,2,0.0,0.8,0.25,1102.4490035137746
87.5,13.511583255996573,5.137591638658511,2.1376540075150445,24,0,40,0.03,35,65,3,0.6,0.8,0.35,1135.1158325599658
87.5,13.511583255996573,5.137591638658511,2.1376540075150445,24,0,40,0.03,35,65,4,0.6,0.8,0.35,1135.1158325599658
87.5,13.511583255996573,5.137591638658511,2.137654007515044,24,0,40,0.02,35,65,3,0.6,0.8,0.35,1135.1158325599658
87.5,13.511583255996573,5.137591638658511,2.137654007515044,24,0,40,0.02,35,65,4,0.6,0.8,0.35,1135.1158325599658
87.5,7.509669082101156,8.57470083841,1.3841778532509772,40,1,40,0.02,35,65,3,0.4,0.8,0.25,1075.0966908210116
87.5,7.509669082101156,8.57470083841,1.3841778532509772,40,1,40,0.02,35,65,4,0.4,0.8,0.25,1075.0966908210116
87.5,7.508527751262295,8.57470083841,1.3829980271617013,40,1,60,0.03,35,65,3,0.4,0.8,0.25,1075.085277512623
87.5,7.508527751262295,8.57470083841,1.3829980271617013,40,1,60,0.03,35,65,4,0.4,0.8,0.25,1075.085277512623
87.5,7.507117256446949,8.57470083841,1.3768554924909808,40,1,120,0.016,42,58,3,0.4,0.8,0.25,1075.0711725644694
87.5,7.507117256446949,8.57470083841,1.3768554924909808,40,1,120,0.016,42,58,4,0.4,0.8,0.25,1075.0711725644694
87.5,5.667485425926877,9.008045358071268,1.3590623153961947,32,1,80,0.012,35,65,3,0.4,0.8,0.25,1056.6748542592688
87.5,5.667485425926877,9.008045358071268,1.3590623153961947,32,1,80,0.012,35,65,4,0.4,0.8,0.25,1056.6748542592688
87.5,5.326317308305106,9.300867788962663,1.4754444980852846,24,0,80,0.005,38,62,3,0.5,0.8,0.25,1053.263173083051
87.5,5.326317308305106,9.300867788962663,1.4754444980852846,24,0,80,0.005,38,62,4,0.5,0.8,0.25,1053.263173083051
87.5,5.322699180534318,5.811634082532269,1.4627672184353984,24,0,40,0.03,35,65,3,0.6,0.8,0.25,1053.2269918053432
87.5,5.322699180534318,5.811634082532269,1.4627672184353984,24,0,40,0.03,35,65,4,0.6,0.8,0.25,1053.2269918053432
87.5,5.322699180534296,5.811634082532269,1.4627672184353977,24,0,40,0.02,35,65,3,0.6,0.8,0.25,1053.226991805343
87.5,5.322699180534296,5.811634082532269,1.4627672184353977,24,0,40,0.02,35,65,4,0.6,0.8,0.25,1053.226991805343
87.5,4.326019310601037,5.780114802038192,1.4292038108819956,24,0,120,0.03,38,62,3,0.6,0.7,0.25,1043.2601931060103
87.5,4.326019310601037,5.780114802038192,1.4292038108819956,24,0,120,0.03,38,62,4,0.6,0.7,0.25,1043.2601931060103
87.17948717948718,6.667565934694419,8.57470083841,1.34259477474421,39,1,40,0.016,35,65,3,0.4,0.8,0.25,1066.6756593469443
87.17948717948718,6.667565934694419,8.57470083841,1.34259477474421,39,1,40,0.016,35,65,4,0.4,0.8,0.25,1066.6756593469443
87.09677419354838,6.316992914120534,8.58894053868832,1.4279662670300153,31,0,120,0.03,38,62,3,0.5,0.8,0.25,1063.1699291412053
87.09677419354838,6.316992914120534,8.58894053868832,1.4279662670300153,31,0,120,0.03,38,62,4,0.5,0.8,0.25,1063.1699291412053
87.09677419354838,4.8375857958022905,9.009011335595096,1.3089085523500747,31,1,120,0.02,35,65,3,0.4,0.8,0.25,1048.3758579580228
87.09677419354838,4.8375857958022905,9.009011335595096,1.3089085523500747,31,1,120,0.02,35,65,4,0.4,0.8,0.25,1048.3758579580228
86.95652173913044,12.221874415792055,6.215410158648619,2.0368999239640684,23,0,40,0.012,35,65,3,0.6,0.8,0.35,1122.2187441579206
86.95652173913044,12.221874415792055,6.215410158648619,2.0368999239640684,23,0,40,0.012,35,65,4,0.6,0.8,0.35,1122.2187441579206
86.95652173913044,12.221874415792055,6.215410158648619,2.0368999239640684,23,0,40,0.016,35,65,3,0.6,0.8,0.35,1122.2187441579206
86.95652173913044,12.221874415792055,6.215410158648619,2.0368999239640684,23,0,40,0.016,35,65,4,0.6,0.8,0.35,1122.2187441579206
86.95652173913044,4.497726159683824,6.5493939516248405,1.3930794169521543,23,0,40,0.012,35,65,3,0.6,0.8,0.25,1044.9772615968382
86.95652173913044,4.497726159683824,6.5493939516248405,1.3930794169521543,23,0,40,0.012,35,65,4,0.6,0.8,0.25,1044.9772615968382
86.95652173913044,4.497726159683824,6.5493939516248405,1.3930794169521543,23,0,40,0.016,35,65,3,0.6,0.8,0.25,1044.9772615968382
86.95652173913044,4.497726159683824,6.5493939516248405,1.3930794169521543,23,0,40,0.016,35,65,4,0.6,0.8,0.25,1044.9772615968382
86.95652173913044,3.627545469351534,5.138499187771109,1.3641243350359176,23,0,60,0.005,35,65,3,0.5,0.7,0.25,1036.2754546935153
86.95652173913044,3.627545469351534,5.138499187771109,1.3641243350359176,23,0,60,0.005,35,65,4,0.5,0.7,0.25,1036.2754546935153
86.95652173913044,3.627545469351534,5.138499187771109,1.3641243350359176,23,0,80,0.005,35,65,3,0.5,0.7,0.25,1036.2754546935153
86.95652173913044,3.627545469351534,5.138499187771109,1.3641243350359176,23,0,80,0.005,35,65,4,0.5,0.7,0.25,1036.2754546935153
86.95652173913044,3.045822116679897,7.705263987266823,1.2489011516957467,23,1,120,0.005,38,62,3,0.4,0.8,0.25,1030.458221166799
86.95652173913044,3.045822116679897,7.705263987266823,1.2489011516957467,23,1,120,0.005,38,62,4,0.4,0.8,0.25,1030.458221166799
86.8421052631579,5.830935302675466,8.57470083841,1.299169883776708,38,1,60,0.02,35,65,3,0.4,0.8,0.25,1058.3093530267547
86.8421052631579,5.830935302675466,8.57470083841,1.299169883776708,38,1,60,0.02,35,65,4,0.4,0.8,0.25,1058.3093530267547
86.8421052631579,5.829811793402295,8.57470083841,1.2978036961307797,38,1,80,0.03,35,65,3,0.4,0.8,0.25,1058.298117934023
86.8421052631579,5.829811793402295,8.57470083841,1.2978036961307797,38,1,80,0.03,35,65,4,0.4,0.8,0.25,1058.298117934023
86.66666666666667,9.718584129742936,8.883652962608329,1.314221061820772,60,1,40,0.016,35,65,1,0.0,0.8,0.25,1097.1858412974293
86.66666666666667,9.718584129742936,8.883652962608329,1.314221061820772,60,1,40,0.016,35,65,2,0.0,0.8,0.25,1097.1858412974293
86.66666666666667,4.021090126450599,7.70526398726681,1.252109785108487,30,1,40,0.005,35,65,3,0.4,0.8,0.25,1040.210901264506
86.66666666666667,4.021090126450599,7.70526398726681,1.252109785108487,30,1,40,0.005,35,65,4,0.4,0.8,0.25,1040.210901264506
86.66666666666667,4.016412577440409,9.721726746163712,1.2553651858683177,30,1,80,0.008,35,65,3,0.4,0.8,0.25,1040.164125774404
86.66666666666667,4.016412577440409,9.721726746163712,1.2553651858683177,30,1,80,0.008,35,65,4,0.4,0.8,0.25,1040.164125774404
86.48648648648648,5.003096084124192,8.57470083841,1.2570705101010302,37,1,40,0.012,35,65,3,0.4,0.8,0.25,1050.030960841242
86.48648648648648,5.003096084124192,8.57470083841,1.2570705101010302,37,1,40,0.012,35,65,4,0.4,0.8,0.25,1050.030960841242
86.48648648648648,5.001981363255159,8.57470083841,1.2577621777046482,37,1,60,0.016,35,65,3,0.4,0.8,0.25,1050.0198136325516
86.48648648648648,5.001981363255159,8.57470083841,1.2577621777046482,37,1,60,0.016,35,65,4,0.4,0.8,0.25,1050.0198136325516
86.48648648648648,5.000866654220126,8.57470083841,1.2565812546469821,37,1,80,0.02,35,65,3,0.4,0.8,0.25,1050.0086665422014
86.48648648648648,5.000866654220126,8.57470083841,1.2565812546469821,37,1,80,0.02,35,65,4,0.4,0.8,0.25,1050.0086665422014
86.48648648648648,4.998374376943726,10.587045886570174,1.255740941455785,37,1,120,0.005,38,62,1,0.0,0.8,0.25,1049.9837437694373
86.48648648648648,4.998374376943726,10.587045886570174,1.255740941455785,37,1,120,0.005,38,62,2,0.0,0.8,0.25,1049.9837437694373
86.36363636363636,10.950160804119413,7.2781899427795675,1.9257556335772705,22,0,40,0.008,38,62,3,0.6,0.8,0.35,1109.5016080411942
86.36363636363636,10.950160804119413,7.2781899427795675,1.9257556335772705,22,0,40,0.008,38,62,4,0.6,0.8,0.35,1109.5016080411942
86.36363636363636,10.945171673413068,8.65628978265565,1.9426940267441428,22,0,120,0.03,38,62,3,0.6,0.8,0.35,1109.4517167341307
86.36363636363636,10.945171673413068,8.65628978265565,1.9426940267441428,22,0,120,0.03,38,62,4,0.6,0.8,0.35,1109.4517167341307
86.36363636363636,10.945171673413046,5.4678502095551815,1.9286173980526848,22,0,60,0.03,35,65,3,0.6,0.8,0.35,1109.4517167341305
86.36363636363636,10.945171673413046,5.4678502095551815,1.9286173980526848,22,0,60,0.03,35,65,4,0.6,0.8,0.35,1109.4517167341305
86.36363636363636,10.945171673413023,5.467850209555191,1.9286173980526837,22,0,60,0.02,35,65,3,0.6,0.8,0.35,1109.4517167341303
86.36363636363636,10.945171673413023,5.467850209555191,1.9286173980526837,22,0,60,0.02,35,65,4,0.6,0.8,0.35,1109.4517167341303
86.36363636363636,10.945171673413023,5.467850209555191,1.9286173980526837,22,0,80,0.02,35,65,3,0.6,0.8,0.35,1109.4517167341303
86.36363636363636,10.945171673413023,5.467850209555191,1.9286173980526837,22,0,80,0.02,35,65,4,0.6,0.8,0.35,1109.4517167341303
86.36363636363636,10.945171673413023,5.467850209555191,1.9286173980526837,22,0,80,0.03,35,65,3,0.6,0.8,0.35,1109.4517167341303
86.36363636363636,10.945171673413023,5.467850209555191,1.9286173980526837,22,0,80,0.03,35,65,4,0.6,0.8,0.35,1109.4517167341303
86.36363636363636,9.887133794140968,9.875195750406588,1.2833318047423348,66,1,40,0.03,35,65,1,0.0,0.8,0.25,1098.8713379414096
86.36363636363636,9.887133794140968,9.875195750406588,1.2833318047423348,66,1,40,0.03,35,65,2,0.0,0.8,0.25,1098.8713379414096
86.36363636363636,9.223797517971576,4.544319258759528,1.9069130510191432,22,0,60,0.005,35,65,3,0.5,0.7,0.35,1092.2379751797157
86.36363636363636,9.223797517971576,4.544319258759528,1.9069130510191432,22,0,60,0.005,35,65,4,0.5,0.7,0.35,1092.2379751797157
86.36363636363636,9.223797517971576,4.544319258759528,1.9069130510191432,22,0,80,0.005,35,65,3,0.5,0.7,0.35,1092.2379751797157
